avg_latency_us,chosen_L,elapsed_s,insert_threads,inserted_during_search,live_point_count,max_rss_kb,mode,p50_latency_us,p95_latency_us,p99_latency_us,points,qps,query_threads,recall@10,status,threads
27892.732,60,8.830163,4,237,500237,528664,search-during-insert,27659.0,39930.0,47179.0,500237,1132.481882,32,94.553,ok,32
18444.5998,60,11.64546,4,4078,504078,497960,search-during-insert,18639.0,23986.0,26153.0,504078,858.703726,16,94.156,ok,16
8066.7349,60,10.142279,4,3565,503565,471140,search-during-insert,7856.0,10420.0,12412.0,503565,985.971707,8,94.223,ok,8
7401.9778,60,18.610621,4,6882,506882,466316,search-during-insert,7326.0,9546.0,11055.0,506882,537.327579,4,93.9,ok,4
7249.1951,60,36.550611,4,14036,514036,460524,search-during-insert,7020.0,9563.0,11724.0,514036,273.593241,2,93.572,ok,2
6854.0337,60,69.038007,4,27524,527524,459504,search-during-insert,6621.0,8883.0,10984.0,527524,144.847751,1,92.362,ok,1
30468.1979,60,9.645804,2,349,500349,518460,search-during-insert,30336.0,37514.0,48322.0,500349,1036.720244,32,94.503,ok,32
17281.0248,60,10.916798,2,2057,502057,484556,search-during-insert,14985.0,26991.0,31294.0,502057,916.019488,16,94.379,ok,16
7399.2768,60,9.305441,2,1727,501727,470908,search-during-insert,7228.0,9417.0,11235.0,501727,1074.640131,8,94.357,ok,8
7187.6235,60,18.07148,2,3456,503456,461160,search-during-insert,7148.0,9117.0,10420.0,503456,553.35812,4,94.235,ok,4
6806.7535,60,34.260538,2,6855,506855,457284,search-during-insert,6664.0,8633.0,9993.0,506855,291.881001,2,94.052,ok,2
6550.7755,60,65.967009,2,13807,513807,455908,search-during-insert,6317.0,8395.0,10024.0,513807,151.590926,1,93.488,ok,1
31297.1359,60,9.910044,1,25,500025,509692,search-during-insert,32548.0,37067.0,41864.0,500025,1009.077286,32,94.44,ok,32
15109.8985,60,9.54683,1,950,500950,491968,search-during-insert,15106.0,19137.0,21040.0,500950,1047.468112,16,94.406,ok,16
6703.9918,60,8.430409,1,830,500830,468436,search-during-insert,6704.0,7997.0,8789.0,500830,1186.18201,8,94.351,ok,8
6749.9338,60,16.970394,1,1642,501642,460784,search-during-insert,6542.0,9338.0,11524.0,501642,589.261496,4,94.34,ok,4
6576.4761,60,33.052443,1,3339,503339,456076,search-during-insert,6508.0,8649.0,10301.0,503339,302.549496,2,94.292,ok,2
6505.6829,60,65.391635,1,6839,506839,457056,search-during-insert,6227.0,8388.0,10164.0,506839,152.924758,1,93.995,ok,1
