mode,route,threads,insert_threads,points,chosen_L,max_rss_kb,live_point_count,elapsed_s,qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,recall@10,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,empty_count,min_threshold,max_threshold,status,state,bucket,selected_route,target_recall@10,exp4_pq_bytes,calibration_recall@10,calibration_avg_latency_us
measure-dynamic-search,prefilter,1,1,1000000,10,268560,1000000,0.399193,2505.054361,399.079868,387.077,416.211,738.793,100.0,1000.0,52.048,1000,0,0,0,0,0,ok,1m_initial,u1e-03,prefilter,98.0,32,100.0,6673.348901
measure-dynamic-search,prefilter,1,1,1000000,10,268536,1000000,0.475314,2103.870909,475.199421,462.204,530.861,768.828,100.0,3000.0,56.969,1000,0,0,0,0,0,ok,1m_initial,u3e-03,prefilter,98.0,32,100.0,6733.179591
measure-dynamic-search,prefilter,1,1,1000000,10,268464,1000000,0.805775,1241.040804,805.678917,713.12,1285.632,2303.208,100.0,10000.0,71.161,1000,0,0,0,0,0,ok,1m_initial,u1e-02,prefilter,98.0,32,100.0,9023.062253
measure-dynamic-search,prefilter,1,1,1000000,10,270980,1000000,1.860979,537.351465,1860.809559,1802.732,2077.516,2214.249,100.0,50000.0,102.926,1000,0,0,0,0,0,ok,1m_initial,u5e-02,prefilter,98.0,32,100.0,10928.239195
measure-dynamic-search,prefilter,1,1,1000000,10,268808,1000000,3.12382,320.120929,3123.608093,2895.322,4738.593,6676.639,100.0,100000.0,174.754,1000,0,0,0,0,0,ok,1m_initial,u1e-01,prefilter,98.0,32,100.0,10915.418812
measure-dynamic-search,prefilter,1,1,1000000,10,268848,1000000,6.046255,165.391647,6046.093686,5999.806,6235.644,6834.652,99.99,250000.0,308.575,1000,0,0,0,0,0,ok,1m_initial,u25,prefilter,98.0,32,99.99,16746.26126
measure-dynamic-search,prefilter,1,1,1000000,10,268784,1000000,7.988509,125.179801,7988.249984,7826.74,10391.156,14181.137,99.76,300000.0,456.718,1000,0,0,0,0,0,ok,1m_initial,u30,prefilter,98.0,32,99.76,12617.409984
measure-dynamic-search,graph,1,1,1000000,100,270888,1000000,8.748363,114.307105,8747.850525,8714.685,9146.016,9718.62,98.46,500000.0,38.661,0,0,1000,0,0,0,ok,1m_initial,u50,graph,98.0,32,98.46,24407.515345
measure-dynamic-search,graph,1,1,1000000,75,268936,1000000,6.73571,148.462443,6735.310519,6699.51,7075.537,7504.486,98.72,750000.0,37.582,0,0,1000,0,0,0,ok,1m_initial,u75,graph,98.0,32,98.72,11319.118756
measure-dynamic-search,graph,1,1,1000000,75,268848,1000000,6.705396,149.13363,6705.019134,6690.34,7059.028,7363.331,99.01,1000000.0,37.623,0,0,1000,0,0,0,ok,1m_initial,u100,graph,98.0,32,99.01,19161.675538
measure-dynamic-search,prefilter,1,1,750000,10,229284,750000,0.358829,2786.841368,358.739465,347.541,365.844,707.122,100.0,1000.0,38.925,1000,0,0,0,0,0,ok,750k_after_delete,u1e-03,prefilter,98.0,32,100.0,6722.189222
