L,avg_latency_us,baseline_pq_bytes,beamwidth,bucket,calibration_avg_latency_us,calibration_recall@10,chosen_L,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,latency_cutoff_ms,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,p99_latency_us,points,prefilter_count,qps,query_count,query_label_file,recall,recall@10,recall_at,route,selector_type,status,target_recall@10,threads
10,366.102997,32,4,u1e-03,334.471008,100.0,10,0,0,pipeann.hybrid.search.v1,0,False,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/exp_baseline/tmp/direct_1m,100.0,1000.0,0.0,96.0,16.035,0,1384.0,1000000,1000,2342.425293,1000,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/labels/query_1000_u1e-03.spmat,100.0,100.0,10,prefilter,intersect,ok,98.0,1
10,422.584991,32,4,u3e-03,417.833008,100.0,10,0,0,pipeann.hybrid.search.v1,0,False,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/exp_baseline/tmp/direct_1m,100.0,3000.0,0.0,96.0,17.663,0,1564.0,1000000,1000,2068.229248,1000,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/labels/query_1000_u3e-03.spmat,100.0,100.0,10,prefilter,intersect,ok,98.0,1
10,698.416016,32,4,u1e-02,728.510986,100.0,10,0,0,pipeann.hybrid.search.v1,0,False,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/exp_baseline/tmp/direct_1m,100.0,10000.0,0.0,128.0,18.177,0,2615.0,1000000,1000,1302.323364,1000,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/labels/query_1000_u1e-02.spmat,100.0,100.0,10,prefilter,intersect,ok,98.0,1
10,1648.598022,32,4,u5e-02,1696.849976,100.0,10,0,0,pipeann.hybrid.search.v1,0,False,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/exp_baseline/tmp/direct_1m,100.0,50000.0,0.0,160.0,17.792,0,5215.0,1000000,1000,570.420044,1000,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/labels/query_1000_u5e-02.spmat,100.0,100.0,10,prefilter,intersect,ok,98.0,1
800,68606.429688,32,4,u5e-02,68551.453125,99.120003,800,0,0,pipeann.hybrid.search.v1,1000,False,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/exp_baseline/tmp/direct_1m,100.0,50000.0,0.0,805.382996,65.474,0,81886.0,1000000,0,14.429768,1000,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/labels/query_1000_u5e-02.spmat,99.120003,99.120003,10,graph,intersect,ok,98.0,1
10,2660.983887,32,4,u1e-01,2815.299072,100.0,10,0,0,pipeann.hybrid.search.v1,0,False,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/exp_baseline/tmp/direct_1m,100.0,100000.0,0.0,160.0,17.631,0,6414.0,1000000,1000,355.423462,1000,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/labels/query_1000_u1e-01.spmat,100.0,100.0,10,prefilter,intersect,ok,98.0,1
400,34224.632812,32,4,u1e-01,34320.871094,99.019997,400,0,0,pipeann.hybrid.search.v1,1000,False,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/exp_baseline/tmp/direct_1m,100.0,100000.0,0.0,405.822998,64.567,0,40324.0,1000000,0,28.868334,1000,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/labels/query_1000_u1e-01.spmat,99.019997,99.019997,10,graph,intersect,ok,98.0,1
10,5808.573242,32,4,u25,5735.362793,100.0,10,0,0,pipeann.hybrid.search.v1,0,False,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/exp_baseline/tmp/direct_1m,100.0,250000.0,0.0,192.0,19.673,0,7034.0,1000000,1000,162.742065,1000,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/labels/query_1000_u25.spmat,100.0,100.0,10,prefilter,intersect,ok,98.0,1
150,13625.59668,32,4,u25,13612.40918,98.019997,150,0,0,pipeann.hybrid.search.v1,1000,False,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/exp_baseline/tmp/direct_1m,100.0,250000.0,0.0,156.570007,64.631,0,19037.0,1000000,0,72.276665,1000,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/labels/query_1000_u25.spmat,98.019997,98.019997,10,graph,intersect,ok,98.0,1
10,6652.555176,32,4,u30,6647.554199,99.769997,10,0,0,pipeann.hybrid.search.v1,0,False,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/exp_baseline/tmp/direct_1m,100.0,300000.0,0.0,192.0,18.117,0,12894.0,1000000,1000,142.308823,1000,/mnt/data/lzg/PipeANN/experiments/codex_dynamic_update_suite_20260428/labels/query_1000_u30.spmat,99.769997,99.769997,10,prefilter,intersect,ok,98.0,1
