achieved_qd,bs,bw_mb_s,dataset,error,filename,fio_json,iodepth,iops,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,numjobs,read_iops,read_lat_mean_ms,read_mb_s,total_ios
1.0,4k,42.57084655761719,fashion_mnist784,0,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann_disk.index,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fio/fashion_mnist784/fio_fashion_mnist784_jobs1_qd1.json,1,10898.136729,0.08908395521099999,0.086528,0.098816,0.112128,1,10898.136729,0.08908395521099999,42.57084655761719,326955
2.0,4k,87.20477485656738,fashion_mnist784,0,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann_disk.index,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fio/fashion_mnist784/fio_fashion_mnist784_jobs1_qd2.json,2,22324.389187,0.087253879069,0.08448,0.098816,0.116224,1,22324.389187,0.087253879069,87.20477485656738,669754
4.0,4k,170.98219108581543,fashion_mnist784,0,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann_disk.index,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fio/fashion_mnist784/fio_fashion_mnist784_jobs1_qd4.json,4,43771.340955,0.08901357077599999,0.085504,0.108032,0.140288,1,43771.340955,0.08901357077599999,170.98219108581543,1313184
8.0,4k,326.90576934814453,fashion_mnist784,0,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann_disk.index,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fio/fashion_mnist784/fio_fashion_mnist784_jobs1_qd8.json,8,83687.610413,0.09328752028199999,0.0896,0.128512,0.15872,1,83687.610413,0.09328752028199999,326.90576934814453,2510712
16.0,4k,613.7606601715088,fashion_mnist784,0,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann_disk.index,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fio/fashion_mnist784/fio_fashion_mnist784_jobs1_qd16.json,16,157122.195927,0.099608589523,0.092672,0.152576,0.19968,1,157122.195927,0.099608589523,613.7606601715088,4713823
32.0,4k,1004.2557172775269,fashion_mnist784,0,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann_disk.index,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fio/fashion_mnist784/fio_fashion_mnist784_jobs1_qd32.json,32,257088.430386,0.122177419597,0.103936,0.20992,0.280576,1,257088.430386,0.122177419597,1004.2557172775269,7712910
64.0,4k,1246.6253728866577,fashion_mnist784,0,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann_disk.index,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fio/fashion_mnist784/fio_fashion_mnist784_jobs1_qd64.json,64,319133.962201,0.197735401063,0.183296,0.313344,0.387072,1,319133.962201,0.197735401063,1246.6253728866577,9574338
64.0,4k,1353.6303997039795,fashion_mnist784,0,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann_disk.index,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fio/fashion_mnist784/fio_fashion_mnist784_jobs1_qd128.json,128,346525.115829,0.366548446465,0.350208,0.489472,0.569344,1,346525.115829,0.366548446465,1353.6303997039795,10396100
1.0,4k,171.2009334564209,fashion_mnist784,0,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann_disk.index,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fio/fashion_mnist784/fio_fashion_mnist784_jobs4_qd1.json,1,43827.439085,0.08881813046,0.08448,0.108032,0.13824,4,43827.439085,0.08881813046,171.2009334564209,1314867
2.0,4k,329.54083728790283,fashion_mnist784,0,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann_disk.index,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fio/fashion_mnist784/fio_fashion_mnist784_jobs4_qd2.json,2,84362.321256,0.092352573013,0.087552,0.127488,0.154624,4,84362.321256,0.092352573013,329.54083728790283,2530954
