L,avg_await_ms,avg_cpu_pct,avg_disk_util_pct,avg_latency_us,avg_qd,avg_read_await_ms,avg_read_iops,avg_read_mb_s,avg_write_iops,avg_write_mb_s,await_ms,beamwidth,block_latency_count,block_latency_log,block_latency_mean_ms,block_latency_p50_ms,block_latency_p95_ms,block_latency_p99_ms,block_latency_status,block_latency_trace_dev,bucket_label,bucket_lower,bucket_midpoint,bucket_name,bucket_query_count,bucket_upper,configured_L,configured_route,dataset,device,disk_metrics_reason,disk_metrics_status,disk_sanity_read_bytes,effective_device,elapsed_s,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,iostat_log,max_await_ms,max_cpu_pct,max_disk_util_pct,max_qd,max_read_await_ms,max_read_iops,max_read_mb_s,max_rss_kb,max_tau_m,max_threshold_version,max_write_iops,max_write_mb_s,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,min_tau_m,min_threshold_version,p50_latency_us,p95_latency_us,p999_latency_us,p99_latency_us,peak_memory_kb,prefilter_count,prefilter_rerank_l,prefilter_rerank_source,process_max_rss_kb,qdepth,qps,query_count,query_label_file,read_await_ms,read_iops,read_mb_s,recall,recall_at,requested_device,resolved_route,returncode,route,sample_count,selectivity_lower,selectivity_midpoint,selectivity_upper,selector_type,target_threads,tau_m,threads,threshold_version
100,0.2,399.530603,0.397049,623.245972,0.000496,,0.0,0.0,2.481557,0.081426,0.2,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u0p1/t1/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,gist960,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.014864,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/gist960/gist960_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u0p1/t1/iostat.log,0.2,1499.838597,1.58781,0.001985,0.0,0.0,0.0,33728,5972,1,9.923815,0.325625,1000.0,0.0,96.0,10.506,0,5972,1,592.0,759.0,2599.0,949.0,33652,1000,,default-heuristic,33728,0.000496,1587.432373,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/gist960/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,5,0.001,0.001,0.001,intersect,1,5972,1,1
100,,825.161238,0.0,1049.072998,0.0,,0.0,0.0,0.0,0.0,,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u0p1/t4/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,gist960,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.007076,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/gist960/gist960_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u0p1/t4/iostat.log,0.0,1650.794092,0.0,0.0,0.0,0.0,0.0,33288,5972,1,0.0,0.0,1000.0,0.0,96.0,10.725,0,5972,1,1006.0,1302.0,3417.0,1593.0,36160,1000,,default-heuristic,33288,0.0,3780.843506,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/gist960/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.001,0.001,0.001,intersect,4,5972,4,1
100,,901.618657,0.0,2367.778076,0.0,,0.0,0.0,0.0,0.0,,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u0p1/t8/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,gist960,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.007078,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/gist960/gist960_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u0p1/t8/iostat.log,0.0,1803.786911,0.0,0.0,0.0,0.0,0.0,37992,5972,1,0.0,0.0,1000.0,0.0,96.0,13.353,0,5972,1,2271.0,2971.0,6475.0,3535.0,39700,1000,,default-heuristic,37992,0.0,3359.530029,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/gist960/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.001,0.001,0.001,intersect,8,5972,8,1
100,,399.029521,0.0,794.604004,0.0,,0.0,0.0,0.0,0.0,,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u0p5/t1/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,gist960,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.014889,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/gist960/gist960_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u0p5/t1/iostat.log,0.0,1495.729155,0.0,0.0,0.0,0.0,0.0,32892,5972,1,0.0,0.0,5000.0,0.0,96.0,17.06,0,5972,1,768.0,955.0,2855.0,1148.0,34140,1000,,default-heuristic,32892,0.0,1239.619751,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/gist960/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,5,0.005,0.005,0.005,intersect,1,5972,1,1
100,,826.098361,0.0,1198.170044,0.0,,0.0,0.0,0.0,0.0,,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u0p5/t4/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,gist960,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.007144,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/gist960/gist960_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u0p5/t4/iostat.log,0.0,1652.627524,0.0,0.0,0.0,0.0,0.0,37076,5972,1,0.0,0.0,5000.0,0.0,96.0,19.635,0,5972,1,1159.0,1469.0,3738.0,1858.0,36840,1000,,default-heuristic,37076,0.0,3295.560791,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/gist960/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.005,0.005,0.005,intersect,4,5972,4,1
100,,908.431874,0.0,2356.686035,0.0,,0.0,0.0,0.0,0.0,,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u0p5/t8/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,gist960,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.006129,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/gist960/gist960_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u0p5/t8/iostat.log,0.0,1819.12925,0.0,0.0,0.0,0.0,0.0,39256,5972,1,0.0,0.0,5000.0,0.0,96.0,20.101,0,5972,1,2231.0,3135.0,6985.0,3663.0,40504,1000,,default-heuristic,39256,0.0,3366.253418,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/gist960/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.005,0.005,0.005,intersect,8,5972,8,1
100,0.102838,259.468522,91.174011,3566.739014,3.232928,0.102841,31434.921764,231.30641,0.869033,0.020853,0.102838,4,253206,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u1/t1/block_latency.log,0.099044,0.1,0.13,0.16,ok_bpftrace,271581189,1.0%,0.01,0.01,u1,1000,0.01,100,auto,gist960,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,8.054927,0,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/data/gist960/gist960_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u1/t1/iostat.log,0.10487,1553.52151,100.466191,3.648923,0.10487,35778.504581,262.993365,35072,5972,1,7.942495,0.209421,10000.0,0.0,119.257004,22.073,0,5972,1,3550.0,3949.0,6793.0,4181.0,35008,0,,default-heuristic,35072,3.232928,274.217133,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/gist960/workloads/uniform_exact_selectivity/u1/queries.spmat,0.102841,31434.921764,231.30641,,10,nvme1n1,graph,0,auto,17,0.01,0.01,0.01,intersect,1,5972,1,1
100,0.113662,695.825058,85.468923,4227.00293,11.40605,0.113662,100350.920827,738.346046,0.0,0.0,0.113662,4,252163,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u1/t4/block_latency.log,0.110294,0.11,0.17,0.22,ok_bpftrace,271581189,1.0%,0.01,0.01,u1,1000,0.01,100,auto,gist960,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.517874,0,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/data/gist960/gist960_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u1/t4/iostat.log,0.114144,1877.755875,100.089754,13.597454,0.114144,119731.038556,880.376196,40336,5972,1,0.0,0.0,10000.0,0.0,118.982002,23.041,0,5972,1,4188.0,4758.0,6629.0,5222.0,40644,0,,default-heuristic,40336,11.40605,925.8125,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/gist960/workloads/uniform_exact_selectivity/u1/queries.spmat,0.113662,100350.920827,738.346046,,10,nvme1n1,graph,0,auto,6,0.01,0.01,0.01,intersect,4,5972,4,1
100,0.136128,972.883217,67.307635,5256.647949,17.053253,0.136127,125271.123409,921.664142,2.978214,0.025206,0.136128,4,251468,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u1/t8/block_latency.log,0.131986,0.12,0.23,0.29,ok_bpftrace,271581189,1.0%,0.01,0.01,u1,1000,0.01,100,auto,gist960,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.01463,0,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/data/gist960/gist960_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u1/t8/iostat.log,0.139334,2292.298251,100.044842,26.408662,0.139328,189543.28935,1394.071023,44196,5972,1,5.959181,0.062075,10000.0,0.0,118.797997,28.55,0,5972,1,5179.0,5925.0,10914.0,6546.0,46968,0,,default-heuristic,44196,17.053253,1493.414185,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/gist960/workloads/uniform_exact_selectivity/u1/queries.spmat,0.136127,125271.123409,921.664142,,10,nvme1n1,graph,0,auto,5,0.01,0.01,0.01,intersect,8,5972,8,1
100,0.102065,263.499893,95.018856,3514.13208,3.422188,0.102055,33527.646888,246.730119,1.721356,0.08793,0.102065,4,253207,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u5/t1/block_latency.log,0.098538,0.1,0.13,0.16,ok_bpftrace,271581189,5.0%,0.05,0.05,u5,1000,0.05,100,auto,gist960,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,7.552185,0,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/data/gist960/gist960_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/gist960/thread_sweep/u5/t1/iostat.log,0.103124,1553.786307,100.124583,3.669103,0.103124,36007.879379,265.209131,35012,5972,1,15.892162,0.946701,50000.0,0.0,119.258003,25.869,0,5972,1,3495.0,3888.0,5445.0,4081.0,34896,0,,default-heuristic,35012,3.422188,278.354065,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/gist960/workloads/uniform_exact_selectivity/u5/queries.spmat,0.102055,33527.646888,246.730119,,10,nvme1n1,graph,0,auto,16,0.05,0.05,0.05,intersect,1,5972,1,1
