L,avg_await_ms,avg_cpu_pct,avg_disk_util_pct,avg_latency_us,avg_qd,avg_read_await_ms,avg_read_iops,avg_read_mb_s,avg_write_iops,avg_write_mb_s,await_ms,beamwidth,block_latency_count,block_latency_log,block_latency_mean_ms,block_latency_p50_ms,block_latency_p95_ms,block_latency_p99_ms,block_latency_status,block_latency_trace_dev,bucket_label,bucket_lower,bucket_midpoint,bucket_name,bucket_query_count,bucket_upper,configured_L,configured_route,dataset,device,disk_metrics_reason,disk_metrics_status,disk_sanity_read_bytes,effective_device,elapsed_s,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,iostat_log,max_await_ms,max_cpu_pct,max_disk_util_pct,max_qd,max_read_await_ms,max_read_iops,max_read_mb_s,max_rss_kb,max_tau_m,max_threshold_version,max_write_iops,max_write_mb_s,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,min_tau_m,min_threshold_version,p50_latency_us,p95_latency_us,p999_latency_us,p99_latency_us,peak_memory_kb,prefilter_count,prefilter_rerank_l,prefilter_rerank_source,process_max_rss_kb,qdepth,qps,query_count,query_label_file,read_await_ms,read_iops,read_mb_s,recall,recall_at,requested_device,resolved_route,returncode,route,sample_count,selectivity_lower,selectivity_midpoint,selectivity_upper,selector_type,target_threads,tau_m,threads,threshold_version
100,0.2,238.022811,0.297839,531.468018,0.000248,,0.0,0.0,1.240995,0.042659,0.2,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u0p1/t1/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.0010004106415302228,0.0010004106415302228,u0p1,1000,0.0010004106415302228,100,auto,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,4.029026,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u0p1/t1/iostat.log,0.333333,1498.011583,0.794701,0.001985,0.0,0.0,0.0,29064,75027,1,5.955178,0.217116,1184.0,0.0,96.0,8.01,0,75027,1,523.0,672.0,2316.0,929.0,34524,1000,,default-heuristic,29064,0.000248,1857.649414,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,9,0.0010004106415302228,0.0010004106415302228,0.0010004106415302228,intersect,1,75027,1,1
100,0.625,550.449172,0.397078,1030.979004,0.007445,,0.0,0.0,11.912336,0.098882,0.625,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u0p1/t4/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.0010004106415302228,0.0010004106415302228,u0p1,1000,0.0010004106415302228,100,auto,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.014718,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u0p1/t4/iostat.log,1.0,1647.046532,0.794715,0.027815,0.0,0.0,0.0,32244,75027,1,45.696104,0.357001,1184.0,0.0,96.0,11.81,0,75027,1,982.0,1257.0,3820.0,1583.0,36908,1000,,default-heuristic,32244,0.007445,3842.817871,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,5,0.0010004106415302228,0.0010004106415302228,0.0010004106415302228,intersect,4,75027,4,1
100,0.333333,682.806661,0.158977,2768.424072,0.000397,,0.0,0.0,1.192328,0.03105,0.333333,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u0p1/t8/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.0010004106415302228,0.0010004106415302228,u0p1,1000,0.0010004106415302228,100,auto,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.516086,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u0p1/t8/iostat.log,0.333333,1803.919903,0.794678,0.001987,0.0,0.0,0.0,36360,75027,1,5.960088,0.155211,1184.0,0.0,96.0,14.752,0,75027,1,2694.0,3386.0,6998.0,4409.0,42808,1000,,default-heuristic,36360,0.000397,2871.6521,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,6,0.0010004106415302228,0.0010004106415302228,0.0010004106415302228,intersect,8,75027,8,1
100,0.333333,190.54832,0.122146,990.888977,0.000153,,0.0,0.0,0.458049,0.019085,0.333333,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u0p5/t1/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005000363324810691,0.005000363324810691,u0p5,1000,0.005000363324810691,100,auto,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,6.54952,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u0p5/t1/iostat.log,0.5,1499.854181,0.793879,0.001984,0.0,0.0,0.0,28680,75027,1,3.968224,0.162759,5918.0,0.0,128.0,19.336,0,75027,1,958.0,1195.0,3437.0,1402.0,34744,1000,,default-heuristic,28680,0.000153,995.660034,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,14,0.005000363324810691,0.005000363324810691,0.005000363324810691,intersect,1,75027,1,1
100,0.0,465.036767,0.113424,1552.988037,0.0,,0.0,0.0,0.283559,0.002215,0.0,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u0p5/t4/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005000363324810691,0.005000363324810691,u0p5,1000,0.005000363324810691,100,auto,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,3.526603,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u0p5/t4/iostat.log,0.0,1654.90997,0.793719,0.0,0.0,0.0,0.0,32504,75027,1,1.984298,0.015502,5918.0,0.0,128.0,21.793,0,75027,1,1505.0,1857.0,4557.0,2192.0,37452,1000,,default-heuristic,32504,0.0,2548.818359,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,8,0.005000363324810691,0.005000363324810691,0.005000363324810691,intersect,4,75027,4,1
100,0.5,685.363686,0.132373,3182.250977,0.000331,,0.0,0.0,0.661867,0.021976,0.5,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u0p5/t8/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005000363324810691,0.005000363324810691,u0p5,1000,0.005000363324810691,100,auto,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,3.021753,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u0p5/t8/iostat.log,0.5,1831.06362,0.793996,0.001985,0.0,0.0,0.0,37104,75027,1,3.969981,0.131816,5918.0,0.0,128.0,24.025,0,75027,1,3049.0,3999.0,7946.0,4756.0,41016,1000,,default-heuristic,37104,0.000331,2494.822754,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,7,0.005000363324810691,0.005000363324810691,0.005000363324810691,intersect,8,75027,8,1
100,0.3,184.251338,0.283682,1138.597046,0.000426,,0.0,0.0,1.418409,0.045987,0.3,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u1/t1/block_latency.log,,,,,unavailable_no_events,,1.0%,0.00999988170820117,0.00999988170820117,u1,1000,0.00999988170820117,100,auto,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,7.050152,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u1/t1/iostat.log,1.0,1499.973479,1.589376,0.003971,0.0,0.0,0.0,31948,75027,1,7.942742,0.302507,11835.0,0.0,128.0,30.0,0,75027,1,1084.0,1317.0,3771.0,2025.0,34896,1000,,default-heuristic,31948,0.000426,860.939636,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/workloads/uniform_exact_selectivity/u1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,15,0.00999988170820117,0.00999988170820117,0.00999988170820117,intersect,1,75027,1,1
100,0.2,469.068627,0.226877,1463.995972,0.000284,,0.0,0.0,1.417983,0.029911,0.2,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u1/t4/block_latency.log,,,,,unavailable_no_events,,1.0%,0.00999988170820117,0.00999988170820117,u1,1000,0.00999988170820117,100,auto,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,3.526136,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u1/t4/iostat.log,0.5,1651.083719,0.794745,0.001987,0.0,0.0,0.0,32772,75027,1,5.953899,0.139545,11835.0,0.0,128.0,26.883,0,75027,1,1488.0,1924.0,3951.0,2159.0,37624,1000,,default-heuristic,32772,0.000284,2686.672119,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/workloads/uniform_exact_selectivity/u1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,8,0.00999988170820117,0.00999988170820117,0.00999988170820117,intersect,4,75027,4,1
100,0.352941,689.218103,0.340355,3266.291992,0.001702,,0.0,0.0,4.82169,0.080879,0.352941,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u1/t8/block_latency.log,,,,,unavailable_no_events,,1.0%,0.00999988170820117,0.00999988170820117,u1,1000,0.00999988170820117,100,auto,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,3.525734,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u1/t8/iostat.log,0.5,1813.785176,0.794648,0.009933,0.0,0.0,0.0,37176,75027,1,23.839455,0.263848,11835.0,0.0,128.0,35.443,0,75027,1,3153.0,3999.0,8203.0,4829.0,41760,1000,,default-heuristic,37176,0.001702,2424.508057,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/workloads/uniform_exact_selectivity/u1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,8,0.00999988170820117,0.00999988170820117,0.00999988170820117,intersect,8,75027,8,1
100,0.2,132.479897,0.198554,2677.643066,0.000165,,0.0,0.0,0.82731,0.019606,0.2,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u5/t1/block_latency.log,,,,,unavailable_no_events,,5.0%,0.050000253482426066,0.050000253482426066,u5,1000,0.050000253482426066,100,auto,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,18.131053,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/glove100/thread_sweep/u5/t1/iostat.log,1.0,1503.420469,0.794324,0.001986,0.0,0.0,0.0,30536,75027,1,5.955938,0.147384,59176.0,0.0,160.0,35.95,0,75027,1,2670.0,2960.0,5963.0,3404.0,35388,1000,,default-heuristic,30536,0.000165,326.3638,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/workloads/uniform_exact_selectivity/u5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,37,0.050000253482426066,0.050000253482426066,0.050000253482426066,intersect,1,75027,1,1
