L,avg_await_ms,avg_cpu_pct,avg_disk_util_pct,avg_latency_us,avg_qd,avg_read_await_ms,avg_read_iops,avg_read_mb_s,avg_write_iops,avg_write_mb_s,await_ms,beamwidth,block_latency_count,block_latency_log,block_latency_mean_ms,block_latency_p50_ms,block_latency_p95_ms,block_latency_p99_ms,block_latency_status,block_latency_trace_dev,bucket_label,bucket_lower,bucket_midpoint,bucket_name,bucket_query_count,bucket_upper,configured_L,configured_route,dataset,device,disk_metrics_reason,disk_metrics_status,disk_sanity_read_bytes,effective_device,elapsed_s,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,iostat_log,max_await_ms,max_cpu_pct,max_disk_util_pct,max_qd,max_read_await_ms,max_read_iops,max_read_mb_s,max_rss_kb,max_tau_m,max_threshold_version,max_write_iops,max_write_mb_s,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,min_tau_m,min_threshold_version,p50_latency_us,p95_latency_us,p999_latency_us,p99_latency_us,peak_memory_kb,prefilter_count,prefilter_rerank_l,prefilter_rerank_source,process_max_rss_kb,qdepth,qps,query_count,query_label_file,read_await_ms,read_iops,read_mb_s,recall,recall_at,requested_device,resolved_route,returncode,route,sample_count,selectivity_lower,selectivity_midpoint,selectivity_upper,selector_type,target_threads,tau_m,threads,threshold_version
100,0.10387,201.568139,99.833851,3608.179932,3.592653,0.10387,34587.187334,254.291277,0.799097,0.007687,0.10387,4,12725155,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t4e-03_l600/t1/block_latency.log,0.100436,0.1,0.14,0.17,ok_bpftrace,271581189,t4e-03,0.0040071,0.0040071,real_t4e-03_l600,100000,0.0040071,100,auto,yfcc10m,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,367.915288,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t4e-03_l600/t1/iostat.log,0.105165,1550.333607,100.608217,3.624802,0.105165,35027.590453,256.999943,383164,3694,1,39.765536,0.295135,40071.0,0.0,119.752678,88.51384,0,3694,1,3593.0,3891.0,4727.0,4082.0,193772,0,,default-heuristic,383164,3.592653,272.269714,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t4e-03_l600/queries.spmat,0.10387,34587.187334,254.291277,,10,nvme1n1,graph,0,auto,732,0.0040071,0.0040071,0.0040071,intersect,1,3694,1,1
100,0.114819,797.37409,99.249296,4280.847168,13.294717,0.114818,115787.262121,851.477041,1.031071,0.009231,0.114819,4,12675793,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t4e-03_l600/t4/block_latency.log,0.111777,0.11,0.18,0.23,ok_bpftrace,271581189,t4e-03,0.0040071,0.0040071,real_t4e-03_l600,100000,0.0040071,100,auto,yfcc10m,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,109.594732,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t4e-03_l600/t4/iostat.log,0.8,1817.739847,100.601758,13.504005,0.12669,118582.391968,871.843181,390972,3694,1,25.829661,0.240601,40071.0,0.0,119.44516,94.81614,0,3694,1,4260.0,4716.0,6523.0,5005.0,190448,0,,default-heuristic,390972,13.294717,919.594788,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t4e-03_l600/queries.spmat,0.114818,115787.262121,851.477041,,10,nvme1n1,graph,0,auto,219,0.0040071,0.0040071,0.0040071,intersect,4,3694,4,1
100,0.132646,1593.572077,99.229049,5168.988281,25.479428,0.132646,192084.720432,1412.780633,0.940071,0.009003,0.132646,4,4370895,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t4e-03_l600/t8/block_latency.log,0.130056,0.12,0.23,0.3,ok_bpftrace,271581189,t4e-03,0.0040071,0.0040071,real_t4e-03_l600,100000,0.0040071,100,auto,yfcc10m,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,65.952461,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t4e-03_l600/t8/iostat.log,0.136159,2348.741366,100.588896,25.880702,0.136159,195576.552146,1437.581564,402056,3694,1,31.776682,0.139644,40071.0,0.0,119.264633,95.84998,0,3694,1,5149.0,5728.0,6896.0,6053.0,191992,0,,default-heuristic,402056,25.479428,1528.677734,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t4e-03_l600/queries.spmat,0.132646,192084.720432,1412.780633,,10,nvme1n1,graph,0,auto,132,0.0040071,0.0040071,0.0040071,intersect,8,3694,8,1
100,0.099198,201.363732,99.78993,3481.706055,3.550879,0.099198,35794.979236,263.168845,0.768134,0.007265,0.099198,4,8329938,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t5e-03_l902/t1/block_latency.log,0.097855,0.1,0.13,0.17,ok_bpftrace,271581189,t5e-03,0.0050002,0.0050002,real_t5e-03_l902,100000,0.0050002,100,auto,yfcc10m,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,355.406604,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t5e-03_l902/t1/iostat.log,0.137931,1554.018708,100.590238,3.583146,0.137931,36709.387279,269.416833,383224,3694,1,47.672973,0.675057,50002.0,0.0,119.71978,99.69743,0,3694,1,3468.0,3767.0,4602.0,3957.0,193284,0,,default-heuristic,383224,3.550879,281.978577,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-03_l902/queries.spmat,0.099198,35794.979236,263.168845,,10,nvme1n1,graph,0,auto,707,0.0050002,0.0050002,0.0050002,intersect,1,3694,1,1
100,0.115615,797.492319,99.289662,4291.700684,13.370723,0.115614,115647.759412,850.476993,1.048013,0.009576,0.115615,4,12676612,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t5e-03_l902/t4/block_latency.log,0.112188,0.11,0.18,0.23,ok_bpftrace,271581189,t5e-03,0.0050002,0.0050002,real_t5e-03_l902,100000,0.0050002,100,auto,yfcc10m,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,109.731464,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t5e-03_l902/t4/iostat.log,0.134454,1835.859374,100.579294,13.536299,0.116719,118140.657963,867.243307,390796,3694,1,23.818121,0.38944,50002.0,0.0,119.45372,99.72531,0,3694,1,4274.0,4711.0,5735.0,4971.0,190484,0,,default-heuristic,390796,13.370723,918.070984,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-03_l902/queries.spmat,0.115614,115647.759412,850.476993,,10,nvme1n1,graph,0,auto,219,0.0050002,0.0050002,0.0050002,intersect,4,3694,4,1
100,0.131937,1592.356424,99.223582,5165.112305,25.355721,0.131936,192179.813489,1413.673495,1.153057,0.009305,0.131937,4,1134089,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t5e-03_l902/t8/block_latency.log,0.128004,0.12,0.23,0.3,ok_bpftrace,271581189,t5e-03,0.0050002,0.0050002,real_t5e-03_l902,100000,0.0050002,100,auto,yfcc10m,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,65.911751,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t5e-03_l902/t8/iostat.log,0.133172,2210.101487,100.632377,25.724361,0.133173,196062.431292,1442.460017,403260,3694,1,31.806695,0.178432,50002.0,0.0,119.266342,104.94901,0,3694,1,5147.0,5726.0,6845.0,6034.0,195536,0,,default-heuristic,403260,25.355721,1529.710571,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-03_l902/queries.spmat,0.131936,192179.813489,1413.673495,,10,nvme1n1,graph,0,auto,132,0.0050002,0.0050002,0.0050002,intersect,8,3694,8,1
100,0.103561,201.546606,99.852013,3649.178711,3.542866,0.103558,34209.532774,251.510728,0.862953,0.008265,0.103561,4,12725210,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t1e-02_l0/t1/block_latency.log,0.100188,0.1,0.14,0.17,ok_bpftrace,271581189,t1e-02,0.0097939,0.0097939,real_t1e-02_l0,100000,0.0097939,100,auto,yfcc10m,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,371.97848,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t1e-02_l0/t1/iostat.log,0.104436,1546.022658,100.619966,3.575037,0.104442,34704.89835,254.016781,383608,3694,1,37.73794,0.496575,97939.0,0.0,119.751312,138.06848,0,3694,1,3634.0,3932.0,4773.0,4122.0,190580,0,,default-heuristic,383608,3.542866,269.244019,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-02_l0/queries.spmat,0.103558,34209.532774,251.510728,,10,nvme1n1,graph,0,auto,740,0.0097939,0.0097939,0.0097939,intersect,1,3694,1,1
100,0.115676,801.085274,99.383411,4336.624512,13.255285,0.115676,114588.489898,842.876994,0.830814,0.006985,0.115676,4,8093868,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t1e-02_l0/t4/block_latency.log,0.112732,0.11,0.18,0.23,ok_bpftrace,271581189,t1e-02,0.0097939,0.0097939,real_t1e-02_l0,100000,0.0097939,100,auto,yfcc10m,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,110.734778,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t1e-02_l0/t4/iostat.log,0.135741,1842.45328,100.604202,13.489739,0.135741,116991.777629,859.34922,393124,3694,1,25.819995,0.147407,97939.0,0.0,119.468712,140.79317,0,3694,1,4317.0,4763.0,6205.0,5041.0,195740,0,,default-heuristic,393124,13.255285,908.857117,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-02_l0/queries.spmat,0.115676,114588.489898,842.876994,,10,nvme1n1,graph,0,auto,221,0.0097939,0.0097939,0.0097939,intersect,4,3694,4,1
100,0.133286,1588.808736,99.155794,5244.210449,25.23116,0.133286,189300.454822,1392.403083,0.836758,0.010623,0.133286,4,12640886,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t1e-02_l0/t8/block_latency.log,0.130188,0.12,0.23,0.3,ok_bpftrace,271581189,t1e-02,0.0097939,0.0097939,real_t1e-02_l0,100000,0.0097939,100,auto,yfcc10m,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,66.924984,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t1e-02_l0/t8/iostat.log,0.134239,1722.507385,100.590542,25.621531,0.134242,192309.556783,1414.296968,405640,3694,1,27.8066,0.498323,97939.0,0.0,119.277679,151.62747,0,3694,1,5223.0,5804.0,6955.0,6131.0,195084,0,,default-heuristic,405640,25.23116,1507.385132,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-02_l0/queries.spmat,0.133286,189300.454822,1392.403083,,10,nvme1n1,graph,0,auto,134,0.0097939,0.0097939,0.0097939,intersect,8,3694,8,1
100,0.099177,200.72602,99.901081,3566.239746,3.470489,0.099177,34992.224682,257.261804,0.668546,0.005932,0.099177,4,12718818,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t5e-02_l24/t1/block_latency.log,0.097294,0.1,0.13,0.17,ok_bpftrace,271581189,t5e-02,0.0499079,0.0499079,real_t5e-02_l24,100000,0.0499079,100,auto,yfcc10m,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,363.475547,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/yfcc10m/thread_sweep/real_t5e-02_l24/t1/iostat.log,0.102046,926.016529,100.629849,3.50596,0.102046,35422.281343,260.074472,384268,3694,1,21.84848,0.100863,499079.0,0.0,119.689613,180.17919,0,3694,1,3552.0,3844.0,4665.0,4031.0,191976,0,,default-heuristic,384268,3.470489,275.413055,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-02_l24/queries.spmat,0.099177,34992.224682,257.261804,,10,nvme1n1,graph,0,auto,723,0.0499079,0.0499079,0.0499079,intersect,1,3694,1,1
