dataset,bucket_name,selectivity,thread,route_decision,qps,query_p99_latency_us,query_p999_latency_us,cpu_pct,mean_ios,real_read_iops,real_read_mb_s,real_iops,real_mb_s,real_qd,real_read_await_ms,real_ssd_lat_status,real_ssd_lat_p50_ms,real_ssd_lat_p95_ms,real_ssd_lat_p99_ms,fio_matched_iodepth,fio_matched_achieved_qd,fio_iops,fio_mb_s,fio_bw_mb_s,iops_vs_fio_ratio,bw_vs_fio_ratio,fio_lat_mean_ms,fio_lat_p99_ms,fio_capacity_ratio,disk_metrics_status,bottleneck_conclusion
fashion_mnist784,u0p1,0.001,1,prefilter,10401.411133,94.0,9141.0,741.683143,60.0,60.810043,0.249221,60.810043,0.249221,0.008972,0.147541,ok_bpftrace,0.15,0.18,0.32,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.005466253483288353,0.005735074413492672,0.087434355233,0.11008,0.005735074413492672,ok,io_latency_or_queue_underfilled
fashion_mnist784,u0p1,0.001,4,prefilter,21234.929688,236.0,471.0,793.50884,60.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u0p1,0.001,8,prefilter,13898.033203,658.0,1445.0,850.354296,60.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u0p5,0.005,1,prefilter,4955.474121,389.0,13595.0,519.013464,96.0,199.364967,0.778769,199.364967,0.778769,0.021266,0.106667,ok_bpftrace,0.1,0.16,0.17,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.01792104382016993,0.01792103460752214,0.087434355233,0.11008,0.01792104382016993,ok,io_latency_or_queue_underfilled
fashion_mnist784,u0p5,0.005,4,prefilter,13045.336914,349.0,766.0,789.492984,96.0,0.0,0.0,0.0,0.0,0.000997,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u0p5,0.005,8,prefilter,8892.495117,1015.0,1369.0,810.442078,96.0,0.0,0.0,0.0,0.0,0.000665,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u1,0.01,1,prefilter,3370.723389,2141.0,17071.0,410.692309,128.0,298.050972,1.164262,298.050972,1.164262,0.032397,0.105351,ok_bpftrace,0.09,0.16,0.19,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.026791991643427705,0.02679200070139276,0.087434355233,0.11008,0.02679200070139276,ok,io_latency_or_queue_underfilled
fashion_mnist784,u1,0.01,4,prefilter,9304.584961,481.0,859.0,778.567273,128.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u1,0.01,8,prefilter,6679.319824,1407.0,1899.0,794.077795,128.0,0.0,0.0,0.0,0.0,0.001994,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u5,0.05,1,prefilter,1487.945801,12323.0,19578.0,294.671866,160.0,979.360384,3.82952,979.360384,3.82952,0.09767,0.09905,ok_bpftrace,0.09,0.16,0.18,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.08803532848076787,0.0881249259410662,0.087434355233,0.11008,0.0881249259410662,ok,io_latency_or_queue_underfilled
fashion_mnist784,u5,0.05,4,prefilter,6923.446289,739.0,1243.0,641.21574,160.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u5,0.05,8,prefilter,5186.659668,1729.0,2338.0,773.943966,160.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u10,0.1,1,prefilter,1032.698364,13358.0,16273.0,238.437002,160.0,1395.990095,5.585447,1395.990095,5.585447,0.127814,0.091201,ok_bpftrace,0.09,0.14,0.17,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.12548643847250346,0.1285323234302864,0.087434355233,0.11008,0.1285323234302864,ok,io_latency_or_queue_underfilled
fashion_mnist784,u10,0.1,4,prefilter,6247.629395,852.0,1167.0,637.842711,160.0,0.0,0.0,0.0,0.0,0.000664,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u10,0.1,8,prefilter,5314.588867,1965.0,2202.0,776.713996,160.0,0.0,0.0,0.0,0.0,0.000499,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u25,0.25,1,prefilter,527.665283,16866.0,21141.0,188.274138,192.0,2342.6449,10.398879,2342.6449,10.398879,0.226328,0.096612,ok_bpftrace,0.09,0.14,0.18,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.21058184163317717,0.23929903532168748,0.087434355233,0.11008,0.23929903532168748,ok,io_latency_or_queue_underfilled
fashion_mnist784,u25,0.25,4,prefilter,5204.669922,907.0,1166.0,571.014531,192.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u25,0.25,8,prefilter,6731.108887,1773.0,1989.0,803.097969,192.0,0.0,0.0,0.0,0.0,0.000996,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
