L,avg_await_ms,avg_cpu_pct,avg_disk_util_pct,avg_latency_us,avg_qd,avg_read_await_ms,avg_read_iops,avg_read_mb_s,avg_write_iops,avg_write_mb_s,await_ms,beamwidth,block_latency_count,block_latency_log,block_latency_mean_ms,block_latency_p50_ms,block_latency_p95_ms,block_latency_p99_ms,block_latency_status,block_latency_trace_dev,bucket_label,bucket_lower,bucket_midpoint,bucket_name,bucket_query_count,bucket_upper,configured_L,configured_route,dataset,device,disk_metrics_reason,disk_metrics_status,disk_sanity_read_bytes,effective_device,elapsed_s,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,iostat_log,max_await_ms,max_cpu_pct,max_disk_util_pct,max_qd,max_read_await_ms,max_read_iops,max_read_mb_s,max_rss_kb,max_tau_m,max_threshold_version,max_write_iops,max_write_mb_s,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,min_tau_m,min_threshold_version,p50_latency_us,p95_latency_us,p999_latency_us,p99_latency_us,peak_memory_kb,prefilter_count,prefilter_rerank_l,prefilter_rerank_source,process_max_rss_kb,qdepth,qps,query_count,query_label_file,read_await_ms,read_iops,read_mb_s,recall,recall_at,requested_device,resolved_route,returncode,route,sample_count,selectivity_lower,selectivity_midpoint,selectivity_upper,selector_type,target_threads,tau_m,threads,threshold_version
100,0.147541,741.683143,1.595018,94.406998,0.008972,0.147541,60.810043,0.249221,0.0,0.0,0.147541,4,61,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u0p1/t1/block_latency.log,0.13759,0.15,0.18,0.32,ok_bpftrace,271581189,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.003124,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u0p1/t1/iostat.log,0.147541,1484.044835,3.191494,0.017952,0.147541,121.675719,0.498671,17304,60000,1,0.0,0.0,60.0,0.0,60.0,0.013,0,60000,1,86.0,89.0,9141.0,94.0,31768,1000,,default-heuristic,17304,0.008972,10401.411133,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,0.147541,60.810043,0.249221,,10,nvme1n1,prefilter,0,auto,3,0.001,0.001,0.001,intersect,1,60000,1,1
100,,793.50884,0.0,185.352997,0.0,,0.0,0.0,0.0,0.0,,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u0p1/t4/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.003139,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u0p1/t4/iostat.log,0.0,1587.799984,0.0,0.0,0.0,0.0,0.0,18816,60000,1,0.0,0.0,60.0,0.0,60.0,0.179,0,60000,1,182.0,221.0,471.0,236.0,34100,1000,,default-heuristic,18816,0.0,21234.929688,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.001,0.001,0.001,intersect,4,60000,4,1
100,,850.354296,0.0,569.521973,0.0,,0.0,0.0,0.0,0.0,,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u0p1/t8/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.003111,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u0p1/t8/iostat.log,0.0,1701.497576,0.0,0.0,0.0,0.0,0.0,21408,60000,1,0.0,0.0,60.0,0.0,60.0,0.807,0,60000,1,572.0,625.0,1445.0,658.0,36588,1000,,default-heuristic,21408,0.0,13898.033203,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.001,0.001,0.001,intersect,8,60000,8,1
100,0.105611,519.013464,3.455659,200.035995,0.021266,0.106667,199.364967,0.778769,1.99365,0.05711,0.105611,4,300,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u0p5/t1/block_latency.log,0.10189,0.1,0.16,0.17,ok_bpftrace,271581189,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.504778,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u0p5/t1/iostat.log,0.105611,1458.091915,10.3722,0.063829,0.106667,598.396135,2.337485,16956,60000,1,5.983961,0.171416,300.0,0.0,96.0,1.003,0,60000,1,155.0,259.0,13595.0,389.0,31772,1000,,default-heuristic,16956,0.021266,4955.474121,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,0.106667,199.364967,0.778769,,10,nvme1n1,prefilter,0,auto,4,0.005,0.005,0.005,intersect,1,60000,1,1
100,1.0,789.492984,0.398734,303.337006,0.000997,,0.0,0.0,0.996835,0.007788,1.0,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u0p5/t4/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.003175,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u0p5/t4/iostat.log,1.0,1579.80859,0.797053,0.001993,0.0,0.0,0.0,18860,60000,1,1.992632,0.015567,300.0,0.0,96.0,1.063,0,60000,1,302.0,335.0,766.0,349.0,33764,1000,,default-heuristic,18860,0.000997,13045.336914,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.005,0.005,0.005,intersect,4,60000,4,1
100,0.5,810.442078,0.265937,893.080994,0.000665,,0.0,0.0,1.329683,0.057135,0.5,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u0p5/t8/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.504117,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u0p5/t8/iostat.log,0.5,1627.949685,0.797761,0.001994,0.0,0.0,0.0,21460,60000,1,3.988806,0.171394,300.0,0.0,96.0,1.601,0,60000,1,892.0,957.0,1369.0,1015.0,36588,1000,,default-heuristic,21460,0.000665,8892.495117,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,4,0.005,0.005,0.005,intersect,8,60000,8,1
100,0.106312,410.692309,5.183495,294.273987,0.032397,0.105351,298.050972,1.164262,1.993652,0.048673,0.106312,4,598,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u1/t1/block_latency.log,0.100226,0.09,0.16,0.19,ok_bpftrace,271581189,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.006368,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u1/t1/iostat.log,0.106312,1494.076969,20.745528,0.12966,0.105351,1192.86786,4.65964,17132,60000,1,7.979049,0.194801,600.0,0.0,128.0,1.058,0,60000,1,222.0,294.0,17071.0,2141.0,31820,1000,,default-heuristic,17132,0.032397,3370.723389,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,0.105351,298.050972,1.164262,,10,nvme1n1,prefilter,0,auto,5,0.01,0.01,0.01,intersect,1,60000,1,1
100,0.0,778.567273,0.398754,425.811005,0.0,,0.0,0.0,2.990655,0.08567,0.0,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u1/t4/block_latency.log,,,,,unavailable_no_events,,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.003125,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u1/t4/iostat.log,0.0,1557.873321,0.797886,0.0,0.0,0.0,0.0,18756,60000,1,5.984148,0.171421,600.0,0.0,128.0,1.521,0,60000,1,427.0,461.0,859.0,481.0,34108,1000,,default-heuristic,18756,0.0,9304.584961,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.01,0.01,0.01,intersect,4,60000,4,1
100,0.6,794.077795,0.2658,1190.365967,0.001994,,0.0,0.0,3.322501,0.064893,0.6,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u1/t8/block_latency.log,,,,,unavailable_no_events,,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.50489,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u1/t8/iostat.log,0.6,1585.806197,0.797096,0.005978,0.0,0.0,0.0,21420,60000,1,9.963705,0.194604,600.0,0.0,128.0,2.239,0,60000,1,1187.0,1311.0,1899.0,1407.0,36860,1000,,default-heuristic,21420,0.001994,6679.319824,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,4,0.01,0.01,0.01,intersect,8,60000,8,1
100,0.099255,294.671866,16.079051,662.682983,0.09767,0.09905,979.360384,3.82952,1.328847,0.029847,0.099255,4,2948,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u5/t1/block_latency.log,0.094628,0.09,0.16,0.18,ok_bpftrace,271581189,5.0%,0.05,0.05,u5,1000,0.05,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,3.010128,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260515_bpftrace_rerun/fashion_mnist784/thread_sweep/u5/t1/iostat.log,0.135983,1460.127163,53.458208,0.456788,0.134172,4920.947691,19.222452,17140,60000,1,5.984128,0.163628,3000.0,0.0,160.0,1.16,0,60000,1,354.0,1355.0,19578.0,12323.0,32024,1000,,default-heuristic,17140,0.09767,1487.945801,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u5/queries.spmat,0.09905,979.360384,3.82952,,10,nvme1n1,prefilter,0,auto,7,0.05,0.05,0.05,intersect,1,60000,1,1
