case_id,cycle_idx,variant,selector_type,bucket,result_source,route,actual_route,configured_L,search_l,recall@10,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,qps,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,cpu_cap_enforced,supports_recall_claim,selection_policy,source_prefix
cycle01_retrain_each_cycle_intersect_u1e-03,1,retrain_each_cycle,intersect,u1e-03,original_selected,prefilter,prefilter,75,75,99.95,133.405117,132.358,139.578,152.301,7493.172259,1000.0,49.767,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_intersect_u3e-03,1,retrain_each_cycle,intersect,u3e-03,original_selected,prefilter,prefilter,50,50,99.78,170.723868,169.232,178.042,203.438,5855.801189,3000.0,51.376,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_intersect_u1e-02,1,retrain_each_cycle,intersect,u1e-02,original_selected,prefilter,prefilter,50,50,99.56,307.180679,303.249,330.118,354.584,3254.761937,10000.0,58.602,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_intersect_u5e-02,1,retrain_each_cycle,intersect,u5e-02,original_selected,prefilter,prefilter,50,50,99.15,900.362515,898.479,971.516,1007.797,1110.531631,50000.0,103.88,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_intersect_u1e-01,1,retrain_each_cycle,intersect,u1e-01,original_selected,prefilter,prefilter,50,50,98.24,1623.919511,1555.402,1789.72,1809.305,615.756831,100000.0,147.942,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_intersect_u25,1,retrain_each_cycle,intersect,u25,original_selected,prefilter,prefilter,200,200,98.07,3556.180013,3493.11,3729.964,3768.095,281.190849,250000.0,309.727,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_intersect_u30,1,retrain_each_cycle,intersect,u30,original_selected,prefilter,prefilter,400,400,99.39,4476.771785,4417.935,4653.461,4681.609,223.369152,300000.0,362.672,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_intersect_u50,1,retrain_each_cycle,intersect,u50,original_selected,prefilter,prefilter,400,400,99.11,6990.855059,6933.737,7170.772,7222.935,143.040631,500000.0,577.327,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_intersect_u75,1,retrain_each_cycle,intersect,u75,original_selected,graph,graph,400,400,98.4,8193.29222,8157.869,8436.423,8700.186,122.048566,750000.0,15.593,0,1000,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_intersect_u100,1,retrain_each_cycle,intersect,u100,original_selected,graph,graph,300,300,98.08,6259.418345,6238.889,6467.864,6692.874,159.755257,1000000.0,15.475,0,1000,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
