L,avg_await_ms,avg_cpu_pct,avg_disk_util_pct,avg_latency_us,avg_qd,avg_read_await_ms,avg_read_iops,avg_read_mb_s,avg_write_iops,avg_write_mb_s,await_ms,beamwidth,block_latency_count,block_latency_log,block_latency_mean_ms,block_latency_p50_ms,block_latency_p95_ms,block_latency_p99_ms,block_latency_status,block_latency_trace_dev,bucket_label,bucket_midpoint,bucket_name,bucket_query_count,chosen_L,chosen_prefilter_rerank_l,configured_L,configured_route,dataset,device,disk_metrics_reason,disk_metrics_status,disk_sanity_read_bytes,effective_device,elapsed_s,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,iostat_log,max_await_ms,max_cpu_pct,max_disk_util_pct,max_qd,max_read_await_ms,max_read_iops,max_read_mb_s,max_rss_kb,max_tau_m,max_threshold_version,max_write_iops,max_write_mb_s,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,min_tau_m,min_threshold_version,p50_latency_us,p95_latency_us,p999_latency_us,p99_latency_us,peak_memory_kb,prefilter_count,prefilter_rerank_l,prefilter_rerank_source,process_max_rss_kb,qdepth,qps,query_count,query_label_file,read_await_ms,read_iops,read_mb_s,recall,recall_at,recall_calibration_threads,recall_target,requested_device,resolved_route,returncode,route,sample_count,selectivity_lower,selectivity_midpoint,selectivity_upper,selector_type,target_threads,tau_m,threads,threshold_version
100,,735.886875,0.0,131.598007,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,1.0e-03,0.0010004106415302228,u0p1,1000,100,133,100,prefilter,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.006948,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,,0.0,1472.486438,0.0,0.0,0.0,0.0,0.0,28616,75027,1,0.0,0.0,1184.0,0.0,133.0,3.104,0,75027,1,129.0,134.0,1446.0,179.0,31880,1000,133,calibration,28616,0.0,7311.508301,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/recall_workloads/u0p1/query_labels.spmat,,0.0,0.0,98.010002,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,0.0010004106415302228,0.0010004106415302228,0.0010004106415302228,intersect,1,75027,1,1
100,,1459.411486,0.0,185.987,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,1.0e-03,0.0010004106415302228,u0p1,1000,100,133,100,prefilter,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,0.501572,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,,0.0,1459.411486,0.0,0.0,0.0,0.0,0.0,31348,75027,1,0.0,0.0,1184.0,0.0,133.0,3.865,0,75027,1,186.0,219.0,1496.0,261.0,32544,1000,133,calibration,31348,0.0,10401.986328,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/recall_workloads/u0p1/query_labels.spmat,,0.0,0.0,98.010002,10,32,98.0,nvme1n1,prefilter,0,prefilter,2,0.0010004106415302228,0.0010004106415302228,0.0010004106415302228,intersect,2,75027,2,1
100,,1452.628356,0.0,262.691986,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,1.0e-03,0.0010004106415302228,u0p1,1000,100,133,100,prefilter,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,0.503226,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,,0.0,1452.628356,0.0,0.0,0.0,0.0,0.0,32484,75027,1,0.0,0.0,1184.0,0.0,133.0,4.879,0,75027,1,257.0,304.0,1811.0,331.0,34480,1000,133,calibration,32484,0.0,14794.037109,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/recall_workloads/u0p1/query_labels.spmat,,0.0,0.0,98.010002,10,32,98.0,nvme1n1,prefilter,0,prefilter,2,0.0010004106415302228,0.0010004106415302228,0.0010004106415302228,intersect,4,75027,4,1
100,,1452.629924,0.0,624.301025,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,1.0e-03,0.0010004106415302228,u0p1,1000,100,133,100,prefilter,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,0.503225,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,,0.0,1452.629924,0.0,0.0,0.0,0.0,0.0,33580,75027,1,0.0,0.0,1184.0,0.0,133.0,6.169,0,75027,1,616.0,646.0,2772.0,665.0,37596,1000,133,calibration,33580,0.0,12630.208984,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/recall_workloads/u0p1/query_labels.spmat,,0.0,0.0,98.010002,10,32,98.0,nvme1n1,prefilter,0,prefilter,2,0.0010004106415302228,0.0010004106415302228,0.0010004106415302228,intersect,8,75027,8,1
100,,499.769772,0.0,523.466003,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,5.0e-03,0.005000363324810691,u0p5,1000,100,253,100,prefilter,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.510696,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,,0.0,1500.02623,0.0,0.0,0.0,0.0,0.0,28044,75027,1,0.0,0.0,5918.0,0.0,253.0,15.761,0,75027,1,539.0,580.0,1914.0,611.0,32024,1000,253,calibration,28044,0.0,1865.891846,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/recall_workloads/u0p5/query_labels.spmat,,0.0,0.0,98.010002,10,32,98.0,nvme1n1,prefilter,0,prefilter,4,0.005000363324810691,0.005000363324810691,0.005000363324810691,intersect,1,75027,1,1
100,1.0,729.827161,0.79437,450.914001,0.010923,,0.0,0.0,10.922583,0.632238,1.0,4,,,,,,,,,5.0e-03,0.005000363324810691,u0p5,1000,100,253,100,prefilter,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.007088,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,,1.0,1460.30002,1.589442,0.021855,0.0,0.0,0.0,31668,75027,1,21.85483,1.265035,5918.0,0.0,253.0,10.319,0,75027,1,437.0,523.0,5379.0,639.0,32828,1000,253,calibration,31668,0.010923,4258.019531,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/recall_workloads/u0p5/query_labels.spmat,,0.0,0.0,98.010002,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,0.005000363324810691,0.005000363324810691,0.005000363324810691,intersect,2,75027,2,1
100,,755.643986,0.0,786.690002,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,5.0e-03,0.005000363324810691,u0p5,1000,100,253,100,prefilter,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.007088,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,,0.0,1512.018744,0.0,0.0,0.0,0.0,0.0,32456,75027,1,0.0,0.0,5918.0,0.0,253.0,12.093,0,75027,1,788.0,1001.0,4231.0,1031.0,34600,1000,253,calibration,32456,0.0,4903.86084,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/recall_workloads/u0p5/query_labels.spmat,,0.0,0.0,98.010002,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,0.005000363324810691,0.005000363324810691,0.005000363324810691,intersect,4,75027,4,1
100,,855.841024,0.0,872.616028,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,5.0e-03,0.005000363324810691,u0p5,1000,100,253,100,prefilter,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.007196,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,,0.0,1712.36338,0.0,0.0,0.0,0.0,0.0,35076,75027,1,0.0,0.0,5918.0,0.0,253.0,13.094,0,75027,1,875.0,967.0,3571.0,995.0,38208,1000,253,calibration,35076,0.0,8856.384766,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/recall_workloads/u0p5/query_labels.spmat,,0.0,0.0,98.010002,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,0.005000363324810691,0.005000363324810691,0.005000363324810691,intersect,8,75027,8,1
100,0.358974,340.432203,0.158895,836.374023,0.005561,,0.0,0.0,15.492247,0.103964,0.358974,4,,,,,,,,,1.0%,0.00999988170820117,u1,1000,100,306,100,prefilter,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.517388,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,,0.358974,1500.174917,0.794291,0.0278,0.0,0.0,0.0,30848,75027,1,77.443364,0.519702,11835.0,0.0,306.0,29.343,0,75027,1,852.0,884.0,2641.0,907.0,32060,1000,306,calibration,30848,0.005561,1165.017822,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/recall_workloads/u1/query_labels.spmat,,0.0,0.0,98.010002,10,32,98.0,nvme1n1,prefilter,0,prefilter,6,0.00999988170820117,0.00999988170820117,0.00999988170820117,intersect,1,75027,1,1
100,,517.117017,0.0,1006.495972,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,1.0%,0.00999988170820117,u1,1000,100,306,100,prefilter,glove100,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.510296,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/glove100/glove100_qps4_pipeann,,0.0,1553.453451,0.0,0.0,0.0,0.0,0.0,31224,75027,1,0.0,0.0,11835.0,0.0,306.0,27.171,0,75027,1,990.0,1128.0,3781.0,1217.0,32904,1000,306,calibration,31224,0.0,1945.218384,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/glove100/recall_workloads/u1/query_labels.spmat,,0.0,0.0,98.010002,10,32,98.0,nvme1n1,prefilter,0,prefilter,4,0.00999988170820117,0.00999988170820117,0.00999988170820117,intersect,2,75027,2,1
