L,avg_await_ms,avg_cpu_pct,avg_disk_util_pct,avg_latency_us,avg_qd,avg_read_await_ms,avg_read_iops,avg_read_mb_s,avg_write_iops,avg_write_mb_s,await_ms,beamwidth,block_latency_count,block_latency_log,block_latency_mean_ms,block_latency_p50_ms,block_latency_p95_ms,block_latency_p99_ms,block_latency_status,block_latency_trace_dev,bottleneck_evidence,bucket_label,bucket_lower,bucket_midpoint,bucket_name,bucket_query_count,bucket_upper,chosen_L,chosen_prefilter_rerank_l,configured_L,configured_route,dataset,device,disk_metrics_reason,disk_metrics_status,disk_sanity_read_bytes,effective_device,elapsed_s,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,iostat_log,max_await_ms,max_cpu_pct,max_disk_util_pct,max_qd,max_read_await_ms,max_read_iops,max_read_mb_s,max_rss_kb,max_tau_m,max_threshold_version,max_write_iops,max_write_mb_s,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,min_tau_m,min_threshold_version,p50_latency_us,p95_latency_us,p999_latency_us,p99_latency_us,peak_memory_kb,prefilter_count,prefilter_rerank_l,prefilter_rerank_source,process_max_rss_kb,qdepth,qps,query_count,query_label_file,read_await_ms,read_iops,read_mb_s,recall,recall_at,recall_calibration_threads,recall_target,requested_device,resolved_route,returncode,route,sample_count,selectivity_group,selectivity_lower,selectivity_midpoint,selectivity_upper,selector_type,target_threads,tau_m,threads,threshold_version
100,,1452.818141,0.0,50.549999,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,14,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,0.50316,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1452.818141,0.0,0.0,0.0,0.0,0.0,17212,60000,1,0.0,0.0,60.0,0.0,60.0,0.01,0,60000,1,50.0,51.0,223.0,54.0,18424,1000,133,calibration,17212,0.0,19329.242188,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u0p1/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,2,low,0.001,0.001,0.001,intersect,1,60000,1,1
100,,1448.756009,0.0,84.098,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,14,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,0.50319,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1448.756009,0.0,0.0,0.0,0.0,0.0,17492,60000,1,0.0,0.0,60.0,0.0,60.0,0.037,0,60000,1,81.0,113.0,354.0,166.0,18848,1000,133,calibration,17492,0.0,21321.115234,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u0p1/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,2,low,0.001,0.001,0.001,intersect,2,60000,2,1
100,,1446.780582,0.0,111.444,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,14,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,0.503186,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1446.780582,0.0,0.0,0.0,0.0,0.0,18792,60000,1,0.0,0.0,60.0,0.0,60.0,0.148,0,60000,1,113.0,135.0,465.0,172.0,20476,1000,133,calibration,18792,0.0,34685.855469,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u0p1/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,2,low,0.001,0.001,0.001,intersect,4,60000,4,1
100,0.166667,1444.776316,0.794925,186.091003,0.003975,,0.0,0.0,11.923876,0.908264,0.166667,4,,,,,,,,,cpu-bound-evidence,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,14,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,0.503192,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.166667,1444.776316,0.794925,0.003975,0.0,0.0,0.0,21540,60000,1,11.923876,0.908264,60.0,0.0,60.0,0.554,0,60000,1,183.0,210.0,805.0,281.0,22888,1000,133,calibration,21540,0.003975,36018.3125,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u0p1/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,2,low,0.001,0.001,0.001,intersect,8,60000,8,1
100,,728.987687,0.0,193.065002,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,19,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.006876,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1458.775367,0.0,0.0,0.0,0.0,0.0,17124,60000,1,0.0,0.0,300.0,0.0,253.0,0.042,0,60000,1,189.0,194.0,603.0,315.0,18192,1000,253,calibration,17124,0.0,5129.011719,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u0p5/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,low,0.005,0.005,0.005,intersect,1,60000,1,1
100,,1453.69143,0.0,230.929001,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,19,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,0.500794,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1453.69143,0.0,0.0,0.0,0.0,0.0,17500,60000,1,0.0,0.0,300.0,0.0,253.0,0.052,0,60000,1,220.0,256.0,678.0,270.0,18944,1000,253,calibration,17500,0.0,8482.040039,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u0p5/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,2,low,0.005,0.005,0.005,intersect,2,60000,2,1
100,,1446.791186,0.0,447.02301,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,19,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,0.503182,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1446.791186,0.0,0.0,0.0,0.0,0.0,18792,60000,1,0.0,0.0,300.0,0.0,253.0,0.185,0,60000,1,453.0,493.0,1246.0,621.0,20400,1000,253,calibration,18792,0.0,8583.915039,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u0p5/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,2,low,0.005,0.005,0.005,intersect,4,60000,4,1
100,,1444.795447,0.0,689.018005,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,19,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,0.503185,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1444.795447,0.0,0.0,0.0,0.0,0.0,21436,60000,1,0.0,0.0,300.0,0.0,253.0,0.489,0,60000,1,668.0,812.0,3942.0,955.0,23196,1000,253,calibration,21436,0.0,11021.862305,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u0p5/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,2,low,0.005,0.005,0.005,intersect,8,60000,8,1
100,,723.012626,0.0,248.612,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,1.0%,0.01,0.01,u1,1000,0.01,100,21,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.006898,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1446.798711,0.0,0.0,0.0,0.0,0.0,17080,60000,1,0.0,0.0,600.0,0.0,306.0,0.579,0,60000,1,244.0,248.0,820.0,403.0,18328,1000,306,calibration,17080,0.0,3991.811279,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u1/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,low,0.01,0.01,0.01,intersect,1,60000,1,1
100,0.125,734.967674,0.39728,385.058014,0.006952,,0.0,0.0,55.619175,0.391848,0.125,4,,,,,,,,,cpu-bound-evidence,1.0%,0.01,0.01,u1,1000,0.01,100,21,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.006847,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.125,1470.654039,0.794948,0.013912,0.0,0.0,0.0,17496,60000,1,111.292738,0.78408,600.0,0.0,306.0,0.948,0,60000,1,360.0,450.0,984.0,568.0,18948,1000,306,calibration,17496,0.006952,5060.696777,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u1/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,low,0.01,0.01,0.01,intersect,2,60000,2,1
100,0.25,723.386458,0.79493,529.729004,0.0,,0.0,0.0,3.974651,0.139734,0.25,4,,,,,,,,,cpu-bound-evidence,1.0%,0.01,0.01,u1,1000,0.01,100,21,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.006378,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.25,1446.623681,1.589696,0.0,0.0,0.0,0.0,18784,60000,1,7.948482,0.279439,600.0,0.0,306.0,0.929,0,60000,1,506.0,715.0,1202.0,740.0,20516,1000,306,calibration,18784,0.0,7289.649902,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u1/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,low,0.01,0.01,0.01,intersect,4,60000,4,1
100,,724.292799,0.0,886.171021,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,1.0%,0.01,0.01,u1,1000,0.01,100,21,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.006499,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1440.611315,0.0,0.0,0.0,0.0,0.0,21428,60000,1,0.0,0.0,600.0,0.0,306.0,1.412,0,60000,1,890.0,1001.0,1439.0,1040.0,23280,1000,306,calibration,21428,0.0,8412.592773,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u1/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,low,0.01,0.01,0.01,intersect,8,60000,8,1
100,,499.116387,0.0,534.487,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,2.0%,0.02,0.02,u2,1000,0.02,100,26,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.51067,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1498.08026,0.0,0.0,0.0,0.0,0.0,17208,60000,1,0.0,0.0,1200.0,0.0,395.0,1.962,0,60000,1,560.0,570.0,915.0,574.0,18376,1000,395,calibration,17208,0.0,1859.341431,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u2/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,4,middle,0.02,0.02,0.02,intersect,1,60000,1,1
100,,724.921049,0.0,536.258972,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,2.0%,0.02,0.02,u2,1000,0.02,100,26,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.007006,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1446.608756,0.0,0.0,0.0,0.0,0.0,17476,60000,1,0.0,0.0,1200.0,0.0,395.0,1.122,0,60000,1,459.0,722.0,1238.0,737.0,19228,1000,395,calibration,17476,0.0,3651.304688,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u2/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,middle,0.02,0.02,0.02,intersect,2,60000,2,1
100,0.222222,778.462349,0.397175,513.926025,0.001986,,0.0,0.0,8.93643,0.159025,0.222222,4,,,,,,,,,cpu-bound-evidence,2.0%,0.02,0.02,u2,1000,0.02,100,26,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.007114,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.222222,1557.87271,0.793866,0.003969,0.0,0.0,0.0,18800,60000,1,17.86199,0.317857,1200.0,0.0,395.0,1.242,0,60000,1,536.0,564.0,1132.0,649.0,20492,1000,395,calibration,18800,0.001986,7556.314941,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u2/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,middle,0.02,0.02,0.02,intersect,4,60000,4,1
100,,852.352835,0.0,856.494019,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,2.0%,0.02,0.02,u2,1000,0.02,100,26,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.005452,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1708.401168,0.0,0.0,0.0,0.0,0.0,21456,60000,1,0.0,0.0,1200.0,0.0,395.0,1.57,0,60000,1,864.0,937.0,1458.0,1148.0,23596,1000,395,calibration,21456,0.0,9152.520508,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u2/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,middle,0.02,0.02,0.02,intersect,8,60000,8,1
100,,399.602747,0.0,755.64502,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,5.0%,0.05,0.05,u5,1000,0.05,100,38,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.014501,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1502.094553,0.0,0.0,0.0,0.0,0.0,17100,60000,1,0.0,0.0,3000.0,0.0,493.0,1.667,0,60000,1,769.0,785.0,1210.0,793.0,18372,1000,493,calibration,17100,0.0,1302.328003,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u5/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,5,middle,0.05,0.05,0.05,intersect,1,60000,1,1
100,,526.252458,0.0,838.72699,0.0,,0.0,0.0,0.0,0.0,,4,,,,,,,,,cpu-bound-evidence,5.0%,0.05,0.05,u5,1000,0.05,100,38,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.510682,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.0,1555.629296,0.0,0.0,0.0,0.0,0.0,18424,60000,1,0.0,0.0,3000.0,0.0,493.0,1.082,0,60000,1,846.0,986.0,1319.0,1012.0,19228,1000,493,calibration,18424,0.0,2347.032471,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u5/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,4,middle,0.05,0.05,0.05,intersect,2,60000,2,1
100,0.25,827.228156,0.397228,1099.442017,0.000993,,0.0,0.0,3.972284,0.124134,0.25,4,,,,,,,,,cpu-bound-evidence,5.0%,0.05,0.05,u5,1000,0.05,100,38,100,prefilter,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.006977,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,,0.25,1654.804048,0.794624,0.001987,0.0,0.0,0.0,20016,60000,1,7.946238,0.24832,3000.0,0.0,493.0,1.928,0,60000,1,1070.0,1254.0,2001.0,1355.0,20556,1000,493,calibration,20016,0.000993,3589.170898,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/recall_workloads/u5/query_labels.spmat,,0.0,0.0,100.0,10,32,98.0,nvme1n1,prefilter,0,prefilter,3,middle,0.05,0.05,0.05,intersect,4,60000,4,1
