dataset,bucket_name,selectivity_midpoint,route_decision,qps_t1,qps_t2,qps_t4,qps_t8,speedup_t8_vs_t1,efficiency_t8_vs_t1,mean_ios_t1,mean_candidate_count_t1,avg_read_mb_s_t1,avg_disk_util_pct_t1
fashion_mnist784,u0p1,0.001,prefilter,3228.128174,4327.090820,5752.759277,4621.289062,1.431569,0.178946,60.0,60.0,0.0,0.0
fashion_mnist784,u0p5,0.005,prefilter,1783.118652,2444.714600,3452.874512,3186.799072,1.787205,0.223401,96.0,300.0,0.0,0.0
fashion_mnist784,u1,0.01,prefilter,1247.811279,1839.406982,2693.607666,1964.722046,1.574535,0.196817,128.0,600.0,0.0,0.0
fashion_mnist784,u2,0.02,prefilter,1174.258911,1782.809326,2658.570312,2426.817871,2.066680,0.258335,128.0,1200.0,0.0,0.0
fashion_mnist784,u5,0.05,prefilter,956.321350,1499.791138,3277.042480,1764.258911,1.844839,0.230605,160.0,3000.0,0.0,0.0
fashion_mnist784,u10,0.1,prefilter,769.207520,1246.603149,1973.607910,1925.702271,2.503489,0.312936,160.0,6000.0,0.0,0.0
fashion_mnist784,u25,0.25,prefilter,594.195312,969.916260,1382.870728,1604.384033,2.700095,0.337512,192.0,15000.0,0.0,0.0
fashion_mnist784,u50,0.5,prefilter,491.832764,821.027466,1416.111328,1574.756470,3.201813,0.400227,192.0,30000.0,0.0,0.0
fashion_mnist784,u100,1.0,prefilter,388.907532,600.250366,1011.366577,1214.055420,3.121707,0.390213,192.0,60000.0,0.0,0.0
glove100,u0p1,0.0010004106415302228,prefilter,1440.861938,2280.674561,3613.848389,3384.172363,2.348714,0.293589,96.0,1184.0,0.0,0.0
glove100,u0p5,0.005000363324810691,prefilter,824.931763,1460.824219,2435.035889,2185.135498,2.648868,0.331109,128.0,5918.0,0.0,0.0
glove100,u1,0.00999988170820117,prefilter,691.278625,1037.085571,2043.706177,2073.223877,2.999115,0.374889,128.0,11835.0,0.0,0.0
glove100,u2,0.01999976341640234,prefilter,562.113342,984.538940,1731.981812,2247.592285,3.998468,0.499809,128.0,23670.0,0.0,0.0
glove100,u5,0.050000253482426066,prefilter,339.551605,573.142639,1044.262817,1566.318604,4.612903,0.576613,160.0,59176.0,0.0,0.0
glove100,u10,0.09999966202343191,prefilter,232.222153,389.378571,701.526001,1267.083740,5.456343,0.682043,160.0,118351.0,0.0,0.0
glove100,u25,0.2499995775292899,graph,371.758148,729.618042,1360.149536,2329.696045,6.266698,0.783337,122.416,295878.0,0.0,0.0
glove100,u50,0.5,graph,388.694855,735.891418,1378.841919,2364.980713,6.084415,0.760552,122.362999,591757.0,0.0,0.0
glove100,u100,1.0,graph,390.192047,705.787415,1301.050415,2346.332031,6.013275,0.751659,122.433998,1183514.0,0.0,0.0
gist960,u0p1,0.001,prefilter,1520.071289,2957.072021,4872.620117,6185.334961,4.069108,0.508639,96.0,1000.0,0.0,0.0
gist960,u0p5,0.005,prefilter,1074.142822,1826.079834,3181.562988,3398.806885,3.164204,0.395525,96.0,5000.0,0.0,0.0
gist960,u1,0.01,prefilter,720.684082,1249.882446,2179.119873,2455.303467,3.406907,0.425863,128.0,10000.0,0.0,0.0
gist960,u2,0.02,prefilter,581.964661,982.644653,1593.546265,2387.159668,4.101898,0.512737,128.0,20000.0,0.0,0.0
gist960,u5,0.05,prefilter,367.669403,628.780457,1125.496582,1478.073486,4.020116,0.502514,160.0,50000.0,0.0,0.0
gist960,u10,0.1,prefilter,250.723541,467.749573,818.449341,1301.118042,5.189453,0.648682,160.0,100000.0,0.0,0.0
gist960,u25,0.25,graph,268.486664,518.354553,913.712036,1490.062256,5.549856,0.693732,119.107002,250000.0,0.0,0.0
gist960,u50,0.5,graph,271.569794,512.921570,907.466919,1477.623657,5.441046,0.680131,119.074997,500000.0,0.0,0.0
gist960,u100,1.0,graph,270.760315,508.348938,892.785156,1446.408203,5.342024,0.667753,119.056,1000000.0,0.0,0.0
yfcc10m,real_t4e-03_l600,0.0040071,prefilter,490.907318,756.646423,1382.914307,2301.957520,4.689190,0.586149,96.0,40071.0,0.0,0.0
yfcc10m,real_t5e-03_l902,0.0050002,prefilter,479.187042,608.503296,1048.752441,1777.750610,3.709930,0.463741,128.0,50002.0,0.0,0.0
yfcc10m,real_t1e-02_l0,0.0097939,prefilter,267.465942,361.092285,662.383301,1194.621582,4.466444,0.558305,128.0,97939.0,0.0,0.0
yfcc10m,real_t2e-02_l106,0.0203896,graph,264.155426,502.129517,899.076904,1503.550537,5.691916,0.711490,119.737694,203896.0,0.0,0.0
yfcc10m,real_t5e-02_l24,0.0499079,graph,270.739227,509.808624,911.328857,1510.837280,5.580415,0.697552,119.732094,499079.0,0.0,0.0
yfcc10m,real_t1e-01_l17,0.0991156,graph,269.665741,522.262573,909.722717,1515.652710,5.620487,0.702561,119.732559,991156.0,0.0,0.0
yfcc10m,real_t2e-01_l29,0.1915985,graph,270.539734,508.773682,909.502991,1511.212646,5.585918,0.698240,119.736649,1915985.0,0.0,0.0
