L,avg_await_ms,avg_cpu_pct,avg_disk_util_pct,avg_latency_us,avg_read_iops,avg_read_mb_s,avg_write_iops,avg_write_mb_s,beamwidth,bucket_label,bucket_lower,bucket_midpoint,bucket_name,bucket_query_count,bucket_upper,configured_L,configured_route,dataset,device,elapsed_s,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,max_await_ms,max_cpu_pct,max_disk_util_pct,max_read_iops,max_read_mb_s,max_rss_kb,max_write_iops,max_write_mb_s,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,p99_latency_us,peak_memory_kb,prefilter_count,prefilter_rerank_l,prefilter_rerank_source,process_max_rss_kb,qps,query_count,query_label_file,recall,recall_at,returncode,route,sample_count,selectivity_lower,selectivity_midpoint,selectivity_upper,selector_type,target_threads,threads
100,,102.694023,0.0,1911.564331,0.0,0.0,0.0,0.0,4,t4e-03,0.0040071,0.0040071,real_t4e-03_l600,100000,0.0040071,100,auto,yfcc10m,nvme1n1,204.14041,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1502.558116,0.0,0.0,0.0,344956,0.0,0.0,40071.0,0.0,96.0,135.15836,0,3336.0,294216,100000,,default-heuristic,344956,490.907318,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t4e-03_l600/queries.spmat,,10,0,auto,408,0.0040071,0.0040071,0.0040071,intersect,1,1
100,,203.295556,0.0,2476.741455,0.0,0.0,0.0,0.0,4,t4e-03,0.0040071,0.0040071,real_t4e-03_l600,100000,0.0040071,100,auto,yfcc10m,nvme1n1,132.934534,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1529.994114,0.0,0.0,0.0,346848,0.0,0.0,40071.0,0.0,96.0,184.10365,0,5613.0,297104,100000,,default-heuristic,346848,756.646423,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t4e-03_l600/queries.spmat,,10,0,auto,266,0.0040071,0.0040071,0.0040071,intersect,2,2
100,,403.011342,0.0,2715.578857,0.0,0.0,0.0,0.0,4,t4e-03,0.0040071,0.0040071,real_t4e-03_l600,100000,0.0040071,100,auto,yfcc10m,nvme1n1,72.737407,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1623.459082,0.0,0.0,0.0,351668,0.0,0.0,40071.0,0.0,96.0,204.22593,0,5887.0,298984,100000,,default-heuristic,351668,1382.914307,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t4e-03_l600/queries.spmat,,10,0,auto,146,0.0040071,0.0040071,0.0040071,intersect,4,4
100,,783.173457,0.0,3293.876709,0.0,0.0,0.0,0.0,4,t4e-03,0.0040071,0.0040071,real_t4e-03_l600,100000,0.0040071,100,auto,yfcc10m,nvme1n1,44.143478,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1845.118224,0.0,0.0,0.0,361784,0.0,0.0,40071.0,0.0,96.0,229.30387,0,6650.0,300200,100000,,default-heuristic,361784,2301.95752,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t4e-03_l600/queries.spmat,,10,0,auto,89,0.0040071,0.0040071,0.0040071,intersect,8,8
100,,100.532316,0.0,1982.478271,0.0,0.0,0.0,0.0,4,t5e-03,0.0050002,0.0050002,real_t5e-03_l902,100000,0.0050002,100,auto,yfcc10m,nvme1n1,209.126785,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1460.179461,0.0,0.0,0.0,358952,0.0,0.0,50002.0,0.0,128.0,104.55579,0,10902.0,309944,100000,,default-heuristic,358952,479.187042,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-03_l902/queries.spmat,,10,0,auto,418,0.0050002,0.0050002,0.0050002,intersect,1,1
100,,202.469887,0.0,3098.490967,0.0,0.0,0.0,0.0,4,t5e-03,0.0050002,0.0050002,real_t5e-03_l902,100000,0.0050002,100,auto,yfcc10m,nvme1n1,165.036888,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1568.078155,0.0,0.0,0.0,361752,0.0,0.0,50002.0,0.0,128.0,200.19174,0,7118.0,308892,100000,,default-heuristic,361752,608.503296,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-03_l902/queries.spmat,,10,0,auto,330,0.0050002,0.0050002,0.0050002,intersect,2,2
100,,399.976811,0.0,3614.795654,0.0,0.0,0.0,0.0,4,t5e-03,0.0050002,0.0050002,real_t5e-03_l902,100000,0.0050002,100,auto,yfcc10m,nvme1n1,95.815555,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1643.675506,0.0,0.0,0.0,365892,0.0,0.0,50002.0,0.0,128.0,223.10734,0,7605.0,310676,100000,,default-heuristic,365892,1048.752441,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-03_l902/queries.spmat,,10,0,auto,192,0.0050002,0.0050002,0.0050002,intersect,4,4
100,,779.006726,0.0,4291.300781,0.0,0.0,0.0,0.0,4,t5e-03,0.0050002,0.0050002,real_t5e-03_l902,100000,0.0050002,100,auto,yfcc10m,nvme1n1,56.685005,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1842.963888,0.0,0.0,0.0,375052,0.0,0.0,50002.0,0.0,128.0,264.41689,0,8588.0,314584,100000,,default-heuristic,375052,1777.75061,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-03_l902/queries.spmat,,10,0,auto,114,0.0050002,0.0050002,0.0050002,intersect,8,8
100,,101.228372,0.0,3544.839355,0.0,0.0,0.0,0.0,4,t1e-02,0.0097939,0.0097939,real_t1e-02_l0,100000,0.0097939,100,auto,yfcc10m,nvme1n1,374.667689,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1503.972475,0.0,0.0,0.0,361096,0.0,0.0,97939.0,0.0,128.0,182.63402,0,6189.0,308676,100000,,default-heuristic,361096,267.465942,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-02_l0/queries.spmat,,10,0,auto,748,0.0097939,0.0097939,0.0097939,intersect,1,1
100,,201.276959,0.0,5239.433105,0.0,0.0,0.0,0.0,4,t1e-02,0.0097939,0.0097939,real_t1e-02_l0,100000,0.0097939,100,auto,yfcc10m,nvme1n1,277.403833,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1524.082328,0.0,0.0,0.0,363012,0.0,0.0,97939.0,0.0,128.0,302.81548,0,11201.0,311704,100000,,default-heuristic,363012,361.092285,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-02_l0/queries.spmat,,10,0,auto,554,0.0097939,0.0097939,0.0097939,intersect,2,2
