mode,route,threads,insert_threads,points,chosen_L,max_rss_kb,live_point_count,elapsed_s,qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,recall@10,process_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,empty_count,min_threshold,max_threshold,status,state,bucket,fixed_L,selected_route,exp4_pq_bytes
measure-dynamic-search,graph,1,1,1000000,100,269424,1000000,8.789599,113.770829,8789.163897,8740.872,9188.623,9969.166,94.88,269424,268596,269424,269424,828,250000.0,35.814,0,0,1000,0,0,0,ok,1m_initial,u25,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,269272,1000000,8.780705,113.886065,8780.347678,8742.835,9234.767,9876.149,95.93,269272,268508,269272,269272,764,300000.0,37.201,0,0,1000,0,0,0,ok,1m_initial,u30,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,269428,1000000,9.005591,111.042131,9005.114152,8831.612,10104.793,11807.836,98.98,269428,268664,269428,269428,764,500000.0,36.283,0,0,1000,0,0,0,ok,1m_initial,u50,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,269104,1000000,8.94052,111.850315,8940.065273,8808.496,10012.266,11048.762,99.68,269104,268400,269104,269104,704,750000.0,36.481,0,0,1000,0,0,0,ok,1m_initial,u75,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,269184,1000000,8.946537,111.775093,8946.062438,8829.206,9833.443,11436.759,99.81,269184,268476,269184,269184,708,1000000.0,36.927,0,0,1000,0,0,0,ok,1m_initial,u100,100,graph,32
measure-dynamic-search,graph,1,1,750000,100,227624,750000,9.771203,102.341545,9770.682675,9175.173,13594.523,16689.435,96.9,227624,227156,227624,227624,468,250000.0,29.164,0,0,1000,0,0,0,ok,750k_after_delete,u25,100,graph,32
measure-dynamic-search,graph,1,1,750000,100,227536,750000,9.442316,105.906221,9441.828929,9036.236,11713.518,14196.176,97.24,227536,227068,227536,227536,468,300000.0,28.831,0,0,1000,0,0,0,ok,750k_after_delete,u30,100,graph,32
measure-dynamic-search,graph,1,1,750000,100,227560,750000,10.708776,93.381352,10708.306818,10476.361,13584.665,15690.983,98.86,227560,227156,227560,227560,404,500000.0,30.793,0,0,1000,0,0,0,ok,750k_after_delete,u50,100,graph,32
measure-dynamic-search,graph,1,1,750000,100,229712,750000,8.878897,112.626601,8878.521919,8791.874,9824.181,10649.895,99.12,229712,229304,229712,229712,408,750000.0,28.616,0,0,1000,0,0,0,ok,750k_after_delete,u75,100,graph,32
measure-dynamic-search,graph,1,1,750000,100,227548,750000,10.140373,98.615702,10139.830579,9769.226,13029.212,14295.071,99.12,227548,227144,227548,227548,404,750000.0,30.111,0,0,1000,0,0,0,ok,750k_after_delete,u100,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,273076,1000000,9.197863,108.720908,9197.383139,8947.745,10801.029,12055.609,94.08,273076,272356,273076,273076,720,250000.0,38.442,0,0,1000,0,0,0,ok,1m_after_reinsert,u25,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,273112,1000000,8.777948,113.921837,8777.558738,8734.022,9256.328,10001.783,95.18,273112,272392,273112,273112,720,300000.0,41.48,0,0,1000,0,0,0,ok,1m_after_reinsert,u30,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,273232,1000000,8.909099,112.244795,8908.647593,8825.592,9494.029,10875.058,98.34,273232,272516,273232,273232,716,500000.0,38.297,0,0,1000,0,0,0,ok,1m_after_reinsert,u50,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,273320,1000000,9.730364,102.771082,9729.944112,9471.625,11642.101,13144.404,99.08,273320,272536,273320,273320,784,750000.0,39.741,0,0,1000,0,0,0,ok,1m_after_reinsert,u75,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,275284,1000000,8.835822,113.175667,8835.427723,8731.684,9415.404,12041.974,99.19,275284,274568,275284,275284,716,1000000.0,37.104,0,0,1000,0,0,0,ok,1m_after_reinsert,u100,100,graph,32
