mode,route,threads,insert_threads,points,chosen_L,max_rss_kb,live_point_count,elapsed_s,qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,recall@10,process_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,empty_count,min_threshold,max_threshold,status,state,bucket,selected_route,target_recall@10,exp4_pq_bytes,calibration_recall@10,calibration_avg_latency_us,search_max_rss_kb,rss_mode,rss_single_query_kb,rss_single_query_avg_latency_us,rss_single_query_recall@10
measure-dynamic-search,prefilter,1,1,1000000,10,12820,1000000,0.486222,2056.673066,486.095068,438.208,739.232,1405.691,100.0,12820,12204,12760,12760,556,1000.0,62.005,1000,0,0,0,0,0,ok,1m_initial,u1e-03,prefilter,98.0,32,100.0,6970.269341,269152,single_query_process_no_query_files,12820,1084.696,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,12892,1000000,0.514401,1944.007653,514.310083,458.196,791.937,1739.322,100.0,12892,11772,12828,12828,1056,3000.0,61.184,1000,0,0,0,0,0,ok,1m_initial,u3e-03,prefilter,98.0,32,100.0,8419.432349,269072,single_query_process_no_query_files,12892,1414.254,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,13340,1000000,0.831691,1202.369078,831.579155,735.009,1321.543,2631.987,100.0,13340,12380,13332,13332,952,10000.0,69.238,1000,0,0,0,0,0,ok,1m_initial,u1e-02,prefilter,98.0,32,100.0,9598.782889,269384,single_query_process_no_query_files,13340,2890.128,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,13596,1000000,1.97082,507.402922,1970.691808,1881.086,2256.137,3755.636,100.0,13596,12424,13588,13588,1164,50000.0,105.558,1000,0,0,0,0,0,ok,1m_initial,u5e-02,prefilter,98.0,32,100.0,13201.815267,269852,single_query_process_no_query_files,13596,9810.278,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,13888,1000000,2.842981,351.743423,2842.84126,2800.107,3027.556,3289.394,100.0,13888,11872,13832,13832,1960,100000.0,148.531,1000,0,0,0,0,0,ok,1m_initial,u1e-01,prefilter,98.0,32,100.0,9991.923863,269476,single_query_process_no_query_files,13888,14762.471,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,15224,1000000,6.085111,164.335528,6084.928327,6032.185,6459.993,6764.117,100.0,15224,12468,15216,15216,2748,250000.0,320.782,1000,0,0,0,0,0,ok,1m_initial,u25,prefilter,98.0,32,100.0,13789.328176,268868,single_query_process_no_query_files,15224,39436.154,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,15456,1000000,7.290209,137.17027,7289.961988,7018.269,8402.462,12623.529,99.77,15456,12308,15448,15448,3140,300000.0,401.224,1000,0,0,0,0,0,ok,1m_initial,u30,prefilter,98.0,32,99.77,14836.51334,269144,single_query_process_no_query_files,15456,46675.446,0.0
measure-dynamic-search,graph,1,1,1000000,100,17272,1000000,8.767192,114.0616,8766.804392,8720.262,9195.121,10022.483,98.98,17272,12376,13576,17272,4896,500000.0,36.083,0,0,1000,0,0,0,ok,1m_initial,u50,graph,98.0,32,98.98,16371.772896,269364,single_query_process_no_query_files,17272,28086.288,0.0
measure-dynamic-search,graph,1,1,1000000,75,17380,1000000,6.794051,147.187583,6793.676455,6739.524,7306.258,8112.895,99.33,17380,12356,13428,17380,5024,750000.0,35.636,0,0,1000,0,0,0,ok,1m_initial,u75,graph,98.0,32,99.33,66033.922803,269092,single_query_process_no_query_files,17380,22985.844,0.0
measure-dynamic-search,graph,1,1,1000000,50,18172,1000000,4.705354,212.523883,4705.026752,4673.519,5037.694,5620.729,98.89,18172,12396,13524,17668,5272,1000000.0,33.269,0,0,1000,0,0,0,ok,1m_initial,u100,graph,98.0,32,98.89,14891.178358,269256,single_query_process_no_query_files,18172,17998.513,0.0
