format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,L,hybrid_enabled,qps,avg_latency_us,p99_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,recall@10,chosen_L,status,state,bucket,filter_type,points,selected_route,target_recall@10,exp4_pq_bytes,calibration_recall@10,calibration_avg_latency_us,search_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,rss_mode,rss_single_query_kb,rss_single_query_avg_latency_us,rss_single_query_recall@10
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u1e-03.spmat,1000,1,4,0,prefilter,10,False,2486.293457,345.204987,1354.0,0.0,96.0,1000.0,14.535,0,1000,0,0,10,12688,12688,100.0,100.0,10,ok,1m_direct,u1e-03,intersect,1000000,prefilter,98.0,32,100.0,361.346008,44540,,,,,single_query_process_no_query_files,12688,884.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u3e-03.spmat,1000,1,4,0,prefilter,10,False,2003.534302,433.311005,1579.0,0.0,96.0,3000.0,17.052,0,1000,0,0,10,12988,12988,100.0,100.0,10,ok,1m_direct,u3e-03,intersect,1000000,prefilter,98.0,32,100.0,408.503998,44668,,,,,single_query_process_no_query_files,12988,1031.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u1e-02.spmat,1000,1,4,0,prefilter,10,False,1269.774658,716.366028,2563.0,0.0,128.0,10000.0,17.459,0,1000,0,0,10,13004,13004,100.0,100.0,10,ok,1m_direct,u1e-02,intersect,1000000,prefilter,98.0,32,100.0,707.53302,45132,,,,,single_query_process_no_query_files,13004,2863.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u5e-02.spmat,1000,1,4,0,prefilter,10,False,514.288025,1828.707031,5427.0,0.0,160.0,50000.0,18.896,0,1000,0,0,10,13360,13360,100.0,100.0,10,ok,1m_direct,u5e-02,intersect,1000000,prefilter,98.0,32,100.0,1815.552979,45464,,,,,single_query_process_no_query_files,13360,8161.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u1e-01.spmat,1000,1,4,0,prefilter,10,False,309.417969,3052.86499,7499.0,0.0,160.0,100000.0,25.22,0,1000,0,0,10,13816,13816,100.0,100.0,10,ok,1m_direct,u1e-01,intersect,1000000,prefilter,98.0,32,100.0,2839.39209,48144,,,,,single_query_process_no_query_files,13816,13209.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,prefilter,10,False,160.963913,5874.016113,9933.0,0.0,192.0,250000.0,18.773,0,1000,0,0,10,14664,14664,100.0,100.0,10,ok,1m_direct,u25,intersect,1000000,prefilter,98.0,32,100.0,5903.35791,47048,,,,,single_query_process_no_query_files,14664,32311.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,prefilter,10,False,135.380646,6964.109863,14777.0,0.0,192.0,300000.0,21.438,0,1000,0,0,10,15256,15256,99.769997,99.769997,10,ok,1m_direct,u30,intersect,1000000,prefilter,98.0,32,99.769997,6903.190918,47372,,,,,single_query_process_no_query_files,15256,38563.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u50.spmat,1000,1,4,0,graph,100,False,114.327789,8530.601562,12465.0,0.0,105.789001,500000.0,52.885,0,0,1000,0,10,17584,17584,98.910004,98.910004,100,ok,1m_direct,u50,intersect,1000000,graph,98.0,32,98.910004,8523.875977,45844,,,,,single_query_process_no_query_files,17584,25922.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u75.spmat,1000,1,4,0,graph,50,False,214.459778,4535.045898,8266.0,0.0,56.332001,750000.0,46.03,0,0,1000,0,10,17212,17212,98.010002,98.010002,50,ok,1m_direct,u75,intersect,1000000,graph,98.0,32,98.010002,4511.934082,45344,,,,,single_query_process_no_query_files,17212,16334.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u100.spmat,1000,1,4,0,graph,50,False,214.079254,4542.39209,7926.0,0.0,56.332001,1000000.0,47.749,0,0,1000,0,10,17212,17212,98.860001,98.860001,50,ok,1m_direct,u100,intersect,1000000,graph,98.0,32,98.860001,4547.081055,45460,,,,,single_query_process_no_query_files,17212,16876.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_range_u1e-03.spmat,1000,1,4,0,prefilter,10,False,2370.287109,360.571014,1360.0,0.0,96.0,1000.0,15.637,0,1000,0,0,10,12936,12936,100.0,100.0,10,ok,1m_direct,u1e-03,range,1000000,prefilter,98.0,32,100.0,362.596985,44644,,,,,single_query_process_no_query_files,12936,1230.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_range_u3e-03.spmat,1000,1,4,0,prefilter,10,False,1882.525024,455.324005,1626.0,0.0,96.0,3000.0,28.522,0,1000,0,0,10,13100,13100,100.0,100.0,10,ok,1m_direct,u3e-03,range,1000000,prefilter,98.0,32,100.0,498.473999,44640,,,,,single_query_process_no_query_files,13100,1038.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_range_u1e-02.spmat,1000,1,4,0,prefilter,10,False,1277.6875,696.309998,2593.0,0.0,128.0,10000.0,36.065,0,1000,0,0,10,13032,13032,100.0,100.0,10,ok,1m_direct,u1e-02,range,1000000,prefilter,98.0,32,100.0,808.117981,45244,,,,,single_query_process_no_query_files,13032,2705.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_range_u5e-02.spmat,1000,1,4,0,prefilter,10,False,483.042847,1921.70105,6415.0,0.0,160.0,50000.0,55.979,0,1000,0,0,10,13624,13624,100.0,100.0,10,ok,1m_direct,u5e-02,range,1000000,prefilter,98.0,32,100.0,1783.082031,45616,,,,,single_query_process_no_query_files,13624,7555.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_range_u1e-01.spmat,1000,1,4,0,prefilter,10,False,287.268066,3253.205078,7850.0,0.0,160.0,100000.0,88.586,0,1000,0,0,10,14132,14132,100.0,100.0,10,ok,1m_direct,u1e-01,range,1000000,prefilter,98.0,32,100.0,2899.123047,46552,,,,,single_query_process_no_query_files,14132,13201.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_range_u25.spmat,1000,1,4,0,prefilter,10,False,153.688187,6101.268066,14453.0,0.0,192.0,250000.0,71.522,0,1000,0,0,10,15296,15296,100.0,100.0,10,ok,1m_direct,u25,range,1000000,prefilter,98.0,32,100.0,5846.692871,47388,,,,,single_query_process_no_query_files,15296,31366.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_range_u30.spmat,1000,1,4,0,prefilter,10,False,136.873718,6845.748047,12330.0,0.0,192.0,300000.0,78.682,0,1000,0,0,10,15748,15748,99.769997,99.769997,10,ok,1m_direct,u30,range,1000000,prefilter,98.0,32,99.769997,6791.52002,48196,,,,,single_query_process_no_query_files,15748,38704.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_range_u50.spmat,1000,1,4,0,graph,100,False,113.514771,8601.716797,12206.0,0.0,105.789001,500000.0,233.945,0,0,1000,0,10,18308,18308,98.910004,98.910004,100,ok,1m_direct,u50,range,1000000,graph,98.0,32,98.910004,8592.005859,46768,,,,,single_query_process_no_query_files,18308,26031.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_range_u75.spmat,1000,1,4,0,graph,50,False,212.751068,4585.644043,8740.0,0.0,56.332001,750000.0,228.144,0,0,1000,0,10,18108,18108,98.010002,98.010002,50,ok,1m_direct,u75,range,1000000,graph,98.0,32,98.010002,4592.869141,46396,,,,,single_query_process_no_query_files,18108,16801.0,
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_range_u100.spmat,1000,1,4,0,graph,50,False,212.409561,4594.577148,7946.0,0.0,56.332001,1000000.0,248.31,0,0,1000,0,10,18588,18588,98.860001,98.860001,50,ok,1m_direct,u100,range,1000000,graph,98.0,32,98.860001,4615.793945,46304,,,,,single_query_process_no_query_files,18588,16648.0,
