L,aris_job_id,avg_latency_us,beamwidth,bucket,chosen_L,completed_at,empty_count,fallback_count,filter_type,format,graph_count,hybrid_enabled,index_prefix,latency_budget_ms,max_rss_kb,max_tau_m,max_threshold_version,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,min_tau_m,min_threshold_version,p50_latency_us,p90_latency_us,p95_latency_us,p999_latency_us,p99_latency_us,points,prefilter_count,process_max_rss_kb,qps,query_count,query_label_file,recall,recall@10,recall_at,resolved_route,route,selected_route,selector_type,source_experiment,started_at,status,tau_m,threads,threshold_version,wall_s,within_avg_latency_budget,within_p90_latency_budget,within_p95_latency_budget,within_p99_latency_budget
10,intersect_u1e-03_t01,125.080002,4,u1e-03,10,2026-05-19T09:48:25.656666Z,0,0,intersect,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp6_aris_cpu_clean/tmp/direct_1m,10.0,44416,0,1,1000.0,0.0,96.0,4.355,0,0,1,125.0,130.0,132.0,349.0,139.0,1000000,1000,44416,7587.077148,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,100.0,100.0,10,prefilter,prefilter,prefilter,intersect,exp4_intersect_range_selectivity,2026-05-19T09:48:25.467692Z,ok,0,1,1,0.18844938278198242,True,True,True,True
10,intersect_u1e-03_t02,182.524994,4,u1e-03,10,2026-05-19T09:48:25.814761Z,0,0,intersect,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp6_aris_cpu_clean/tmp/direct_1m,10.0,45280,0,1,1000.0,0.0,96.0,5.211,0,0,1,168.0,220.0,322.0,823.0,440.0,1000000,1000,45280,10499.114258,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,100.0,100.0,10,prefilter,prefilter,prefilter,intersect,exp4_intersect_range_selectivity,2026-05-19T09:48:25.675065Z,ok,0,2,1,0.1391739845275879,True,True,True,True
10,intersect_u1e-03_t03,239.973007,4,u1e-03,10,2026-05-19T09:48:25.973651Z,0,0,intersect,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp6_aris_cpu_clean/tmp/direct_1m,10.0,45740,0,1,1000.0,0.0,96.0,6.435,0,0,1,221.0,346.0,446.0,1099.0,508.0,1000000,1000,45740,12066.633789,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,100.0,100.0,10,prefilter,prefilter,prefilter,intersect,exp4_intersect_range_selectivity,2026-05-19T09:48:25.832405Z,ok,0,3,1,0.14070510864257812,True,True,True,True
10,intersect_u1e-03_t04,333.683014,4,u1e-03,10,2026-05-19T09:48:26.123362Z,0,0,intersect,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp6_aris_cpu_clean/tmp/direct_1m,10.0,46624,0,1,1000.0,0.0,96.0,6.841,0,0,1,310.0,477.0,562.0,1089.0,650.0,1000000,1000,46624,11644.113281,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,100.0,100.0,10,prefilter,prefilter,prefilter,intersect,exp4_intersect_range_selectivity,2026-05-19T09:48:25.991602Z,ok,0,4,1,0.13122844696044922,True,True,True,True
10,intersect_u1e-03_t05,391.377014,4,u1e-03,10,2026-05-19T09:48:26.275801Z,0,0,intersect,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp6_aris_cpu_clean/tmp/direct_1m,10.0,47052,0,1,1000.0,0.0,96.0,7.24,0,0,1,365.0,533.0,672.0,1135.0,718.0,1000000,1000,47052,12439.103516,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,100.0,100.0,10,prefilter,prefilter,prefilter,intersect,exp4_intersect_range_selectivity,2026-05-19T09:48:26.141977Z,ok,0,5,1,0.13330650329589844,True,True,True,True
10,intersect_u1e-03_t06,477.147003,4,u1e-03,10,2026-05-19T09:48:26.422198Z,0,0,intersect,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp6_aris_cpu_clean/tmp/direct_1m,10.0,47496,0,1,1000.0,0.0,96.0,8.065,0,0,1,455.0,614.0,701.0,1218.0,757.0,1000000,1000,47496,12259.297852,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,100.0,100.0,10,prefilter,prefilter,prefilter,intersect,exp4_intersect_range_selectivity,2026-05-19T09:48:26.293894Z,ok,0,6,1,0.12778568267822266,True,True,True,True
10,intersect_u1e-03_t07,575.987,4,u1e-03,10,2026-05-19T09:48:26.570804Z,0,0,intersect,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp6_aris_cpu_clean/tmp/direct_1m,10.0,48328,0,1,1000.0,0.0,96.0,9.487,0,0,1,541.0,744.0,874.0,1556.0,931.0,1000000,1000,48328,11896.655273,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,100.0,100.0,10,prefilter,prefilter,prefilter,intersect,exp4_intersect_range_selectivity,2026-05-19T09:48:26.439811Z,ok,0,7,1,0.13047027587890625,True,True,True,True
10,intersect_u1e-03_t08,905.244995,4,u1e-03,10,2026-05-19T09:48:26.754175Z,0,0,intersect,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp6_aris_cpu_clean/tmp/direct_1m,10.0,49332,0,1,1000.0,0.0,96.0,10.256,0,0,1,884.0,1064.0,1155.0,1992.0,1241.0,1000000,1000,49332,8710.1875,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,100.0,100.0,10,prefilter,prefilter,prefilter,intersect,exp4_intersect_range_selectivity,2026-05-19T09:48:26.590221Z,ok,0,8,1,0.16342926025390625,True,True,True,True
10,intersect_u1e-03_t09,1143.692017,4,u1e-03,10,2026-05-19T09:48:26.950004Z,0,0,intersect,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp6_aris_cpu_clean/tmp/direct_1m,10.0,49712,0,1,1000.0,0.0,96.0,11.966,0,0,1,1117.0,1285.0,1423.0,2705.0,1584.0,1000000,1000,49712,7768.680176,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,100.0,100.0,10,prefilter,prefilter,prefilter,intersect,exp4_intersect_range_selectivity,2026-05-19T09:48:26.772304Z,ok,0,9,1,0.17717814445495605,True,True,True,True
10,intersect_u1e-03_t10,1338.766968,4,u1e-03,10,2026-05-19T09:48:27.150488Z,0,0,intersect,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp6_aris_cpu_clean/tmp/direct_1m,10.0,50548,0,1,1000.0,0.0,96.0,14.312,0,0,1,1297.0,1496.0,1688.0,3188.0,1810.0,1000000,1000,50548,7378.230957,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,100.0,100.0,10,prefilter,prefilter,prefilter,intersect,exp4_intersect_range_selectivity,2026-05-19T09:48:26.967360Z,ok,0,10,1,0.1826035976409912,True,True,True,True
