threads,rows,min_recall@10,max_avg_latency_ms,max_p90_latency_ms,max_p95_latency_ms,max_p99_latency_ms,avg_budget_pass_rows,p90_budget_pass_rows,p95_budget_pass_rows,p99_budget_pass_rows
1,20,98.959999,5.944845215,7.074,7.085,7.34,20,20,20,20
2,20,98.959999,7.130952148,8.931,8.979,9.024,20,20,20,20
3,20,98.959999,6.665569824,8.583,8.705,8.914,20,20,20,20
4,20,98.970001,6.8013232420000005,8.587,8.692,8.941,20,20,20,20
5,20,98.959999,6.7376630859999995,8.587,8.65,8.937,20,20,20,20
6,20,98.959999,7.918592773,10.082,10.6,11.425,20,19,18,16
7,20,98.959999,8.004341797,9.173,10.424,12.191,20,20,18,16
8,20,98.959999,8.081597168,10.33,10.573,12.315,20,18,18,16
9,20,98.949997,8.016336914,10.389,10.537,12.666,20,18,18,16
10,20,98.949997,8.223079102,10.409,10.551,13.317,20,18,18,15
11,20,98.949997,8.356076172,10.38,10.591,20.314,20,18,18,15
12,20,98.949997,8.508422851999999,10.496,10.66,20.711,20,18,18,11
13,20,98.970001,8.593541016,10.458,10.596,26.128,20,18,18,9
14,20,98.959999,8.719910156,10.5,10.669,29.922,20,18,18,8
15,20,98.959999,8.819567382999999,10.527,10.68,21.065,20,18,18,9
16,20,98.959999,8.898328125,10.552,10.753,27.105,20,18,18,9
