format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,L,hybrid_enabled,qps,avg_latency_us,p99_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,recall,recall@10,chosen_L,status,points,bucket,baseline_pq_bytes,target_recall@10,latency_cutoff_ms,calibration_recall@10,calibration_avg_latency_us
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u1e-03.spmat,1000,1,4,0,prefilter,10,False,2339.552246,366.885986,1368.0,0.0,96.0,1000.0,15.903,0,1000,0,0,10,100.0,100.0,10,ok,1000000,u1e-03,32,98.0,100.0,100.0,345.895996
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u3e-03.spmat,1000,1,4,0,prefilter,10,False,1997.749634,438.158997,1671.0,0.0,96.0,3000.0,17.567,0,1000,0,0,10,100.0,100.0,10,ok,1000000,u3e-03,32,98.0,100.0,100.0,414.553009
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u1e-02.spmat,1000,1,4,0,prefilter,10,False,1257.25,727.15802,2745.0,0.0,128.0,10000.0,18.406,0,1000,0,0,10,100.0,100.0,10,ok,1000000,u1e-02,32,98.0,100.0,100.0,707.599976
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u5e-02.spmat,1000,1,4,0,prefilter,10,False,542.019714,1737.546021,6083.0,0.0,160.0,50000.0,18.506,0,1000,0,0,10,100.0,100.0,10,ok,1000000,u5e-02,32,98.0,100.0,100.0,1697.161011
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u5e-02.spmat,1000,1,4,0,graph,800,False,14.707168,66981.734375,74241.0,0.0,804.63501,50000.0,62.699,0,0,1000,0,10,99.099998,99.099998,800,ok,1000000,u5e-02,32,98.0,100.0,99.099998,67223.710938
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u1e-01.spmat,1000,1,4,0,prefilter,10,False,321.555969,2951.98999,8179.0,0.0,160.0,100000.0,17.509,0,1000,0,0,10,100.0,100.0,10,ok,1000000,u1e-01,32,98.0,100.0,100.0,2749.51709
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u1e-01.spmat,1000,1,4,0,graph,400,False,29.31539,33486.328125,39115.0,0.0,405.006012,100000.0,63.415,0,0,1000,0,10,98.900002,98.900002,400,ok,1000000,u1e-01,32,98.0,100.0,98.900002,33487.648438
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,prefilter,10,False,164.434067,5762.439941,14166.0,0.0,192.0,250000.0,18.138,0,1000,0,0,10,100.0,100.0,10,ok,1000000,u25,32,98.0,100.0,100.0,6125.646973
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,150,False,76.024445,12864.888672,19558.0,0.0,155.570007,250000.0,58.223,0,0,1000,0,10,98.25,98.25,150,ok,1000000,u25,32,98.0,100.0,98.25,12828.637695
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r116_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,prefilter,10,False,136.832214,6923.598145,13580.0,0.0,192.0,300000.0,17.689,0,1000,0,0,10,99.769997,99.769997,10,ok,1000000,u30,32,98.0,100.0,99.769997,6927.713867
