format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,bucket,selectivity,selectivity_percent,chosen_L,recall@10,latency_avg_ms,calibration_wall_s,status,raw_jsonl_path,log_path
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,8522.238281,110.490997,109.0,114.0,115.0,168.0,363.0,0.0,96.0,1000.0,4.222,0,1000,0,0,10,28836,28836,100.0,u1e-03,0.001,0.1,10,100.0,0.110490997,0.1516587734222412,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u1e-03_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u1e-03_prefilter_L10.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u3e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,5425.273438,172.863007,173.0,180.0,183.0,222.0,393.0,0.0,96.0,3000.0,9.235,0,1000,0,0,10,28808,28808,99.949997,u3e-03,0.003,0.3,10,99.949997,0.172863007,0.2099018096923828,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u3e-03_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u3e-03_prefilter_L10.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,2491.590088,372.321014,370.0,383.0,388.0,473.0,705.0,0.0,128.0,10000.0,27.585,0,1000,0,0,10,28792,28792,99.949997,u1e-02,0.01,1.0,10,99.949997,0.372321014,0.4414803981781006,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u1e-02_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u1e-02_prefilter_L10.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u5e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,765.929565,1165.008057,1139.0,1349.0,1381.0,1409.0,1931.0,0.0,160.0,50000.0,27.169,0,1000,0,0,10,29860,29860,99.839996,u5e-02,0.05,5.0,10,99.839996,1.165008057,1.3451340198516846,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u5e-02_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u5e-02_prefilter_L10.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-01.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,455.990906,1981.170044,1954.0,2175.0,2199.0,2215.0,2783.0,0.0,160.0,100000.0,27.47,0,1000,0,0,10,30524,30524,99.730003,u1e-01,0.1,10.0,10,99.730003,1.981170044,2.2323555946350098,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u1e-01_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u1e-01_prefilter_L10.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,272.963531,3334.937012,3152.0,4420.0,4447.0,4684.0,5477.0,0.0,192.0,250000.0,18.36,0,1000,0,0,10,31300,31300,99.730003,u25,0.25,25.0,10,99.730003,3.3349370119999997,3.687516689300537,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_prefilter_L10.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,10,True,0,1,0,0,1,1,1248.134399,772.932007,754.0,908.0,953.0,1092.0,8718.0,0.0,32.271999,250000.0,18.424,0,0,1000,0,10,29396,29396,30.469999,u25,0.25,25.0,10,30.469999,0.772932007,0.8377478122711182,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_graph_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_graph_L10.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,20,True,0,1,0,0,1,1,1138.17627,851.057983,843.0,962.0,1003.0,1086.0,1395.0,0.0,38.540001,250000.0,14.325,0,0,1000,0,10,28868,28868,44.23,u25,0.25,25.0,20,44.23,0.851057983,0.9149165153503418,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_graph_L20.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_graph_L20.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,30,True,0,1,0,0,1,1,954.348083,1009.065002,1002.0,1107.0,1147.0,1226.0,1604.0,0.0,46.868,250000.0,15.577,0,0,1000,0,10,29636,29636,53.66,u25,0.25,25.0,30,53.66,1.009065002,1.0634980201721191,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_graph_L30.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_graph_L30.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,40,True,0,1,0,0,1,1,777.110779,1229.28894,1221.0,1319.0,1359.0,1447.0,2637.0,0.0,55.879002,250000.0,21.235,0,0,1000,0,10,29716,29716,61.360001,u25,0.25,25.0,40,61.360001,1.22928894,1.3065986633300781,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_graph_L40.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_graph_L40.json
