mode,route,threads,insert_threads,points,chosen_L,max_rss_kb,live_point_count,elapsed_s,qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,recall@10,process_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,empty_count,min_threshold,max_threshold,status,state,bucket,selected_route,query_threads,inserted_during_search,start_points,total_points,target_recall@10,calibration_recall@10,calibration_avg_latency_us,exp3_pq_bytes
measure-dynamic-search,prefilter,1,0,1000000,10,252956,1000000,0.190625,5245.905327,190.562111,190.172,198.726,206.906,100.0,252956,252312,252956,252956,644,1000.0,66.725,1000,0,0,0,108760,108760,ok,1m_initial,u1e-03,prefilter,1,0,1000000,1000000,98.0,100.0,2377.688412,16
measure-dynamic-search,prefilter,1,0,1000000,10,252932,1000000,0.241198,4145.972185,241.123088,240.614,251.242,264.176,99.96,252932,252408,252932,252932,524,3000.0,69.975,1000,0,0,0,108760,108760,ok,1m_initial,u3e-03,prefilter,1,0,1000000,1000000,98.0,99.96,2460.574847,16
measure-dynamic-search,prefilter,1,0,1000000,10,252920,1000000,0.416871,2398.821862,416.788493,414.882,440.536,456.165,99.92,252920,252464,252920,252920,456,10000.0,80.2,1000,0,0,0,108760,108760,ok,1m_initial,u1e-02,prefilter,1,0,1000000,1000000,98.0,99.92,3250.985087,16
measure-dynamic-search,prefilter,1,0,1000000,10,253204,1000000,1.333912,749.674527,1333.798677,1303.087,1519.126,1540.64,99.85,253204,252484,253204,253204,720,50000.0,134.745,1000,0,0,0,108760,108760,ok,1m_initial,u5e-02,prefilter,1,0,1000000,1000000,98.0,99.85,3859.301058,16
measure-dynamic-search,prefilter,1,0,1000000,10,253144,1000000,2.080726,480.601421,2080.552856,2241.026,2490.468,2570.466,99.67,253144,252488,253144,253144,656,100000.0,185.688,1000,0,0,0,108760,108760,ok,1m_initial,u1e-01,prefilter,1,0,1000000,1000000,98.0,99.67,5477.473496,16
measure-dynamic-search,prefilter,1,0,1000000,10,254964,1000000,4.11824,242.822172,4118.067185,3698.277,5268.07,5538.07,99.76,254964,254568,230036,254964,396,250000.0,364.855,1000,0,0,0,108760,108760,ok,1m_initial,u25,prefilter,1,0,1000000,1000000,98.0,99.76,7325.262468,16
measure-dynamic-search,prefilter,1,0,1000000,10,252896,1000000,4.33178,230.852003,4331.608472,4245.894,4613.935,4663.308,99.45,252896,252440,228468,252896,456,300000.0,368.455,1000,0,0,0,108760,108760,ok,1m_initial,u30,prefilter,1,0,1000000,1000000,98.0,99.45,8378.702722,16
measure-dynamic-search,graph,1,0,1000000,300,253364,1000000,6.283982,159.13477,6283.801091,6222.162,6536.179,7206.889,98.59,253364,252536,253364,253364,828,500000.0,14.089,0,1000,0,0,108760,108760,ok,1m_initial,u50,graph,1,0,1000000,1000000,98.0,98.59,18810.038201,16
measure-dynamic-search,graph,1,0,1000000,200,252848,1000000,4.236803,236.027029,4236.657026,4222.907,4356.984,4459.217,98.64,252848,252308,252848,252848,540,750000.0,12.683,0,1000,0,0,108760,108760,ok,1m_initial,u75,graph,1,0,1000000,1000000,98.0,98.64,12710.159603,16
measure-dynamic-search,graph,1,0,1000000,150,252916,1000000,3.34095,299.316088,3340.767639,3321.466,3483.87,3724.855,98.34,252916,252368,252916,252916,548,1000000.0,14.874,0,1000,0,0,108760,108760,ok,1m_initial,u100,graph,1,0,1000000,1000000,98.0,98.37,10007.86073,16
search-during-insert,prefilter,1,4,750000,10,382916,750000,0.164447,6080.97752,164.379117,163.628,172.847,186.875,100.0,,,,,,,,,,,,,,ok,during_insert_from_750k,u1e-03,prefilter,1,0,750000,1000000,98.0,100.0,2301.964625,16
