format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,state,bucket,selected_route,chosen_L,fixed_param_group,target_recall@10,latency_budget_ms,truth_mode,recall@10,avg_latency_ms,within_latency_budget,status
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_fixed_params/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,400,True,0,1,0,0,1,1,98.721848,9936.948242,9884.0,10254.0,10394.0,10691.0,15764.0,0.0,411.049011,250000.0,19.738,0,0,1000,0,10,31304,31304,98.269997,1m_initial,u25,graph,400,u25:graph/L400,98.0,10.0,fixed_1m_truth_all_states,98.269997,9.936948242,True,ok
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_fixed_params/tmp/deleted_750k,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,400,True,0,1,0,0,1,1,104.970543,9383.160156,9365.0,9586.0,9657.0,9852.0,10644.0,0.0,409.455994,250000.0,13.194,0,0,1000,0,10,30104,30104,98.940002,750k_after_delete,u25,graph,400,u25:graph/L400,98.0,10.0,fixed_1m_truth_all_states,98.940002,9.383160156,True,ok
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_fixed_params/tmp/reinserted_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,400,True,0,1,0,0,1,1,117.115906,8385.93457,8381.0,8528.0,8577.0,8762.0,9495.0,0.0,409.970001,250000.0,17.283,0,0,1000,0,10,35112,35112,98.120003,1m_after_reinsert,u25,graph,400,u25:graph/L400,98.0,10.0,fixed_1m_truth_all_states,98.120003,8.38593457,True,ok
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_fixed_params/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u30.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,238.164108,3829.698975,3783.0,3978.0,4050.0,4069.0,4142.0,0.0,192.0,300000.0,18.109,0,1000,0,0,10,31544,31544,99.400002,1m_initial,u30,prefilter,10,u30:prefilter/L10,98.0,10.0,fixed_1m_truth_all_states,99.400002,3.829698975,True,ok
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_fixed_params/tmp/deleted_750k,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u30.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,241.382355,3789.895996,3767.0,3974.0,3985.0,3997.0,6236.0,0.0,192.0,300000.0,13.107,0,1000,0,0,10,30484,30484,99.400002,750k_after_delete,u30,prefilter,10,u30:prefilter/L10,98.0,10.0,fixed_1m_truth_all_states,99.400002,3.7898959960000003,True,ok
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_fixed_params/tmp/reinserted_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u30.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,229.75499,3897.939941,3876.0,4088.0,4104.0,4124.0,5406.0,0.0,192.0,300000.0,19.414,0,1000,0,0,10,35516,35516,99.379997,1m_after_reinsert,u30,prefilter,10,u30:prefilter/L10,98.0,10.0,fixed_1m_truth_all_states,99.379997,3.897939941,True,ok
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_fixed_params/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat,1000,1,4,0,graph,graph,300,True,0,1,0,0,1,1,130.21019,7520.410156,7499.0,7717.0,7792.0,8022.0,9158.0,0.0,311.43399,500000.0,17.43,0,0,1000,0,10,31256,31256,98.970001,1m_initial,u50,graph,300,u50:graph/L300,98.0,10.0,fixed_1m_truth_all_states,98.970001,7.520410156,True,ok
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_fixed_params/tmp/deleted_750k,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat,1000,1,4,0,graph,graph,300,True,0,1,0,0,1,1,137.665359,7139.387207,7119.0,7320.0,7424.0,7610.0,8152.0,0.0,309.81601,500000.0,13.147,0,0,1000,0,10,30160,30160,99.169998,750k_after_delete,u50,graph,300,u50:graph/L300,98.0,10.0,fixed_1m_truth_all_states,99.169998,7.1393872069999995,True,ok
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_fixed_params/tmp/reinserted_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat,1000,1,4,0,graph,graph,300,True,0,1,0,0,1,1,153.427536,6384.306152,6373.0,6515.0,6561.0,6696.0,7169.0,0.0,310.324005,500000.0,17.228,0,0,1000,0,10,35088,35088,98.75,1m_after_reinsert,u50,graph,300,u50:graph/L300,98.0,10.0,fixed_1m_truth_all_states,98.75,6.384306152,True,ok
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_fixed_params/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat,1000,1,4,0,graph,graph,200,True,0,1,0,0,1,1,196.302399,4984.89209,4964.0,5157.0,5224.0,5397.0,5886.0,0.0,211.953995,750000.0,18.081,0,0,1000,0,10,30148,30148,98.57,1m_initial,u75,graph,200,u75:graph/L200,98.0,10.0,fixed_1m_truth_all_states,98.57,4.984892090000001,True,ok
