format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,status,state,bucket,fixed_L,selected_route,exp4_pq_bytes
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,100,True,111801,1,111801,111801,1,1,344.103516,2827.355957,2820.0,2965.0,3003.0,3126.0,3452.0,0.0,113.165001,250000.0,16.554,0,0,1000,0,10,30132,30132,83.220001,ok,1m_initial,u25,100,graph,16
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,100,True,111801,1,111801,111801,1,1,340.425354,2845.488037,2835.0,2980.0,3021.0,3117.0,4284.0,0.0,113.199997,300000.0,19.627,0,0,1000,0,10,30188,30188,85.480003,ok,1m_initial,u30,100,graph,16
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat,1000,1,4,0,graph,graph,100,True,111801,1,111801,111801,1,1,343.427826,2832.465088,2822.0,2971.0,3010.0,3123.0,3322.0,0.0,113.175003,500000.0,16.753,0,0,1000,0,10,30356,30356,91.940002,ok,1m_initial,u50,100,graph,16
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat,1000,1,4,0,graph,graph,100,True,111801,1,111801,111801,1,1,333.242981,2895.605957,2884.0,3044.0,3090.0,3215.0,4392.0,0.0,113.195,750000.0,26.115,0,0,1000,0,10,30104,30104,95.440002,ok,1m_initial,u75,100,graph,16
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u100.spmat,1000,1,4,0,graph,graph,100,True,111801,1,111801,111801,1,1,343.060364,2835.873047,2828.0,2978.0,3021.0,3115.0,3610.0,0.0,113.177002,1000000.0,16.601,0,0,1000,0,10,30176,30176,96.879997,ok,1m_initial,u100,100,graph,16
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,100,True,111801,1,111801,111801,1,1,352.493347,2775.250977,2760.0,2902.0,2972.0,3077.0,3576.0,0.0,112.194,250000.0,11.966,0,0,1000,0,10,29228,29228,87.699997,ok,750k_after_delete,u25,100,graph,16
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,100,True,111801,1,111801,111801,1,1,352.949921,2771.116943,2757.0,2903.0,2964.0,3076.0,3422.0,0.0,112.184998,300000.0,12.301,0,0,1000,0,10,29064,29064,89.349998,ok,750k_after_delete,u30,100,graph,16
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat,1000,1,4,0,graph,graph,100,True,111801,1,111801,111801,1,1,368.733459,2650.332031,2638.0,2783.0,2848.0,2956.0,3456.0,0.0,112.143997,500000.0,11.817,0,0,1000,0,10,29060,29060,94.239998,ok,750k_after_delete,u50,100,graph,16
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat,1000,1,4,0,graph,graph,100,True,111801,1,111801,111801,1,1,352.803497,2772.387939,2759.0,2904.0,2976.0,3085.0,3349.0,0.0,112.182999,750000.0,12.231,0,0,1000,0,10,29244,29244,96.269997,ok,750k_after_delete,u75,100,graph,16
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u100.spmat,1000,1,4,0,graph,graph,100,True,111801,1,111801,111801,1,1,356.7146,2723.76001,2714.0,2852.0,2916.0,3034.0,4391.0,0.0,112.195999,750000.0,17.513,0,0,1000,0,10,29088,29088,96.279999,ok,750k_after_delete,u100,100,graph,16
