L,avg_latency_us,beamwidth,bucket,calibration_avg_latency_us,calibration_recall@10,chosen_L,empty_count,exp4_pq_bytes,fallback_count,format,graph_count,hybrid_enabled,index_prefix,max_rss_kb,max_tau_m,max_threshold_version,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,min_tau_m,min_threshold_version,p50_latency_us,p90_latency_us,p95_latency_us,p999_latency_us,p99_latency_us,prefilter_count,process_max_rss_kb,qps,query_count,query_label_file,recall,recall_at,resolved_route,route,selected_route,selector_type,state,status,target_recall@10,tau_m,threads,threshold_version
10,100.845001,4,u1e-03,100.845001,100.0,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,28852,0,1,1000.0,0.0,96.0,4.251,0,0,1,100.0,104.0,105.0,312.0,154.0,1000,28852,9287.819336,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,100.0,10,prefilter,prefilter,prefilter,intersect,1m_initial,ok,98.0,0,1,1
10,154.854004,4,u3e-03,154.854004,99.959999,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,28848,0,1,3000.0,0.0,96.0,9.245,0,0,1,154.0,160.0,162.0,386.0,215.0,1000,28848,6013.297852,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,99.959999,10,prefilter,prefilter,prefilter,intersect,1m_initial,ok,98.0,0,1,1
10,335.286987,4,u1e-02,335.286987,99.919998,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,28908,0,1,10000.0,0.0,128.0,26.707,0,0,1,333.0,344.0,346.0,649.0,479.0,1000,28908,2746.112061,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,99.919998,10,prefilter,prefilter,prefilter,intersect,1m_initial,ok,98.0,0,1,1
10,1104.092041,4,u5e-02,1104.092041,99.870003,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,29652,0,1,50000.0,0.0,160.0,22.204,0,0,1,1074.0,1269.0,1286.0,1412.0,1305.0,1000,29652,807.097778,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u5e-02.spmat,99.870003,10,prefilter,prefilter,prefilter,intersect,1m_initial,ok,98.0,0,1,1
10,1831.894043,4,u1e-01,1831.894043,99.709999,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,30200,0,1,100000.0,0.0,160.0,21.648,0,0,1,1912.0,2149.0,2161.0,2697.0,2177.0,1000,30200,495.173462,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-01.spmat,99.709999,10,prefilter,prefilter,prefilter,intersect,1m_initial,ok,98.0,0,1,1
10,3565.743896,4,u25,3565.743896,99.669998,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,30972,0,1,250000.0,0.0,192.0,19.678,0,0,1,3196.0,4505.0,4558.0,5070.0,4750.0,1000,30972,255.061417,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u25.spmat,99.669998,10,prefilter,prefilter,prefilter,intersect,1m_initial,ok,98.0,0,1,1
10,4161.237793,4,u30,4161.237793,99.349998,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,31544,0,1,300000.0,0.0,192.0,21.451,0,0,1,3714.0,5349.0,5384.0,5744.0,5577.0,1000,31544,218.226822,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u30.spmat,99.349998,10,prefilter,prefilter,prefilter,intersect,1m_initial,ok,98.0,0,1,1
10,6354.686035,4,u50,6354.686035,99.25,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,33080,0,1,500000.0,0.0,192.0,19.253,0,0,1,5938.0,8286.0,8323.0,8688.0,8422.0,1000,33080,143.417007,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat,99.25,10,prefilter,prefilter,prefilter,intersect,1m_initial,ok,98.0,0,1,1
200,5146.498047,4,u75,5146.498047,98.629997,200,0,16,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,30128,0,1,750000.0,0.0,211.901993,17.944,0,0,1,5136.0,5331.0,5403.0,6130.0,5534.0,0,30128,190.278061,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat,98.629997,10,graph,graph,graph,intersect,1m_initial,ok,98.0,0,1,1
150,4004.208984,4,u100,4004.208984,98.470001,150,0,16,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/direct_1m,30148,0,1,1000000.0,0.0,162.371002,17.287,0,0,1,3989.0,4148.0,4204.0,10892.0,4339.0,0,30148,243.876144,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u100.spmat,98.470001,10,graph,graph,graph,intersect,1m_initial,ok,98.0,0,1,1
