format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,recall@10,chosen_L,status,state,bucket,filter_type,points,selected_route,target_recall@10,exp4_pq_bytes,calibration_recall@10,calibration_avg_latency_us,search_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,rss_mode,rss_single_query_kb,rss_single_query_avg_latency_us,rss_single_query_recall@10
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,10491.960938,89.782997,86.0,104.0,108.0,164.0,305.0,0.0,96.0,1000.0,3.27,0,1000,0,0,10,12600,12600,100.0,100.0,10,ok,1m_direct,u1e-03,intersect,1000000,prefilter,98.0,16,100.0,110.456001,28884,,,,,single_query_process_no_query_files,12600,814.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,5736.733398,162.985992,163.0,169.0,171.0,175.0,301.0,0.0,96.0,3000.0,9.087,0,1000,0,0,10,12548,12548,99.93,99.93,10,ok,1m_direct,u3e-03,intersect,1000000,prefilter,98.0,16,99.93,162.944,28844,,,,,single_query_process_no_query_files,12548,1713.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,2662.172852,346.748993,344.0,355.0,358.0,495.0,662.0,0.0,128.0,10000.0,26.836,0,1000,0,0,10,12616,12616,99.93,99.93,10,ok,1m_direct,u1e-02,intersect,1000000,prefilter,98.0,16,99.93,346.26001,28848,,,,,single_query_process_no_query_files,12616,3311.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u5e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,794.412598,1124.125,1084.0,1314.0,1327.0,1342.0,1808.0,0.0,160.0,50000.0,22.111,0,1000,0,0,10,13036,13036,99.760002,99.760002,10,ok,1m_direct,u5e-02,intersect,1000000,prefilter,98.0,16,99.760002,1152.333984,29668,,,,,single_query_process_no_query_files,13036,12881.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-01.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,623.260071,1453.946045,1418.0,1646.0,1655.0,1665.0,1697.0,0.0,160.0,100000.0,17.093,0,1000,0,0,10,13484,13484,99.639999,99.639999,10,ok,1m_direct,u1e-01,intersect,1000000,prefilter,98.0,16,99.639999,1796.515015,30436,,,,,single_query_process_no_query_files,13484,22728.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u25.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,252.021851,3608.706055,3164.0,4515.0,4666.0,4761.0,6252.0,0.0,192.0,250000.0,20.569,0,1000,0,0,10,14684,14684,99.57,99.57,10,ok,1m_direct,u25,intersect,1000000,prefilter,98.0,16,99.57,3626.177002,30944,,,,,single_query_process_no_query_files,14684,22757.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u30.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,219.013992,4158.960938,3787.0,5227.0,5244.0,5469.0,5919.0,0.0,192.0,300000.0,19.649,0,1000,0,0,10,15036,15036,99.389999,99.389999,10,ok,1m_direct,u30,intersect,1000000,prefilter,98.0,16,99.389999,4132.088867,31452,,,,,single_query_process_no_query_files,15036,27821.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat,1000,1,4,0,graph,graph,300,True,0,1,0,0,1,1,163.411636,5960.687012,5953.0,6055.0,6094.0,6166.0,6897.0,0.0,311.45401,500000.0,17.302,0,0,1000,0,10,17844,17844,98.949997,98.949997,300,ok,1m_direct,u50,intersect,1000000,graph,98.0,16,98.949997,5974.362793,31192,,,,,single_query_process_no_query_files,17844,32040.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat,1000,1,4,0,graph,graph,200,True,0,1,0,0,1,1,237.959549,4091.950928,4085.0,4180.0,4223.0,4302.0,5071.0,0.0,212.057007,750000.0,17.575,0,0,1000,0,10,17640,17640,98.709999,98.709999,200,ok,1m_direct,u75,intersect,1000000,graph,98.0,16,98.709999,4095.066895,30152,,,,,single_query_process_no_query_files,17640,26130.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u100.spmat,1000,1,4,0,graph,graph,150,True,0,1,0,0,1,1,307.10437,3160.103027,3152.0,3244.0,3271.0,3354.0,4046.0,0.0,162.531006,1000000.0,16.775,0,0,1000,0,10,16976,16976,98.550003,98.550003,150,ok,1m_direct,u100,intersect,1000000,graph,98.0,16,98.550003,3163.000977,30108,,,,,single_query_process_no_query_files,16976,35560.0,
