format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,recall@10,chosen_L,status,bucket,filter_type,points,selected_route,exp6_latency_budget_ms,within_latency_budget,threshold_exceeded,target_recall@10,source_experiment
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,8523.72168,110.473,109.0,113.0,114.0,160.0,327.0,0.0,96.0,1000.0,4.231,0,1000,0,0,10,28860,28860,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,2,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,12471.019531,152.255005,134.0,193.0,277.0,377.0,645.0,0.0,96.0,1000.0,5.219,0,1000,0,0,10,29304,29304,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,3,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,14593.882812,196.522003,173.0,306.0,391.0,458.0,879.0,0.0,96.0,1000.0,6.156,0,1000,0,0,10,30168,30168,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,4,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,17951.613281,213.649002,193.0,304.0,340.0,471.0,793.0,0.0,96.0,1000.0,6.222,0,1000,0,0,10,30616,30616,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,5,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,18221.779297,264.138,225.0,386.0,522.0,587.0,865.0,0.0,96.0,1000.0,6.676,0,1000,0,0,10,31564,31564,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,6,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,20052.488281,288.696991,259.0,392.0,410.0,599.0,892.0,0.0,96.0,1000.0,6.995,0,1000,0,0,10,32020,32020,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,7,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,19585.548828,346.270996,305.0,463.0,662.0,715.0,1259.0,0.0,96.0,1000.0,8.09,0,1000,0,0,10,32524,32524,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,8,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,14420.552734,542.370972,521.0,675.0,778.0,868.0,1403.0,0.0,96.0,1000.0,8.159,0,1000,0,0,10,33504,33504,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,9,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,13874.65625,637.911987,634.0,723.0,784.0,957.0,1394.0,0.0,96.0,1000.0,7.601,0,1000,0,0,10,33924,33924,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,10,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,13877.826172,708.950012,693.0,791.0,976.0,1340.0,1727.0,0.0,96.0,1000.0,9.548,0,1000,0,0,10,34636,34636,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
