threads,workload_count,p50_avg_latency_ms,p90_avg_latency_ms,p95_avg_latency_ms,max_avg_latency_ms,worst_selector,worst_bucket,worst_route,worst_L,worst_recall@10
1,20,2.5488495485000002,4.378263232200002,5.8364276126,6.387777831999999,range,u50,prefilter,10,99.230003
2,20,2.5463094484999997,4.540012402500003,6.1734488041499995,6.613316895,range,u50,prefilter,10,99.230003
3,20,2.687054443,4.826109911800003,6.6011546631,6.633483887000001,intersect,u50,graph,300,98.709999
4,20,2.7736784665,6.5280021,6.7777446289,6.87627002,intersect,u50,graph,300,98.709999
5,20,2.8511884765,5.265172460800003,7.08667189945,7.168841797,intersect,u50,graph,300,98.699997
6,20,3.006819519,5.434934033500003,7.4663104249500005,7.521758789000001,range,u50,prefilter,10,99.230003
7,20,3.0900039670000004,6.163751660600003,7.7507676025,7.822481934000001,intersect,u50,graph,300,98.699997
8,20,3.2266628419999996,6.412679052400002,8.019685986599999,8.151414062,intersect,u50,graph,300,98.709999
9,20,3.2251740719999997,6.641367968600003,8.23490844745,8.373794921999998,intersect,u50,graph,300,98.709999
10,20,3.3279318845000008,6.781773730700003,8.6195995606,8.764455078000001,intersect,u50,graph,300,98.709999
11,20,3.471495117,6.986475634600003,8.759250732700002,9.024912109,intersect,u50,graph,300,98.709999
12,20,3.4566369630000002,6.807491211000003,8.84942812505,9.379635742,intersect,u50,graph,300,98.709999
13,20,3.8175928955,7.216711132600003,8.9495918453,9.996652344,intersect,u50,graph,300,98.709999
14,20,3.936338867,7.217145361700003,8.96077451125,9.933654296999999,intersect,u50,graph,300,98.699997
15,20,3.6067230224999998,7.498873242400002,9.14345893545,10.109860352,intersect,u50,graph,300,98.709999
16,20,3.8170576174999997,7.658734863100003,9.194241894400003,10.532363281,intersect,u50,graph,300,98.709999
