format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,recall@10,chosen_L,status,points,bucket,baseline_pq_bytes,target_recall@10,latency_cutoff_ms,calibration_recall@10,calibration_avg_latency_us
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp_baseline/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,8443.783203,111.549004,110.0,114.0,117.0,159.0,313.0,0.0,96.0,1000.0,4.282,0,1000,0,0,10,28864,28864,99.989998,99.989998,10,ok,1000000,u1e-03,16,98.0,100.0,99.989998,110.579002
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp_baseline/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,5757.94043,162.311005,161.0,167.0,169.0,222.0,377.0,0.0,96.0,3000.0,9.233,0,1000,0,0,10,28856,28856,99.980003,99.980003,10,ok,1000000,u3e-03,16,98.0,100.0,99.980003,161.380997
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp_baseline/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,2646.242432,349.052002,346.0,357.0,360.0,495.0,659.0,0.0,128.0,10000.0,27.151,0,1000,0,0,10,28836,28836,99.949997,99.949997,10,ok,1000000,u1e-02,16,98.0,100.0,99.949997,346.001007
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp_baseline/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u5e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,1063.731079,833.880981,815.0,882.0,1095.0,1324.0,1507.0,0.0,160.0,50000.0,17.962,0,1000,0,0,10,29668,29668,99.879997,99.879997,10,ok,1000000,u5e-02,16,98.0,100.0,99.879997,1132.92395
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp_baseline/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u5e-02.spmat,1000,1,4,0,graph,graph,1500,True,0,1,0,0,1,1,33.502842,29410.886719,29400.0,29571.0,29627.0,29975.0,32003.0,0.0,1509.301025,50000.0,17.508,0,0,1000,0,10,37436,37436,98.57,98.57,1500,ok,1000000,u5e-02,16,98.0,100.0,98.57,29384.611328
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp_baseline/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-01.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,625.175232,1448.121948,1422.0,1613.0,1625.0,1640.0,1649.0,0.0,160.0,100000.0,18.032,0,1000,0,0,10,30552,30552,99.75,99.75,10,ok,1000000,u1e-01,16,98.0,100.0,99.75,1815.192993
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp_baseline/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-01.spmat,1000,1,4,0,graph,graph,800,True,0,1,0,0,1,1,63.267551,15500.833984,15481.0,15623.0,15693.0,15940.0,22102.0,0.0,810.20697,100000.0,18.205,0,0,1000,0,10,33292,33292,98.57,98.57,800,ok,1000000,u1e-01,16,98.0,100.0,98.57,15484.885742
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp_baseline/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u25.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,281.672211,3231.874023,3205.0,3428.0,3442.0,3476.0,3568.0,0.0,192.0,250000.0,17.602,0,1000,0,0,10,31276,31276,99.669998,99.669998,10,ok,1000000,u25,16,98.0,100.0,99.669998,3595.371094
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp_baseline/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,400,True,0,1,0,0,1,1,124.492218,7850.237793,7842.0,7956.0,7990.0,8093.0,8896.0,0.0,411.161011,250000.0,17.424,0,0,1000,0,10,31404,31404,98.290001,98.290001,400,ok,1000000,u25,16,98.0,100.0,98.290001,7848.37207
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp_baseline/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u30.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,221.104645,4113.663086,3708.0,5216.0,5228.0,5458.0,6160.0,0.0,192.0,300000.0,19.748,0,1000,0,0,10,31540,31540,99.370003,99.370003,10,ok,1000000,u30,16,98.0,100.0,99.370003,4114.023926
