state,bucket,selected_route,chosen_L,recall@10,avg_latency_ms
1m_initial,u25,prefilter,10,99.669998,3.565743896
1m_initial,u30,prefilter,10,99.349998,4.161237793000001
1m_initial,u50,prefilter,10,99.25,6.354686034999999
1m_initial,u75,graph,200,98.629997,5.146498047
1m_initial,u100,graph,150,98.470001,4.004208984
750k_after_delete,u25,prefilter,10,99.669998,3.551387939
750k_after_delete,u30,prefilter,10,99.349998,4.13503418
750k_after_delete,u50,graph,200,98.120003,5.08665918
750k_after_delete,u75,graph,150,98.120003,3.933115967
750k_after_delete,u100,graph,150,98.120003,3.933375
1m_after_reinsert,u25,graph,400,98.160004,9.957227539
1m_after_reinsert,u30,prefilter,10,99.349998,5.873846190999999
1m_after_reinsert,u50,graph,300,98.519997,7.587210938
1m_after_reinsert,u75,graph,200,98.260002,5.211682129
1m_after_reinsert,u100,graph,200,98.760002,5.206637207
