state,bucket,selected_route,chosen_L,recall@10,avg_latency_ms,status
1m_initial,u25,prefilter,10,99.71,3.738959844,ok
750k_after_delete,u25,prefilter,10,99.71,3.967889905,ok
1m_after_reinsert,u25,prefilter,10,99.71,4.366771858,ok
1m_initial,u30,prefilter,10,99.49,5.256829601000001,ok
750k_after_delete,u30,prefilter,10,99.45,4.540157274,ok
1m_after_reinsert,u30,prefilter,10,99.43,4.422085248999999,ok
1m_initial,u50,graph,300,98.83,6.187611727,ok
750k_after_delete,u50,graph,300,99.05,6.118710742999999,ok
1m_after_reinsert,u50,graph,300,98.65,5.980900474,ok
1m_initial,u75,graph,200,98.61,4.29077584,ok
750k_after_delete,u75,graph,200,98.83,4.248750574,ok
1m_after_reinsert,u75,graph,200,98.19,4.170855121,ok
1m_initial,u100,graph,200,99.14,4.255707792,ok
750k_after_delete,u100,graph,200,98.83,4.246516327,ok
1m_after_reinsert,u100,graph,200,98.74,4.260197526,ok
