threads,avg_latency_ms,p95_query_latency_ms,recall@10,selector_type,bucket,selected_route,chosen_L
1,6.387777831999999,8.537,99.230003,range,u50,prefilter,10
2,6.613316895,8.805,99.230003,range,u50,prefilter,10
3,6.599453125,8.701,99.230003,range,u50,prefilter,10
4,6.772559082,8.781,99.230003,range,u50,prefilter,10
5,7.082347168,8.758,99.230003,range,u50,prefilter,10
6,7.521758789000001,10.037,99.230003,range,u50,prefilter,10
7,7.746993164,10.063,99.230003,range,u50,prefilter,10
8,8.01275293,10.096,99.230003,range,u50,prefilter,10
9,8.227598633,10.148,99.230003,range,u50,prefilter,10
10,8.611975586,10.14,99.230003,range,u50,prefilter,10
11,8.745268555,10.216,99.230003,range,u50,prefilter,10
12,8.821522461,10.323,99.230003,range,u50,prefilter,10
13,8.894483398,10.279,99.230003,range,u50,prefilter,10
14,8.909570312,10.288,99.230003,range,u50,prefilter,10
15,9.092595703,10.328,99.230003,range,u50,prefilter,10
16,9.123814453000001,10.344,99.230003,range,u50,prefilter,10
