threads,avg_latency_ms,p95_query_latency_ms,recall@10,selector_type,bucket,selected_route,chosen_L
1,4.048701904,4.209,98.599998,range,u75,graph,200
2,4.327871094,4.558,98.599998,range,u75,graph,200
3,4.629071777,4.821,98.599998,range,u75,graph,200
4,4.832380859,5.097,98.599998,range,u75,graph,200
5,5.06326416,5.325,98.599998,range,u75,graph,200
6,5.209549805,5.526,98.599998,range,u75,graph,200
7,5.987835938,7.301,98.599998,range,u75,graph,200
8,5.671333983999999,6.019,98.599998,range,u75,graph,200
9,6.4651201170000006,8.136,98.599998,range,u75,graph,200
10,6.578417969,7.605,98.599998,range,u75,graph,200
11,6.791054199,7.815,98.599998,range,u75,graph,200
12,6.583709960999999,6.792,98.599998,range,u75,graph,200
13,6.813755859,7.0,98.599998,range,u75,graph,200
14,7.029098145,7.241,98.599998,range,u75,graph,200
15,7.321792969,7.446,98.599998,range,u75,graph,200
16,7.495948242000001,7.681,98.599998,range,u75,graph,200
