threads,avg_latency_ms,p50_query_latency_ms,p95_query_latency_ms,p99_query_latency_ms,recall@10,selector_type,bucket,selected_route,chosen_L
1,5.80740918,5.743,6.152,6.288,98.709999,intersect,u50,graph,300
2,6.150297852,6.131,6.396,6.872,98.709999,intersect,u50,graph,300
3,6.633483887000001,6.609,6.87,7.481,98.709999,intersect,u50,graph,300
4,6.87627002,6.848,7.152,7.665,98.709999,intersect,u50,graph,300
5,7.168841797,7.126,7.584,8.438,98.699997,intersect,u50,graph,300
6,7.46339209,7.432,7.913,9.048,98.709999,intersect,u50,graph,300
7,7.822481934000001,7.776,8.239,9.225,98.699997,intersect,u50,graph,300
8,8.151414062,8.113,8.602,10.864,98.709999,intersect,u50,graph,300
9,8.373794921999998,8.345,8.832,9.361,98.709999,intersect,u50,graph,300
10,8.764455078000001,8.61,9.1,20.088,98.709999,intersect,u50,graph,300
11,9.024912109,8.88,9.383,20.599,98.709999,intersect,u50,graph,300
12,9.379635742,9.196,9.73,23.456,98.709999,intersect,u50,graph,300
13,9.996652344,9.513,10.058,46.726,98.709999,intersect,u50,graph,300
14,9.933654296999999,9.752,10.306,22.316,98.699997,intersect,u50,graph,300
15,10.109860352,10.011,10.608,15.51,98.709999,intersect,u50,graph,300
16,10.532363281,10.309,10.863,23.974,98.709999,intersect,u50,graph,300
