role,path,size_bytes,mtime_ns,sha256
git_head_file,/mnt/bak3/lzg/PipeANN-github/.git/HEAD,21,1778663294982589615,28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80
build_disk_index,/mnt/bak3/lzg/PipeANN-github/build/tests/build_disk_index,19487152,1778816699169483851,dfcb2308febac5e7448b84b8371f48d51cdd6878e39d82dae7daca9c2255372c
search_disk_index_hybrid,/mnt/bak3/lzg/PipeANN-github/build/tests/search_disk_index_hybrid,39666240,1779178752063842177,2efd9e31c13f8d2ce542b276227abc1f93d9616a64a2f688214c5489671859d7
base_bin,/mnt/bak3/lzg/PipeANN-github/data/sift1m/sift_base.bin,512000008,1778666765684656883,8c7b3d999ba3133f865af72df078f77c2d248fdb80571d7ea1f1bb8e1750658e
query_bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/data/sift_query_1000.bin,512008,1779178796355835198,a571a066869de8cdb6f0c21c6a4c45004963e7e34ba46209a3f1aaedbb102428
base_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/base_1m.spmat,31712032,1779178796319835204,db05e82d09eaac2458cc04c86b2b45699d7e54e3e2f860857561f9b3dab5c8ad
disk_index,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16_disk.index,1024004096,1779262013316944826,8392b47c78a7d2add7ecdf716669089018e8d46fbce0dfd908cba0cb5af28be2
pq_compressed,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16_pq_compressed.bin,16000008,1779261898543106751,b8acfc4d6c7ccd9878811679451c819a78ad0687bc1ce812b660b4507b5a7857
pq_pivots,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16_pq_pivots.bin,136292,1779261896327153308,45ec9ff41b82c20c7bd32ea5cc2417f3a2f5183a6c379d1a226294e745dd42eb
labels_densebit,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16_labels.densebit,931416,1779262013488941928,17254f9ae6cf4cd1eac51e6c58a3e6df7024ec7e82dd76b4c3f41aea59054b54
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u1e-03.bin,120008,1779178976151797548,df12abd8984b59b8a42fcb7a2fc9ce83b369a1b39cc781f971feeb0b20a3f661
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,16032,1779178796359835198,15a401562c8486ac13d8f24ec4baf663f67c9997386f64164e50642e39278e45
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u3e-03.bin,120008,1779178988487794495,141d6ec9353eb15bed4616b99b20d876ea2ffb2e1d7d76fe32636aba4f4fc7e1
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u3e-03.spmat,16032,1779178796359835198,93743af3cdd97b7a30fdbb75c8f727e4c76ab2313ed3947ada24ca10fc93929d
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u1e-02.bin,120008,1779179005559790184,6654846834a65bee84f2abb88e6f1fd38ab46a75e7341f45160026c14a270579
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-02.spmat,16032,1779178796359835198,04d40b09c3fd0f57d2d5e72d0c85f4cbc38f5fe1b0982bc2071910370b23e681
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u5e-02.bin,120008,1779179023167785635,678d8eee5f6cb67be0550e9464b020bd011a7d529a63dd82ccab4471fb19e3ba
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u5e-02.spmat,16032,1779178796359835198,9e89c651353ec3474505f528bea5d28fd4fbcc3ff0dfdc8b7da5a64753c48692
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u1e-01.bin,120008,1779179042703780472,d33d070a7934f2535a90ee40ad1f92443e31db119e6c1cc9ae60db4a32de7a4e
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-01.spmat,16032,1779178796359835198,bc23a3135ca7e0facb1b7b8b8c1a64fa0f1ee1ec57033191eb03c22c8921fcfc
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u25.bin,120008,1779179078567770687,b8f3aaf6fdf76f4cdf1af7f2dd2e98358af677f420f3e4615491711bd41c3b4c
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,16032,1779178796359835198,9b8dfe7d69d0bdacfb1ab400e3b62399cb7e77d2d7a7a33c58a44276c94769bb
