format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,bucket,selectivity,selectivity_percent,chosen_L,recall@10,latency_avg_ms,calibration_wall_s,status,raw_jsonl_path,log_path,selected_route,selected_L,selection_status,route_candidates
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,8522.238281,110.490997,109.0,114.0,115.0,168.0,363.0,0.0,96.0,1000.0,4.222,0,1000,0,0,10,28836,28836,100.0,u1e-03,0.001,0.1,10,100.0,0.110490997,0.1516587734222412,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u1e-03_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u1e-03_prefilter_L10.json,prefilter,10,ok,prefilter
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u3e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,5425.273438,172.863007,173.0,180.0,183.0,222.0,393.0,0.0,96.0,3000.0,9.235,0,1000,0,0,10,28808,28808,99.949997,u3e-03,0.003,0.3,10,99.949997,0.172863007,0.2099018096923828,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u3e-03_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u3e-03_prefilter_L10.json,prefilter,10,ok,prefilter
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,2491.590088,372.321014,370.0,383.0,388.0,473.0,705.0,0.0,128.0,10000.0,27.585,0,1000,0,0,10,28792,28792,99.949997,u1e-02,0.01,1.0,10,99.949997,0.372321014,0.4414803981781006,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u1e-02_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u1e-02_prefilter_L10.json,prefilter,10,ok,prefilter
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u5e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,765.929565,1165.008057,1139.0,1349.0,1381.0,1409.0,1931.0,0.0,160.0,50000.0,27.169,0,1000,0,0,10,29860,29860,99.839996,u5e-02,0.05,5.0,10,99.839996,1.165008057,1.3451340198516846,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u5e-02_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u5e-02_prefilter_L10.json,prefilter,10,ok,prefilter
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-01.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,455.990906,1981.170044,1954.0,2175.0,2199.0,2215.0,2783.0,0.0,160.0,100000.0,27.47,0,1000,0,0,10,30524,30524,99.730003,u1e-01,0.1,10.0,10,99.730003,1.981170044,2.2323555946350098,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u1e-01_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u1e-01_prefilter_L10.json,prefilter,10,ok,prefilter
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,272.963531,3334.937012,3152.0,4420.0,4447.0,4684.0,5477.0,0.0,192.0,250000.0,18.36,0,1000,0,0,10,31300,31300,99.730003,u25,0.25,25.0,10,99.730003,3.3349370119999997,3.687516689300537,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_prefilter_L10.json,prefilter,10,ok,"prefilter,graph"
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,243.057373,3748.625,3709.0,3936.0,3947.0,4001.0,4109.0,0.0,192.0,300000.0,17.124,0,1000,0,0,10,31680,31680,99.519997,u30,0.3,30.0,10,99.519997,3.748625,4.130209684371948,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_prefilter_L10.json,prefilter,10,ok,"prefilter,graph"
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u50.spmat,1000,1,4,0,graph,graph,300,True,0,1,0,0,1,1,163.272736,5965.408203,5954.0,6062.0,6102.0,6271.0,7427.0,0.0,311.515015,500000.0,17.229,0,0,1000,0,10,31296,31296,98.599998,u50,0.5,50.0,300,98.599998,5.965408203,6.158609867095947,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u50_graph_L300.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u50_graph_L300.json,graph,300,ok,"prefilter,graph"
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u75.spmat,1000,1,4,0,graph,graph,200,True,0,1,0,0,1,1,237.76474,4096.599121,4085.0,4186.0,4221.0,4311.0,5608.0,0.0,212.110001,750000.0,17.356,0,0,1000,0,10,30092,30092,98.550003,u75,0.75,75.0,200,98.550003,4.096599121000001,4.243492841720581,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u75_graph_L200.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u75_graph_L200.json,graph,200,ok,"prefilter,graph"
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u100.spmat,1000,1,4,0,graph,graph,150,True,0,1,0,0,1,1,306.539581,3164.986084,3154.0,3255.0,3283.0,3386.0,4303.0,0.0,162.559006,1000000.0,17.019,0,0,1000,0,10,30120,30120,98.449997,u100,1.0,100.0,150,98.449997,3.164986084,3.296309471130371,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u100_graph_L150.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u100_graph_L150.json,graph,150,ok,"prefilter,graph"
