format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,L,hybrid_enabled,qps,avg_latency_us,p99_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,recall@10,chosen_L,status,bucket,filter_type,points,selected_route,exp6_latency_budget_ms,within_latency_budget,threshold_exceeded,target_recall@10,source_experiment
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u1e-03.spmat,1000,1,4,0,prefilter,10,False,2324.256348,369.916992,1161.0,0.0,96.0,1000.0,15.68,0,1000,0,0,10,44428,44428,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u1e-03.spmat,1000,2,4,0,prefilter,10,False,3697.04126,472.59201,1503.0,0.0,96.0,1000.0,17.033,0,1000,0,0,10,45320,45320,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u1e-03.spmat,1000,4,4,0,prefilter,10,False,5826.483398,611.984985,2195.0,0.0,96.0,1000.0,19.438,0,1000,0,0,10,46680,46680,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u1e-03.spmat,1000,8,4,0,prefilter,10,False,6063.324707,1234.149048,3501.0,0.0,96.0,1000.0,23.156,0,1000,0,0,10,49028,49028,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u1e-03.spmat,1000,16,4,0,prefilter,10,False,4636.155762,3337.833008,7980.0,0.0,96.0,1000.0,32.66,0,1000,0,0,10,53972,53972,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u1e-03.spmat,1000,24,4,0,prefilter,10,False,4341.602539,5386.914062,11940.0,0.0,96.0,1000.0,42.826,0,1000,0,0,10,59372,59372,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u1e-03.spmat,1000,32,4,0,prefilter,10,False,4158.01709,7522.896973,14157.0,0.0,96.0,1000.0,53.838,0,1000,0,0,10,66504,66504,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u1e-03.spmat,1000,40,4,0,prefilter,10,False,4011.797363,9754.173828,19790.0,0.0,96.0,1000.0,82.131,0,1000,0,0,10,69652,69652,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u1e-03.spmat,1000,52,4,0,prefilter,10,False,3857.988281,13205.478516,26004.0,0.0,96.0,1000.0,116.806,0,1000,0,0,10,79280,79280,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,False,True,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u3e-03.spmat,1000,1,4,0,prefilter,10,False,1545.690918,568.828979,1196.0,0.0,96.0,3000.0,22.54,0,1000,0,0,10,44532,44532,100.0,100.0,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
