selector_type,bucket,selected_route,chosen_L,thread_sweep,latency_budget_ms,last_pass_threads,first_fail_threads
intersect,u100,graph,50,"[1, 2, 4, 8, 16, 24, 32, 40]",10.0,32,40
intersect,u1e-01,prefilter,10,"[1, 2, 4, 8, 16, 24]",10.0,16,24
intersect,u1e-02,prefilter,10,"[1, 2, 4, 8, 16, 24]",10.0,16,24
intersect,u1e-03,prefilter,10,"[1, 2, 4, 8, 16, 24, 32, 40, 52]",10.0,40,52
intersect,u25,graph,150,"[1, 2, 4, 8, 16, 24, 32, 40]",10.0,32,40
intersect,u30,graph,150,"[1, 2, 4, 8, 16, 24, 32, 40]",10.0,32,40
intersect,u3e-03,prefilter,10,"[1, 2, 4, 8, 16, 24, 32]",10.0,24,32
intersect,u50,graph,100,"[1, 2, 4, 8, 16, 24, 32, 40]",10.0,32,40
intersect,u5e-02,prefilter,10,"[1, 2, 4, 8, 16]",10.0,8,16
intersect,u75,graph,75,"[1, 2, 4, 8, 16, 24, 32, 40]",10.0,32,40
range,u100,graph,50,"[1, 2, 4, 8, 16, 24, 32, 40]",10.0,32,40
range,u1e-01,prefilter,10,"[1, 2, 4, 8, 16, 24]",10.0,16,24
range,u1e-02,prefilter,10,"[1, 2, 4, 8, 16, 24]",10.0,16,24
range,u1e-03,prefilter,10,"[1, 2, 4, 8, 16, 24, 32, 40, 52]",10.0,40,52
range,u25,graph,150,"[1, 2, 4, 8, 16, 24, 32, 40]",10.0,32,40
range,u30,graph,150,"[1, 2, 4, 8, 16, 24, 32, 40]",10.0,32,40
range,u3e-03,prefilter,10,"[1, 2, 4, 8, 16, 24, 32, 40]",10.0,32,40
range,u50,graph,100,"[1, 2, 4, 8, 16, 24, 32, 40]",10.0,32,40
range,u5e-02,prefilter,10,"[1, 2, 4, 8, 16]",10.0,8,16
range,u75,graph,75,"[1, 2, 4, 8, 16, 24, 32, 40]",10.0,32,40
