mode,route,threads,insert_threads,points,chosen_L,max_rss_kb,live_point_count,elapsed_s,qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,recall@10,process_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,empty_count,min_threshold,max_threshold,status,state,bucket,selected_route,query_threads,inserted_during_search,start_points,total_points,target_recall@10,calibration_recall@10,calibration_avg_latency_us,exp3_pq_bytes
measure-dynamic-search,prefilter,1,0,1000000,10,269392,1000000,0.483485,2068.315334,483.319178,441.868,718.861,1588.206,100.0,269392,268748,269392,269392,644,1000.0,61.08,1000,0,0,0,0,0,ok,1m_initial,u1e-03,prefilter,1,0,1000000,1000000,98.0,100.0,6165.516121,32
measure-dynamic-search,prefilter,1,0,1000000,10,269328,1000000,0.553378,1807.082321,553.22776,511.421,781.655,1267.154,100.0,269328,268684,269328,269328,644,3000.0,61.32,1000,0,0,0,0,0,ok,1m_initial,u3e-03,prefilter,1,0,1000000,1000000,98.0,100.0,8394.156388,32
measure-dynamic-search,prefilter,1,0,1000000,10,269004,1000000,0.858167,1165.274063,858.047974,758.913,1417.38,2550.643,100.0,269004,268532,269004,269004,472,10000.0,71.038,1000,0,0,0,0,0,ok,1m_initial,u1e-02,prefilter,1,0,1000000,1000000,98.0,100.0,10138.20238,32
measure-dynamic-search,prefilter,1,0,1000000,10,269360,1000000,1.911755,523.079704,1911.612708,1819.83,2167.121,3893.035,100.0,269360,268408,269360,269360,952,50000.0,105.204,1000,0,0,0,0,0,ok,1m_initial,u5e-02,prefilter,1,0,1000000,1000000,98.0,100.0,12079.525661,32
measure-dynamic-search,prefilter,1,0,1000000,10,271408,1000000,3.018365,331.305184,3018.175136,2824.191,4367.697,6389.352,100.0,271408,270668,271408,271408,740,100000.0,160.203,1000,0,0,0,0,0,ok,1m_initial,u1e-01,prefilter,1,0,1000000,1000000,98.0,100.0,10993.974938,32
measure-dynamic-search,prefilter,1,0,1000000,10,269292,1000000,6.479624,154.329938,6479.406543,6299.939,6951.473,11074.152,99.99,269292,268624,244492,269292,668,250000.0,352.864,1000,0,0,0,0,0,ok,1m_initial,u25,prefilter,1,0,1000000,1000000,98.0,99.99,13748.63787,32
measure-dynamic-search,prefilter,1,0,1000000,10,271136,1000000,7.31176,136.765973,7311.55457,7030.643,8181.939,11123.369,100.0,271136,270588,246776,271136,548,300000.0,414.64,1000,0,0,0,0,0,ok,1m_initial,u30,prefilter,1,0,1000000,1000000,98.0,100.0,15195.850915,32
measure-dynamic-search,graph,1,0,1000000,75,269092,1000000,6.767188,147.771875,6766.765747,6689.418,7239.304,8206.864,99.12,269092,268396,269092,269092,696,500000.0,35.745,0,0,1000,0,0,0,ok,1m_initial,u50,graph,1,0,1000000,1000000,98.0,99.12,13399.671065,32
measure-dynamic-search,graph,1,0,1000000,50,269596,1000000,4.661341,214.530547,4660.944116,4627.724,4947.683,5342.729,99.02,269596,268772,269596,269596,824,750000.0,32.993,0,0,1000,0,0,0,ok,1m_initial,u75,graph,1,0,1000000,1000000,98.0,99.02,14613.112603,32
measure-dynamic-search,graph,1,0,1000000,40,269268,1000000,3.878565,257.827314,3878.276948,3843.203,4163.344,4803.516,98.79,269268,268572,269268,269268,696,1000000.0,29.669,0,0,1000,0,0,0,ok,1m_initial,u100,graph,1,0,1000000,1000000,98.0,98.79,9536.159954,32
search-during-insert,prefilter,1,4,1000000,10,886572,1000000,0.41107,2432.673197,410.977651,392.775,442.602,780.824,100.0,,,,,,,,,,,,,,ok,during_insert_from_1m,u1e-03,prefilter,1,0,1000000,2000000,98.0,100.0,6460.366808,32
search-during-insert,prefilter,1,4,1000012,10,934868,1000012,0.529627,1888.120963,529.531466,479.068,615.026,1254.884,100.0,,,,,,,,,,,,,,ok,during_insert_from_1m,u3e-03,prefilter,1,12,1000000,2000000,98.0,100.0,8465.49733,32
search-during-insert,prefilter,1,4,1000084,10,934584,1000084,0.846555,1181.258351,846.411185,785.693,973.537,1641.756,100.0,,,,,,,,,,,,,,ok,during_insert_from_1m,u1e-02,prefilter,1,84,1000000,2000000,98.0,100.0,6686.724392,32
