actual_route,avg_latency_ms,avg_latency_us,baseline_no_retrain_avg_latency_ms,baseline_no_retrain_p95_latency_ms,baseline_no_retrain_recall,baseline_source_rel,bucket,candidate_count,candidate_count_passing_recall,candidate_count_total,case_id,chosen_L,configured_L,configured_route,cpu_affinity_allowed_cpus,cpu_cap,cpu_cap_enforced,cycle,cycle_idx,dest_prefix,elapsed_s,empty_count,evidence_source,fallback_count,flat_build_memory_gb,flat_pq_pivots,flat_threshold,graph_count,insert_threads,live_point_count,maintenance_prefix,max_rss_kb,max_threshold,mean_candidate_count,mean_cpu_us,mean_cpu_us1,mean_cpu_us2,mean_io_us,mean_n_4k,mean_n_cmps,mean_n_hops,mean_n_ios,mean_query_total_us,mean_read_size,mean_route_overhead_us,min_threshold,mode,online_flat_materialize,p50_latency_us,p95_cpu_us,p95_io_us,p95_latency_ms,p95_latency_us,p95_n_4k,p95_n_cmps,p95_n_hops,p95_n_ios,p95_query_total_us,p95_read_size,p99_latency_us,phase,points,pq_bytes,prefilter_count,process_max_rss_kb,qps,query_peak_delta_kb,query_peak_rss_kb,raw_command,recall,recall@10,route,rss_after_query_kb,rss_before_query_kb,search_l,selection_policy,selection_status,selector_type,serving_source,source_prefix,status,strategy_variant,supports_recall_claim,tau_m,threads,threshold_version,trigger_reasons,trigger_status,variant,wall_s
prefilter,6.824179665,6824.179665,7.717307715,8.068857,98.99,raw/phaseB_selected_route_l.jsonl,u50,500000.0,7,22,cycle00_triggered_retrain_intersect_u50,300,300,prefilter,0-15,16,True,phaseB_cycle00_direct_retrain_1m,0,,6.824489,0,targeted_triggered_retrain,0,1,,10000,0,16,1000000,,272400,121271,500000.0,0.0,0.0,0.0,0.0,300.0,500000.0,0.0,300.0,6819.935,1228800.0,531.275,121271,measure-dynamic-search,False,6775.951,0.0,0.0,7.128385000000001,7128.385,300.0,500000.0,0.0,300.0,7124.0,1228800.0,7670.035,phaseB,1000000,16,1000,272400,146.531113,1196,272400,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_direct_retrain_1m_pq16 --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseB_cycle00_direct_retrain_1m_intersect_u50.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 300 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/segment00_1000000.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseB_cycle00_intersect_u50.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat --selector-type intersect --query-limit 1000,98.54,98.54,prefilter,272400,271204,300,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_direct_retrain_1m_pq16,ok,triggered_retrain,True,121271,1,0,replacement_ratio>=0.60,triggered,direct_retrain_1m,6.824489
graph,8.245579198,8245.579198,10.433474809,10.723724,98.07,raw/phaseB_selected_route_l.jsonl,u75,750000.0,9,22,cycle00_triggered_retrain_intersect_u75,400,400,graph,0-15,16,True,phaseB_cycle00_direct_retrain_1m,0,,8.245821,0,targeted_triggered_retrain,0,1,,10000,1000,16,1000000,,290264,121271,750000.0,21057.369,0.0,7868.156,0.0,409.228,21057.369,0.0,409.228,7928.006,1676197.888,19.032,121271,measure-dynamic-search,False,8216.176,26338.0,0.0,8.519176,8519.176,415.0,26338.0,0.0,415.0,8134.0,1699840.0,8991.694,phaseB,1000000,16,0,290264,121.273552,19160,290264,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_direct_retrain_1m_pq16 --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseB_cycle00_direct_retrain_1m_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/segment00_1000000.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseB_cycle00_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,98.37,98.37,graph,290264,271104,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_direct_retrain_1m_pq16,ok,triggered_retrain,True,121271,1,0,avg>=10ms,triggered,direct_retrain_1m,8.245821
graph,8.43991611,8439.91611,9.534522831,9.578671,98.25,raw/phaseB_selected_route_l.jsonl,u100,1000000.0,8,22,cycle00_triggered_retrain_intersect_u100,400,400,graph,0-15,16,True,phaseB_cycle00_direct_retrain_1m,0,,8.440189,0,targeted_triggered_retrain,0,1,,10000,1000,16,1000000,,290304,121271,1000000.0,21055.216,0.0,8053.797,0.0,409.206,21055.216,0.0,409.206,8121.143,1676107.776,18.544,121271,measure-dynamic-search,False,8284.72,26338.0,0.0,8.681623,8681.623,415.0,26338.0,0.0,415.0,8324.0,1699840.0,9417.845,phaseB,1000000,16,0,290304,118.48076,19160,290304,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_direct_retrain_1m_pq16 --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseB_cycle00_direct_retrain_1m_intersect_u100.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/segment00_1000000.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseB_cycle00_intersect_u100.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u100.spmat --selector-type intersect --query-limit 1000,98.82,98.82,graph,290304,271144,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_direct_retrain_1m_pq16,ok,triggered_retrain,True,121271,1,0,replacement_ratio>=0.60,triggered,direct_retrain_1m,8.440189
prefilter,7.30204489,7302.04489,7.556360116,7.839619,99.1,raw/phaseB_selected_route_l.jsonl,u50,500000.0,7,22,cycle00_triggered_retrain_range_u50,400,400,prefilter,0-15,16,True,phaseB_cycle00_direct_retrain_1m,0,,7.302422,0,targeted_triggered_retrain,0,1,,10000,0,16,1000000,,272216,121271,500000.0,0.0,0.0,0.0,0.0,400.0,500000.0,0.0,400.0,7295.033,1638400.0,592.763,121271,measure-dynamic-search,False,7283.613,0.0,0.0,7.552907,7552.907,400.0,500000.0,0.0,400.0,7539.0,1638400.0,7819.073,phaseB,1000000,16,1000,272216,136.940859,1068,272216,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_direct_retrain_1m_pq16 --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseB_cycle00_direct_retrain_1m_range_u50.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/segment00_1000000.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseB_cycle00_range_u50.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u50.spmat --selector-type range --query-limit 1000,99.21,99.21,prefilter,247620,271148,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_direct_retrain_1m_pq16,ok,triggered_retrain,True,121271,1,0,replacement_ratio>=0.60,triggered,direct_retrain_1m,7.302422
mixed,8.280061992,8280.061992,10.409550777,10.664494000000001,98.07,raw/phaseB_selected_route_l.jsonl,u75,750000.0,9,22,cycle00_triggered_retrain_range_u75,400,400,graph,0-15,16,True,phaseB_cycle00_direct_retrain_1m,0,,8.280324,0,targeted_triggered_retrain,1000,1,,10000,0,16,1000000,,290628,121271,750000.0,21055.265,0.0,7830.017,0.0,409.206,21055.265,0.0,409.206,7952.472,1676107.776,78.672,121271,measure-dynamic-search,False,8237.494,26338.0,0.0,8.568522000000002,8568.522,415.0,26338.0,0.0,415.0,8229.0,1699840.0,9258.62,phaseB,1000000,16,0,290628,120.768219,19308,290628,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_direct_retrain_1m_pq16 --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseB_cycle00_direct_retrain_1m_range_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/segment00_1000000.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseB_cycle00_range_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u75.spmat --selector-type range --query-limit 1000,98.37,98.37,graph,290628,271320,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_direct_retrain_1m_pq16,ok,triggered_retrain,True,121271,1,0,avg>=10ms,triggered,direct_retrain_1m,8.280324
mixed,8.331749998,8331.749998,9.894150525999999,9.695784999999999,98.25,raw/phaseB_selected_route_l.jsonl,u100,1000000.0,8,22,cycle00_triggered_retrain_range_u100,400,400,graph,0-15,16,True,phaseB_cycle00_direct_retrain_1m,0,,8.332032,0,targeted_triggered_retrain,1000,1,,10000,0,16,1000000,,290508,121271,1000000.0,21055.121,0.0,7859.676,0.0,409.211,21055.121,0.0,409.211,7996.743,1676128.256,84.817,121271,measure-dynamic-search,False,8273.777,26334.0,0.0,8.620655000000001,8620.655,415.0,26334.0,0.0,415.0,8274.0,1699840.0,9700.072,phaseB,1000000,16,0,290444,120.018742,19176,290444,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_direct_retrain_1m_pq16 --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseB_cycle00_direct_retrain_1m_range_u100.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/segment00_1000000.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseB_cycle00_range_u100.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u100.spmat --selector-type range --query-limit 1000,98.82,98.82,graph,290444,271268,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_direct_retrain_1m_pq16,ok,triggered_retrain,True,121271,1,0,replacement_ratio>=0.60,triggered,direct_retrain_1m,8.332032
prefilter,7.0808025070000005,7080.802507,7.443915515,7.935393,98.78,raw/phaseC_selected_route_l.jsonl,u50,500000.0,10,22,cycle01_triggered_retrain_intersect_u50,250,250,prefilter,0-15,16,True,phaseC_cycle01_retrain_each_cycle,1,,7.081136,0,targeted_triggered_retrain,0,1,,10000,0,16,1000000,,696740,123007,500000.0,0.0,0.0,0.0,0.0,250.0,500000.0,0.0,250.0,7076.401,1024000.0,565.368,123007,measure-dynamic-search,False,7045.237,0.0,0.0,7.377523,7377.523,250.0,500000.0,0.0,250.0,7373.0,1024000.0,7739.723,phaseC,1000000,16,1000,696740,141.220283,1196,272472,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle01_retrain_each_cycle_intersect_u50.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 250 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle01_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle01_intersect_u50.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat --selector-type intersect --query-limit 1000,98.44,98.44,prefilter,272472,271276,250,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_retrain_each_cycle,ok,triggered_retrain,True,123007,1,0,replacement_ratio>=0.60,triggered,retrain_each_cycle,7.081136
graph,8.387992708,8387.992708,10.665493099999999,10.936825,98.63,raw/phaseC_selected_route_l.jsonl,u75,750000.0,9,22,cycle01_triggered_retrain_intersect_u75,400,400,graph,0-15,16,True,phaseC_cycle01_retrain_each_cycle,1,,8.388272,0,targeted_triggered_retrain,0,1,,10000,1000,16,1000000,,696740,123007,750000.0,21045.055,0.0,8000.863,0.0,409.373,21045.055,0.0,409.373,8066.253,1676791.808,22.882,123007,measure-dynamic-search,False,8308.713,26522.0,0.0,8.712087,8712.087,416.0,26522.0,0.0,416.0,8327.0,1703936.0,9226.946,phaseC,1000000,16,0,696740,119.214058,11936,283080,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle01_retrain_each_cycle_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle01_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle01_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,98.73,98.73,graph,283080,271144,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_retrain_each_cycle,ok,triggered_retrain,True,123007,1,0,avg>=10ms,triggered,retrain_each_cycle,8.388272
graph,8.519071873000001,8519.071873,10.57111508,10.946423000000001,98.22,raw/phaseC_selected_route_l.jsonl,u100,1000000.0,10,22,cycle01_triggered_retrain_intersect_u100,400,400,graph,0-15,16,True,phaseC_cycle01_retrain_each_cycle,1,,8.519324,0,targeted_triggered_retrain,0,1,,10000,1000,16,1000000,,696740,123007,1000000.0,21044.828,0.0,8123.622,0.0,409.372,21044.828,0.0,409.372,8193.025,1676787.712,19.385,123007,measure-dynamic-search,False,8250.854,26522.0,0.0,8.590252,8590.252,416.0,26522.0,0.0,416.0,8245.0,1703936.0,9101.572,phaseC,1000000,16,0,696740,117.380202,11872,283116,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle01_retrain_each_cycle_intersect_u100.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle01_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle01_intersect_u100.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u100.spmat --selector-type intersect --query-limit 1000,99.02,99.02,graph,283116,271244,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_retrain_each_cycle,ok,triggered_retrain,True,123007,1,0,avg>=10ms,triggered,retrain_each_cycle,8.519324
prefilter,7.234139977,7234.139977,7.607447753000001,8.091965,98.95,raw/phaseC_selected_route_l.jsonl,u50,500000.0,10,22,cycle01_triggered_retrain_range_u50,300,300,prefilter,0-15,16,True,phaseC_cycle01_retrain_each_cycle,1,,7.234451,0,targeted_triggered_retrain,0,1,,10000,0,16,1000000,,696740,123007,500000.0,0.0,0.0,0.0,0.0,300.0,500000.0,0.0,300.0,7227.586,1228800.0,609.781,123007,measure-dynamic-search,False,7179.872,0.0,0.0,7.732241,7732.241,300.0,500000.0,0.0,300.0,7722.0,1228800.0,8310.242,phaseC,1000000,16,1000,696740,138.227491,944,272344,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle01_retrain_each_cycle_range_u50.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 300 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle01_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle01_range_u50.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u50.spmat --selector-type range --query-limit 1000,98.84,98.84,prefilter,247876,271400,300,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_retrain_each_cycle,ok,triggered_retrain,True,123007,1,0,replacement_ratio>=0.60,triggered,retrain_each_cycle,7.234451
