metric,note,value
baseline_no_retrain_rows,fast-fail evidence rows,12
baseline_no_retrain_max_avg_latency_ms,limit <10.0,13.616331
baseline_no_retrain_max_p95_latency_ms,limit <10.0,14.014262
baseline_no_retrain_p95_pass_rows,p95 latency rows under limit,0
triggered_targeted_rows,sentinel rows,24
triggered_targeted_min_recall,target >=98.0,98.100000
triggered_targeted_max_avg_latency_ms,target <10.0,9.236334
triggered_targeted_max_p95_latency_ms,target <10.0,9.497237
triggered_targeted_p95_pass_rows,p95 latency rows under limit,24
chain_completed_cycles,expected 5,5
chain_rows,selected rows generated so far; expected 30,30
chain_max_avg_latency_ms,target <10.0,9.420427
chain_max_p95_latency_ms,target <10.0,9.628272
chain_p95_pass_rows,p95 latency rows under limit,30
maintenance_max_build_wall_s,triggered maintenance build,314.548434
maintenance_max_pq_train_wall_s,PQ train component,2.975610
maintenance_max_pq_recode_wall_s,PQ recode component,3.471310
background_interference_status,early-PQ foreground while low-core background build runs,PASS_WITH_CAVEAT
background_interference_rows,overlapping foreground rows,30
background_interference_max_avg_latency_ms,target <10.0,9.346176
background_interference_max_p95_latency_ms,target <10.0,9.633237
background_interference_cpu_cap,background maintenance CPU cap,1
