bucket,cycle_idx,evidence_source,no_retrain_avg_latency_ms,no_retrain_p95_latency_ms,no_retrain_recall,selector_type,status,strategy_variant,trigger_reasons,triggered_retrain_L,triggered_retrain_avg_latency_ms,triggered_retrain_p95_latency_ms,triggered_retrain_recall,triggered_retrain_route
u50,0,targeted_compare,7.717307715,8.068857,98.99,intersect,ok,,replacement_ratio>=0.60,300,6.824179665,7.128385000000001,98.54,prefilter
u75,0,targeted_compare,10.433474809,10.723724,98.07,intersect,ok,,avg>=10ms,400,8.245579198,8.519176,98.37,graph
u100,0,targeted_compare,9.534522831,9.578671,98.25,intersect,ok,,replacement_ratio>=0.60,400,8.43991611,8.681623,98.82,graph
u50,0,targeted_compare,7.556360116,7.839619,99.1,range,ok,,replacement_ratio>=0.60,400,7.30204489,7.552907,99.21,prefilter
u75,0,targeted_compare,10.409550777,10.664494000000001,98.07,range,ok,,avg>=10ms,400,8.280061992,8.568522000000002,98.37,graph
u100,0,targeted_compare,9.894150525999999,9.695784999999999,98.25,range,ok,,replacement_ratio>=0.60,400,8.331749998,8.620655000000001,98.82,graph
u50,1,targeted_compare,7.443915515,7.935393,98.78,intersect,ok,,replacement_ratio>=0.60,250,7.0808025070000005,7.377523,98.44,prefilter
u75,1,targeted_compare,10.665493099999999,10.936825,98.63,intersect,ok,,avg>=10ms,400,8.387992708,8.712087,98.73,graph
u100,1,targeted_compare,10.57111508,10.946423000000001,98.22,intersect,ok,,avg>=10ms,400,8.519071873000001,8.590252,99.02,graph
u50,1,targeted_compare,7.607447753000001,8.091965,98.95,range,ok,,replacement_ratio>=0.60,300,7.234139977,7.732241,98.84,prefilter
u75,1,targeted_compare,10.467618013,10.757614,98.2,range,ok,,avg>=10ms,400,8.454311268,8.759255999999999,98.73,graph
u100,1,targeted_compare,10.502130655,10.796381,98.22,range,ok,,avg>=10ms,300,6.377880805,6.673674,98.29,graph
u50,2,targeted_compare,7.5229888140000005,7.95364,98.81,intersect,ok,,replacement_ratio>=0.60,400,7.138603077,7.493466000000001,99.32,prefilter
u75,2,targeted_compare,10.531196757,10.904129000000001,98.64,intersect,ok,,avg>=10ms,400,7.965088702,8.247084000000001,98.44,graph
u100,2,targeted_compare,9.886673294,10.556961,98.06,intersect,ok,,replacement_ratio>=0.60,300,6.404658040999999,6.569342,98.15,graph
u50,2,targeted_compare,7.440582417,7.656733,98.64,range,ok,,replacement_ratio>=0.60,250,7.147108636,7.4933890000000005,98.24,prefilter
u75,2,targeted_compare,10.800013434,11.144986000000001,98.72,range,ok,,avg>=10ms,400,8.451665706,8.676072,98.44,graph
u100,2,targeted_compare,9.886068126,10.009074,98.06,range,ok,,replacement_ratio>=0.60,300,6.384073727,6.659131,98.15,graph
u50,3,targeted_compare,7.660334107,7.919631000000001,98.19,intersect,ok,,replacement_ratio>=0.60,400,7.305167296,7.5124759999999995,98.37,prefilter
