actual_route,avg_latency_ms,avg_latency_us,baseline_source_rel,bucket,candidate_count,candidate_count_passing_recall,candidate_count_total,case_id,chosen_L,configured_L,configured_route,cpu_affinity_allowed_cpus,cpu_cap,cpu_cap_enforced,cycle,cycle_idx,dest_prefix,elapsed_s,empty_count,evidence_source,fallback_count,flat_build_memory_gb,flat_pq_pivots,flat_threshold,graph_count,insert_threads,live_point_count,max_rss_kb,max_threshold,mean_candidate_count,mean_cpu_us,mean_cpu_us1,mean_cpu_us2,mean_io_us,mean_n_4k,mean_n_cmps,mean_n_hops,mean_n_ios,mean_query_total_us,mean_read_size,mean_route_overhead_us,min_threshold,mode,online_flat_materialize,p50_latency_us,p95_cpu_us,p95_io_us,p95_latency_ms,p95_latency_us,p95_n_4k,p95_n_cmps,p95_n_hops,p95_n_ios,p95_query_total_us,p95_read_size,p99_latency_us,phase,points,pq_bytes,prefilter_count,process_max_rss_kb,qps,query_peak_delta_kb,query_peak_rss_kb,raw_command,recall,recall@10,route,rss_after_query_kb,rss_before_query_kb,search_l,selection_policy,selection_status,selector_type,source_prefix,status,strategy_variant,supports_recall_claim,tau_m,threads,threshold_version,trigger_reasons,trigger_status,variant,wall_s
mixed,10.433474809,10433.474809,raw/phaseB_selected_route_l.jsonl,u75,750000.0,5,22,cycle00_no_retrain_baseline_intersect_u75,500,500,graph,0-15,16,True,phaseB_cycle00_zero_insert_no_retrain_1m,0,,10.433709,0,targeted_no_retrain_baseline,1000,1,,10000,0,16,1000000,296920,0,750000.0,23724.553,0.0,9984.534,0.0,513.855,23724.553,0.0,513.855,10071.157,2104750.08,19.208,0,measure-dynamic-search,False,10376.044,30819.0,0.0,10.723724,10723.724,518.0,30819.0,0.0,518.0,10433.0,2121728.0,11485.974,phaseB,1000000,16,0,296920,95.843191,22024,296920,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseB_cycle00_zero_insert_no_retrain_1m_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 500 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/segment00_1000000.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseB_cycle00_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,98.07,98.07,graph,296920,274896,500,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge,ok,no_retrain_baseline,True,0,1,0,avg>=10ms,baseline_failed,zero_insert_no_retrain_1m,10.433709
mixed,10.409550777,10409.550777,raw/phaseB_selected_route_l.jsonl,u75,750000.0,5,22,cycle00_no_retrain_baseline_range_u75,500,500,graph,0-15,16,True,phaseB_cycle00_zero_insert_no_retrain_1m,0,,10.409863,0,targeted_no_retrain_baseline,1000,1,,10000,0,16,1000000,296712,0,750000.0,23714.766,0.0,9906.099,0.0,513.786,23714.766,0.0,513.786,10052.155,2104467.456,77.859,0,measure-dynamic-search,False,10361.404,30819.0,0.0,10.664494000000001,10664.494,518.0,30819.0,0.0,518.0,10344.0,2121728.0,11305.713,phaseB,1000000,16,0,296712,96.062741,21832,296712,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseB_cycle00_zero_insert_no_retrain_1m_range_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 500 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/segment00_1000000.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseB_cycle00_range_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u75.spmat --selector-type range --query-limit 1000,98.07,98.07,graph,296712,274880,500,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge,ok,no_retrain_baseline,True,0,1,0,avg>=10ms,baseline_failed,zero_insert_no_retrain_1m,10.409863
mixed,10.57111508,10571.11508,raw/phaseC_selected_route_l.jsonl,u100,1000000.0,4,22,cycle01_no_retrain_baseline_intersect_u100,500,500,graph,0-15,16,True,phaseC_cycle01_no_retrain_across_cycles,1,,10.571393,0,targeted_no_retrain_baseline,1000,1,,10000,0,16,1000000,696740,0,1000000.0,22987.644,0.0,10120.897,0.0,515.294,22987.644,0.0,515.294,10223.807,2110644.224,21.771,0,measure-dynamic-search,False,10511.385,30412.0,0.0,10.946423000000001,10946.423,521.0,30412.0,0.0,521.0,10543.0,2134016.0,11467.883,phaseC,1000000,16,0,696740,94.594914,20904,295804,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_no_retrain_after_insert --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle01_no_retrain_across_cycles_intersect_u100.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 500 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle01_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle01_intersect_u100.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u100.spmat --selector-type intersect --query-limit 1000,98.22,98.22,graph,295804,274900,500,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_no_retrain_after_insert,ok,no_retrain_baseline,True,0,1,0,avg>=10ms,baseline_failed,no_retrain_across_cycles,10.571393
prefilter,10.665493099999999,10665.4931,raw/phaseC_selected_route_l.jsonl,u75,750000.0,4,22,cycle01_no_retrain_baseline_intersect_u75,470,470,prefilter,0-15,16,True,phaseC_cycle01_no_retrain_across_cycles,1,,10.665842,0,targeted_no_retrain_baseline,0,1,,10000,0,16,1000000,696740,0,750000.0,0.0,0.0,0.0,0.0,470.0,750000.0,0.0,470.0,10659.59,1925120.0,779.861,0,measure-dynamic-search,False,10651.199,0.0,0.0,10.936825,10936.825,470.0,750000.0,0.0,470.0,10931.0,1925120.0,11517.111,phaseC,1000000,16,1000,696740,93.757248,1272,276128,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_no_retrain_after_insert --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle01_no_retrain_across_cycles_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 470 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle01_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle01_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,98.63,98.63,prefilter,276128,274856,470,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_no_retrain_after_insert,ok,no_retrain_baseline,True,0,1,0,avg>=10ms,baseline_failed,no_retrain_across_cycles,10.665842
mixed,10.502130655,10502.130655,raw/phaseC_selected_route_l.jsonl,u100,1000000.0,4,22,cycle01_no_retrain_baseline_range_u100,500,500,graph,0-15,16,True,phaseC_cycle01_no_retrain_across_cycles,1,,10.50243,0,targeted_no_retrain_baseline,1000,1,,10000,0,16,1000000,696740,0,1000000.0,23011.506,0.0,10005.373,0.0,515.477,23011.506,0.0,515.477,10155.768,2111393.792,70.836,0,measure-dynamic-search,False,10441.542,30412.0,0.0,10.796381,10796.381,521.0,30412.0,0.0,521.0,10448.0,2134016.0,11627.735,phaseC,1000000,16,0,696740,95.216064,20880,295772,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_no_retrain_after_insert --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle01_no_retrain_across_cycles_range_u100.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 500 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle01_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle01_range_u100.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u100.spmat --selector-type range --query-limit 1000,98.22,98.22,graph,295772,274892,500,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_no_retrain_after_insert,ok,no_retrain_baseline,True,0,1,0,avg>=10ms,baseline_failed,no_retrain_across_cycles,10.50243
prefilter,10.467618013,10467.618013,raw/phaseC_selected_route_l.jsonl,u75,750000.0,4,22,cycle01_no_retrain_baseline_range_u75,400,400,prefilter,0-15,16,True,phaseC_cycle01_no_retrain_across_cycles,1,,10.468005,0,targeted_no_retrain_baseline,0,1,,10000,0,16,1000000,696740,0,750000.0,0.0,0.0,0.0,0.0,400.0,750000.0,0.0,400.0,10461.591,1638400.0,820.755,0,measure-dynamic-search,False,10417.532,0.0,0.0,10.757614,10757.614,400.0,750000.0,0.0,400.0,10752.0,1638400.0,11669.551,phaseC,1000000,16,1000,696740,95.529184,1400,276204,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_no_retrain_after_insert --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle01_no_retrain_across_cycles_range_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle01_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle01_range_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u75.spmat --selector-type range --query-limit 1000,98.2,98.2,prefilter,276204,274804,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_no_retrain_after_insert,ok,no_retrain_baseline,True,0,1,0,avg>=10ms,baseline_failed,no_retrain_across_cycles,10.468005
prefilter,10.531196757,10531.196757,raw/phaseC_selected_route_l.jsonl,u75,750000.0,4,22,cycle02_no_retrain_baseline_intersect_u75,450,450,prefilter,0-15,16,True,phaseC_cycle02_no_retrain_across_cycles,2,,10.531624,0,targeted_no_retrain_baseline,0,1,,10000,0,16,1000000,938012,0,750000.0,0.0,0.0,0.0,0.0,450.0,750000.0,0.0,450.0,10526.142,1843200.0,777.911,0,measure-dynamic-search,False,10471.423,0.0,0.0,10.904129000000001,10904.129,450.0,750000.0,0.0,450.0,10899.0,1843200.0,11684.899,phaseC,1000000,16,1000,938012,94.952121,1344,276484,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_no_retrain_after_insert --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle02_no_retrain_across_cycles_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 450 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle02_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle02_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,98.64,98.64,prefilter,276484,275140,450,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_no_retrain_after_insert,ok,no_retrain_baseline,True,0,1,0,avg>=10ms,baseline_failed,no_retrain_across_cycles,10.531624
prefilter,10.800013434,10800.013434,raw/phaseC_selected_route_l.jsonl,u75,750000.0,4,22,cycle02_no_retrain_baseline_range_u75,470,470,prefilter,0-15,16,True,phaseC_cycle02_no_retrain_across_cycles,2,,10.80043,0,targeted_no_retrain_baseline,0,1,,10000,0,16,1000000,938012,0,750000.0,0.0,0.0,0.0,0.0,470.0,750000.0,0.0,470.0,10794.236,1925120.0,836.759,0,measure-dynamic-search,False,10738.083,0.0,0.0,11.144986000000001,11144.986,470.0,750000.0,0.0,470.0,11139.0,1925120.0,11542.981,phaseC,1000000,16,1000,938012,92.588905,1340,276208,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_no_retrain_after_insert --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle02_no_retrain_across_cycles_range_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 470 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle02_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle02_range_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u75.spmat --selector-type range --query-limit 1000,98.72,98.72,prefilter,276208,274868,470,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_no_retrain_after_insert,ok,no_retrain_baseline,True,0,1,0,avg>=10ms,baseline_failed,no_retrain_across_cycles,10.80043
prefilter,13.58434499,13584.34499,raw/phaseC_selected_route_l.jsonl,u100,1000000.0,1,22,cycle03_no_retrain_baseline_intersect_u100,500,500,prefilter,0-15,16,True,phaseC_cycle03_no_retrain_across_cycles,3,,13.584744,0,targeted_no_retrain_baseline,0,1,,10000,0,16,1000000,1228212,0,1000000.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.0,500.0,13578.811,2048000.0,949.325,0,measure-dynamic-search,False,13579.603,0.0,0.0,14.014262,14014.262,500.0,1000000.0,0.0,500.0,14009.0,2048000.0,14357.46,phaseC,1000000,16,1000,1228212,73.611987,1276,276192,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle03_no_retrain_after_insert --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle03_no_retrain_across_cycles_intersect_u100.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 500 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle03_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle03_intersect_u100.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u100.spmat --selector-type intersect --query-limit 1000,98.09,98.09,prefilter,276192,274916,500,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle03_no_retrain_after_insert,ok,no_retrain_baseline,True,0,1,0,avg>=10ms,baseline_failed,no_retrain_across_cycles,13.584744
prefilter,10.604368463999998,10604.368464,raw/phaseC_selected_route_l.jsonl,u75,750000.0,3,22,cycle03_no_retrain_baseline_intersect_u75,450,450,prefilter,0-15,16,True,phaseC_cycle03_no_retrain_across_cycles,3,,10.604782,0,targeted_no_retrain_baseline,0,1,,10000,0,16,1000000,1228212,0,750000.0,0.0,0.0,0.0,0.0,450.0,750000.0,0.0,450.0,10598.748,1843200.0,780.788,0,measure-dynamic-search,False,10573.347,0.0,0.0,10.944434,10944.434,450.0,750000.0,0.0,450.0,10940.0,1843200.0,11493.868,phaseC,1000000,16,1000,1228212,94.297086,1404,276244,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle03_no_retrain_after_insert --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle03_no_retrain_across_cycles_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 450 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle03_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle03_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,98.0,98.0,prefilter,276244,274840,450,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle03_no_retrain_after_insert,ok,no_retrain_baseline,True,0,1,0,avg>=10ms,baseline_failed,no_retrain_across_cycles,10.604782
