bucket,case_id,cycle_idx,matched_reference_L,matched_reference_avg_latency_ms,matched_reference_route,matched_reference_status,matched_reference_target_recall,no_retrain_L,no_retrain_avg_latency_ms,no_retrain_recall,no_retrain_route,no_retrain_variant,reference_L,reference_avg_latency_ms,reference_recall,reference_route,reference_variant,selector_type,v3_L,v3_avg_latency_ms,v3_beamwidth,v3_p95_latency_ms,v3_recall@10,v3_route
u100,cycle01_no_retrain_across_cycles_intersect_u100,1,450,9.57211304,graph,matched,98.56,400,8.467554578,98.41,graph,no_retrain_across_cycles,400,8.264864728000001,98.66,graph,retrain_each_cycle,intersect,400,6.2013441899999995,8,6.118239,98.41,graph
u1e-01,cycle01_no_retrain_across_cycles_intersect_u1e-01,1,150,2.312970441,prefilter,matched,97.93,150,2.312970441,98.23,prefilter,no_retrain_across_cycles,100,2.134243456,98.03,prefilter,retrain_each_cycle,intersect,150,2.2379983539999997,4,2.390779,98.23,prefilter
u1e-02,cycle01_no_retrain_across_cycles_intersect_u1e-02,1,75,0.597109018,prefilter,matched,99.29,75,0.597109018,99.64,prefilter,no_retrain_across_cycles,75,0.38582136300000003,99.39,prefilter,retrain_each_cycle,intersect,75,0.583489705,4,0.647428,99.64,prefilter
u1e-03,cycle01_no_retrain_across_cycles_intersect_u1e-03,1,50,0.20511003500000002,prefilter,matched,99.84,50,0.20511003500000002,99.96,prefilter,no_retrain_across_cycles,50,0.163289588,99.94,prefilter,retrain_each_cycle,intersect,50,0.19951558,4,0.225878,99.96,prefilter
u25,cycle01_no_retrain_across_cycles_intersect_u25,1,450,5.55157973,prefilter,matched,98.78,250,5.4980005940000005,98.65,prefilter,no_retrain_across_cycles,300,4.880693651,98.88,prefilter,retrain_each_cycle,intersect,250,4.231606277,4,4.4256899999999995,98.65,prefilter
u30,cycle01_no_retrain_across_cycles_intersect_u30,1,250,5.878102846,prefilter,matched,98.14,250,5.878102846,98.32,prefilter,no_retrain_across_cycles,250,5.612957681,98.24,prefilter,retrain_each_cycle,intersect,250,4.855495174,4,5.0543130000000005,98.32,prefilter
u3e-03,cycle01_no_retrain_across_cycles_intersect_u3e-03,1,150,0.389271747,prefilter,matched,99.76,75,0.284910921,99.69,prefilter,no_retrain_across_cycles,50,0.206278134,99.86,prefilter,retrain_each_cycle,intersect,75,0.29275776600000003,4,0.328001,99.69,prefilter
u50,cycle01_no_retrain_across_cycles_intersect_u50,1,300,8.303512764999999,prefilter,matched,98.37,300,8.303512764999999,98.48,prefilter,no_retrain_across_cycles,300,7.873715456,98.47,prefilter,retrain_each_cycle,intersect,300,7.545599108,4,7.858547,98.48,prefilter
u5e-02,cycle01_no_retrain_across_cycles_intersect_u5e-02,1,100,1.514759263,prefilter,matched,99.17,100,1.514759263,99.44,prefilter,no_retrain_across_cycles,150,1.150810247,99.27,prefilter,retrain_each_cycle,intersect,100,1.473742503,4,1.556344,99.44,prefilter
u75,cycle01_no_retrain_across_cycles_intersect_u75,1,450,9.377810836,graph,matched,98.06,450,9.377810836,98.34,graph,no_retrain_across_cycles,400,8.050779764,98.16,graph,retrain_each_cycle,intersect,450,6.200422542999999,8,6.527368999999999,98.36,graph
u100,cycle01_no_retrain_across_cycles_range_u100,1,450,9.209604352,graph,matched,98.56,400,8.241494264,98.41,graph,no_retrain_across_cycles,400,8.429368318,98.66,graph,retrain_each_cycle,range,400,5.6522336619999995,8,6.014028000000001,98.41,graph
u1e-01,cycle01_no_retrain_across_cycles_range_u1e-01,1,150,3.222686503,prefilter,matched,97.93,150,3.222686503,98.23,prefilter,no_retrain_across_cycles,75,1.9390202609999998,98.03,prefilter,retrain_each_cycle,range,150,2.22308754,4,2.385315,98.23,prefilter
u1e-02,cycle01_no_retrain_across_cycles_range_u1e-02,1,50,0.674796214,prefilter,matched,99.29,50,0.674796214,99.64,prefilter,no_retrain_across_cycles,100,0.430057345,99.39,prefilter,retrain_each_cycle,range,50,0.604569207,4,0.667159,99.64,prefilter
u1e-03,cycle01_no_retrain_across_cycles_range_u1e-03,1,75,0.240153803,prefilter,matched,99.84,75,0.240153803,99.96,prefilter,no_retrain_across_cycles,50,0.170235483,99.94,prefilter,retrain_each_cycle,range,75,0.20440234799999998,4,0.223077,99.96,prefilter
u25,cycle01_no_retrain_across_cycles_range_u25,1,250,4.701495213,prefilter,matched,98.41000000000001,250,4.701495213,98.65,prefilter,no_retrain_across_cycles,250,4.395299678000001,98.51,prefilter,retrain_each_cycle,range,250,4.40582561,4,4.6904889999999995,98.65,prefilter
u30,cycle01_no_retrain_across_cycles_range_u30,1,300,5.551167093,prefilter,matched,98.14,300,5.551167093,98.9,prefilter,no_retrain_across_cycles,250,5.147884937,98.24,prefilter,retrain_each_cycle,range,300,5.03273494,4,5.3095680000000005,98.9,prefilter
u3e-03,cycle01_no_retrain_across_cycles_range_u3e-03,1,150,0.529608627,prefilter,matched,99.76,100,0.358087135,99.72,prefilter,no_retrain_across_cycles,75,0.222734563,99.86,prefilter,retrain_each_cycle,range,100,0.338900436,4,0.393648,99.72,prefilter
u50,cycle01_no_retrain_across_cycles_range_u50,1,300,8.292436967,prefilter,matched,98.37,300,8.292436967,98.48,prefilter,no_retrain_across_cycles,300,8.452152589999999,98.47,prefilter,retrain_each_cycle,range,300,7.635624308000001,4,7.97224,98.48,prefilter
u5e-02,cycle01_no_retrain_across_cycles_range_u5e-02,1,50,1.777755513,prefilter,matched,99.17,50,1.777755513,99.44,prefilter,no_retrain_across_cycles,75,1.234303392,99.27,prefilter,retrain_each_cycle,range,50,1.509541674,4,1.606162,99.44,prefilter
u75,cycle01_no_retrain_across_cycles_range_u75,1,450,9.244931232999999,graph,matched,98.06,450,9.244931232999999,98.36,graph,no_retrain_across_cycles,400,8.328845285,98.16,graph,retrain_each_cycle,range,450,6.712899124,8,6.690736,98.36,graph
u100,cycle02_no_retrain_across_cycles_intersect_u100,2,400,8.234724449,graph,matched,98.13000000000001,400,8.234724449,98.53,graph,no_retrain_across_cycles,300,6.715022243,98.23,graph,retrain_each_cycle,intersect,400,5.715789605,8,6.096132,98.53,graph
u1e-01,cycle02_no_retrain_across_cycles_intersect_u1e-01,2,50,2.206731937,prefilter,matched,98.24000000000001,50,2.206731937,98.69,prefilter,no_retrain_across_cycles,50,1.880475569,98.34,prefilter,retrain_each_cycle,intersect,50,2.2583766059999997,4,2.3706460000000003,98.69,prefilter
u1e-02,cycle02_no_retrain_across_cycles_intersect_u1e-02,2,50,0.548024529,prefilter,matched,99.45,50,0.548024529,99.53,prefilter,no_retrain_across_cycles,100,0.40715896199999996,99.55,prefilter,retrain_each_cycle,intersect,50,0.5872167960000001,4,0.6428550000000001,99.53,prefilter
u1e-03,cycle02_no_retrain_across_cycles_intersect_u1e-03,2,50,0.197618716,prefilter,matched,99.82000000000001,50,0.197618716,99.97,prefilter,no_retrain_across_cycles,50,0.16641119299999999,99.92,prefilter,retrain_each_cycle,intersect,50,0.20383389,4,0.22583799999999998,99.97,prefilter
u25,cycle02_no_retrain_across_cycles_intersect_u25,2,150,4.411347863,prefilter,matched,97.91000000000001,150,4.411347863,98.26,prefilter,no_retrain_across_cycles,200,4.274431754999999,98.01,prefilter,retrain_each_cycle,intersect,150,4.480409896,4,4.830633,98.26,prefilter
u30,cycle02_no_retrain_across_cycles_intersect_u30,2,250,5.368052034000001,prefilter,matched,98.42,75,5.128264006999999,98.06,prefilter,no_retrain_across_cycles,250,5.11913477,98.52,prefilter,retrain_each_cycle,intersect,75,4.926075857,4,5.186814999999999,98.06,prefilter
u3e-03,cycle02_no_retrain_across_cycles_intersect_u3e-03,2,75,0.28149956600000003,prefilter,matched,99.63000000000001,75,0.28149956600000003,99.68,prefilter,no_retrain_across_cycles,50,0.211060394,99.73,prefilter,retrain_each_cycle,intersect,75,0.29679042600000005,4,0.331823,99.68,prefilter
u50,cycle02_no_retrain_across_cycles_intersect_u50,2,250,8.028008418999999,prefilter,matched,98.05000000000001,250,8.028008418999999,98.3,prefilter,no_retrain_across_cycles,250,7.978573192,98.15,prefilter,retrain_each_cycle,intersect,250,7.600204044,4,7.966953999999999,98.3,prefilter
u5e-02,cycle02_no_retrain_across_cycles_intersect_u5e-02,2,200,1.5525449470000001,prefilter,matched,99.2,50,1.418439981,99.19,prefilter,no_retrain_across_cycles,75,1.14711173,99.3,prefilter,retrain_each_cycle,intersect,50,1.493935219,4,1.572921,99.19,prefilter
u75,cycle02_no_retrain_across_cycles_intersect_u75,2,470,9.624607314999999,graph,matched,98.34,470,9.624607314999999,98.41,graph,no_retrain_across_cycles,400,8.228145836,98.44,graph,retrain_each_cycle,intersect,470,6.608314985,8,6.930452,98.41,graph
u100,cycle02_no_retrain_across_cycles_range_u100,2,400,8.405738198,graph,matched,98.13000000000001,400,8.405738198,98.53,graph,no_retrain_across_cycles,300,6.413701904,98.23,graph,retrain_each_cycle,range,400,5.772830882999999,8,6.174303,98.53,graph
u1e-01,cycle02_no_retrain_across_cycles_range_u1e-01,2,50,2.225260123,prefilter,matched,98.24000000000001,50,2.225260123,98.69,prefilter,no_retrain_across_cycles,75,1.8058593969999999,98.34,prefilter,retrain_each_cycle,range,50,2.2506330670000003,4,2.34589,98.69,prefilter
u1e-02,cycle02_no_retrain_across_cycles_range_u1e-02,2,50,0.561500224,prefilter,matched,99.45,50,0.561500224,99.53,prefilter,no_retrain_across_cycles,75,0.405983862,99.55,prefilter,retrain_each_cycle,range,50,0.5892884629999999,4,0.6377759999999999,99.53,prefilter
u1e-03,cycle02_no_retrain_across_cycles_range_u1e-03,2,75,0.203046691,prefilter,matched,99.82000000000001,75,0.203046691,99.97,prefilter,no_retrain_across_cycles,50,0.163698545,99.92,prefilter,retrain_each_cycle,range,75,0.20393962,4,0.223119,99.97,prefilter
u25,cycle02_no_retrain_across_cycles_range_u25,2,50,4.510329598999999,prefilter,matched,97.91000000000001,50,4.510329598999999,98.26,prefilter,no_retrain_across_cycles,200,4.179420505,98.01,prefilter,retrain_each_cycle,range,50,4.43675663,4,4.6765609999999995,98.26,prefilter
u30,cycle02_no_retrain_across_cycles_range_u30,2,300,5.511847877,prefilter,matched,98.9,150,5.108883196,98.06,prefilter,no_retrain_across_cycles,300,4.920838237,99.0,prefilter,retrain_each_cycle,range,150,5.062125899,4,5.347225000000001,98.06,prefilter
u3e-03,cycle02_no_retrain_across_cycles_range_u3e-03,2,50,0.28654709700000003,prefilter,matched,99.63000000000001,50,0.28654709700000003,99.68,prefilter,no_retrain_across_cycles,50,0.221398401,99.73,prefilter,retrain_each_cycle,range,50,0.303684572,4,0.336719,99.68,prefilter
u50,cycle02_no_retrain_across_cycles_range_u50,2,300,8.049895857000001,prefilter,matched,98.05000000000001,300,8.049895857000001,98.84,prefilter,no_retrain_across_cycles,250,7.780176361,98.15,prefilter,retrain_each_cycle,range,300,7.836951616,4,8.201690000000001,98.84,prefilter
u5e-02,cycle02_no_retrain_across_cycles_range_u5e-02,2,200,1.578045294,prefilter,matched,99.2,75,1.451779488,99.19,prefilter,no_retrain_across_cycles,50,1.15053387,99.3,prefilter,retrain_each_cycle,range,75,1.484186684,4,1.5362850000000001,99.19,prefilter
u75,cycle02_no_retrain_across_cycles_range_u75,2,470,9.713291621,graph,matched,98.33000000000001,450,9.290396203,98.33,graph,no_retrain_across_cycles,400,8.150807556,98.43,graph,retrain_each_cycle,range,450,6.361046069,8,6.698158,98.33,graph
u100,cycle03_no_retrain_across_cycles_intersect_u100,3,450,9.783134561999999,graph,matched,98.07000000000001,450,9.783134561999999,98.24,graph,no_retrain_across_cycles,400,8.445730018,98.17,graph,retrain_each_cycle,intersect,450,6.397360249999999,8,6.798062,98.24,graph
u1e-01,cycle03_no_retrain_across_cycles_intersect_u1e-01,3,150,2.2702871719999997,prefilter,matched,98.56,150,2.2702871719999997,98.65,prefilter,no_retrain_across_cycles,150,1.854833816,98.66,prefilter,retrain_each_cycle,intersect,150,2.221743779,4,2.315895,98.65,prefilter
u1e-02,cycle03_no_retrain_across_cycles_intersect_u1e-02,3,150,0.60641072,prefilter,matched,99.57000000000001,100,0.576761073,99.56,prefilter,no_retrain_across_cycles,100,0.386687644,99.67,prefilter,retrain_each_cycle,intersect,100,0.571806383,4,0.612405,99.56,prefilter
