actual_route,beamwidth,bucket,passes_p95_10ms,passes_primary,route,row_index,search_l,selector_type,serving_configuration,v1_avg_latency_ms,v1_p95_latency_ms,v1_recall@10,v3_avg_latency_ms,v3_bytes_per_4k,v3_mean_n_4k,v3_mean_read_size,v3_p95_latency_ms,v3_recall@10,variant
prefilter,4,u1e-03,True,True,prefilter,0,50,intersect,selected route/L/beamwidth,0.163289588,0.18206299999999997,99.94,0.161224734,4096.0,110.848,454033.408,0.17767,99.94,retrain_each_cycle
prefilter,4,u3e-03,True,True,prefilter,1,50,intersect,selected route/L/beamwidth,0.206278134,0.224299,99.86,0.21545523800000002,4096.0,111.449,456495.104,0.24329499999999998,99.86,retrain_each_cycle
prefilter,4,u1e-02,True,True,prefilter,2,75,intersect,selected route/L/beamwidth,0.38582136300000003,0.4209,99.39,0.405815362,4096.0,148.376,607748.096,0.465231,99.39,retrain_each_cycle
prefilter,4,u5e-02,True,True,prefilter,3,150,intersect,selected route/L/beamwidth,1.150810247,1.21378,99.27,1.154010696,4096.0,184.927,757460.992,1.1961659999999998,99.27,retrain_each_cycle
prefilter,4,u1e-01,True,True,prefilter,4,100,intersect,selected route/L/beamwidth,2.134243456,2.3179819999999998,98.03,1.8270923159999999,4096.0,183.483,751546.368,1.8830719999999999,98.03,retrain_each_cycle
prefilter,4,u25,True,True,prefilter,5,300,intersect,selected route/L/beamwidth,4.880693651,5.209218,98.88,4.09313191,4096.0,344.58,1411399.68,4.269247999999999,98.88,retrain_each_cycle
prefilter,4,u30,True,True,prefilter,6,250,intersect,selected route/L/beamwidth,5.612957681,5.941494,98.24,4.67972696,4096.0,287.575,1177907.2,4.872445,98.24,retrain_each_cycle
prefilter,4,u50,True,True,prefilter,7,300,intersect,selected route/L/beamwidth,7.873715456,8.249426,98.47,7.515935837,4096.0,345.903,1416818.688,8.061142,98.47,retrain_each_cycle
graph,8,u75,True,True,graph,8,400,intersect,selected route/L/beamwidth,8.050779764,8.477879000000001,98.16,5.541886942,4096.0,466.275,1909862.4,5.849057,98.16,retrain_each_cycle
graph,8,u100,True,True,graph,9,400,intersect,selected route/L/beamwidth,8.264864728000001,8.513992,98.66,5.731452666,4096.0,466.168,1909424.128,6.1117870000000005,98.66,retrain_each_cycle
prefilter,4,u1e-03,True,True,prefilter,10,50,range,selected route/L/beamwidth,0.170235483,0.187414,99.94,0.160325931,4096.0,110.848,454033.408,0.179522,99.94,retrain_each_cycle
prefilter,4,u3e-03,True,True,prefilter,11,75,range,selected route/L/beamwidth,0.222734563,0.23883600000000002,99.86,0.222075705,4096.0,111.449,456495.104,0.24890600000000002,99.86,retrain_each_cycle
prefilter,4,u1e-02,True,True,prefilter,12,100,range,selected route/L/beamwidth,0.430057345,0.45586,99.39,0.415315652,4096.0,148.376,607748.096,0.44213600000000003,99.39,retrain_each_cycle
prefilter,4,u5e-02,True,True,prefilter,13,75,range,selected route/L/beamwidth,1.234303392,1.27559,99.27,1.171195881,4096.0,184.927,757460.992,1.25045,99.27,retrain_each_cycle
prefilter,4,u1e-01,True,True,prefilter,14,75,range,selected route/L/beamwidth,1.9390202609999998,2.095054,98.03,1.842578459,4096.0,183.483,751546.368,1.900299,98.03,retrain_each_cycle
prefilter,4,u25,True,True,prefilter,15,250,range,selected route/L/beamwidth,4.395299678000001,4.4761940000000005,98.51,3.996496044,4096.0,287.112,1176010.752,4.09514,98.51,retrain_each_cycle
prefilter,4,u30,True,True,prefilter,16,250,range,selected route/L/beamwidth,5.147884937,5.396974,98.24,4.761522495,4096.0,287.575,1177907.2,5.061566,98.24,retrain_each_cycle
prefilter,4,u50,True,True,prefilter,17,300,range,selected route/L/beamwidth,8.452152589999999,8.936057,98.47,7.379705049,4096.0,345.903,1416818.688,7.73651,98.47,retrain_each_cycle
mixed,8,u75,True,True,graph,18,400,range,selected route/L/beamwidth,8.328845285,8.601510000000001,98.16,5.76093429,4096.0,466.193,1909526.528,6.099197,98.16,retrain_each_cycle
mixed,8,u100,True,True,graph,19,400,range,selected route/L/beamwidth,8.429368318,8.787673,98.66,5.674877423,4096.0,466.242,1909727.232,6.005979999999999,98.66,retrain_each_cycle
prefilter,4,u1e-03,True,True,prefilter,20,50,intersect,selected route/L/beamwidth,0.20511003500000002,0.225447,99.96,0.19951558,4096.0,112.516,460865.536,0.225878,99.96,no_retrain_across_cycles
prefilter,4,u3e-03,True,True,prefilter,21,75,intersect,selected route/L/beamwidth,0.284910921,0.345175,99.69,0.29275776600000003,4096.0,112.038,458907.648,0.328001,99.69,no_retrain_across_cycles
