metric,value
selected_rows,200
min_recall,98.01
max_avg_latency_ms,9.17893913
max_p95_latency_ms,9.560553
avg_lt_10_count,200
p95_lt_10_count,200
recall_ge_98_count,200
space_total,1.980615492490383
space_excess,0.9806154924903829
background_max_avg,9.254442801
background_max_p95,9.543387000000001
background_elapsed_wall_s,3074.0369250774384
background_pq_train_wall_s,28.5956
background_pq_recode_wall_s,8.44521
max_delete_ms_per_vector,0.005686643333333334
max_delete_merge_s,45.475704
zero_insert_merge_wall_s,20.895465
