actual_route,avg_latency_us,candidate_count,chosen_L,cpu_affinity_allowed_cpus,cpu_cap,cpu_cap_enforced,dest_prefix,elapsed_s,empty_count,fallback_count,flat_build_memory_gb,flat_pq_pivots,flat_threshold,graph_count,insert_threads,live_point_count,max_rss_kb,max_threshold,mean_candidate_count,mean_cpu_us,mean_cpu_us1,mean_cpu_us2,mean_io_us,mean_n_4k,mean_n_cmps,mean_n_hops,mean_n_ios,mean_query_total_us,mean_read_size,mean_route_overhead_us,min_threshold,mode,online_flat_materialize,p50_latency_us,p95_cpu_us,p95_io_us,p95_latency_us,p95_n_4k,p95_n_cmps,p95_n_hops,p95_n_ios,p95_query_total_us,p95_read_size,p99_latency_us,phase,points,pq_bytes,prefilter_count,process_max_rss_kb,qps,query_peak_delta_kb,query_peak_rss_kb,raw_command,recall@10,route,rss_after_query_kb,rss_before_query_kb,search_l,source_prefix,status,tau_m,threads,threshold_version,wall_s
prefilter,10707.288407,750000.0,50,0-15,16,True,,10.707672,0,0,1,,10000,0,16,1000000,1425740,0,750000.0,0.0,0.0,0.0,0.0,192.0,750000.0,0.0,192.0,10700.791,786432.0,840.707,0,measure-dynamic-search,False,10642.956,0.0,0.0,11117.287,192.0,750000.0,0.0,192.0,11111.0,786432.0,11687.168,measure-dynamic-search,1000000,16,1000,1425740,93.390981,1316,278324,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only --jsonl-output /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/raw/calibration_chain_cycle03_pq_only_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 50 --data-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/chain_cycle03_live_data_by_tag.bin --base-label-file /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/truth/chain_cycle03_pq_only_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,95.5,prefilter,278324,277008,50,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only,ok,0,1,0,10.707672
prefilter,10867.216086,750000.0,75,0-15,16,True,,10.86753,0,0,1,,10000,0,16,1000000,1425740,0,750000.0,0.0,0.0,0.0,0.0,192.0,750000.0,0.0,192.0,10860.935,786432.0,851.696,0,measure-dynamic-search,False,10766.58,0.0,0.0,11466.945,192.0,750000.0,0.0,192.0,11461.0,786432.0,12104.294,measure-dynamic-search,1000000,16,1000,1425740,92.017233,1256,276300,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only --jsonl-output /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/raw/calibration_chain_cycle03_pq_only_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 75 --data-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/chain_cycle03_live_data_by_tag.bin --base-label-file /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/truth/chain_cycle03_pq_only_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,95.5,prefilter,276300,275044,75,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only,ok,0,1,0,10.86753
prefilter,10955.342155,750000.0,100,0-15,16,True,,10.955654,0,0,1,,10000,0,16,1000000,1425740,0,750000.0,0.0,0.0,0.0,0.0,192.0,750000.0,0.0,192.0,10949.698,786432.0,849.927,0,measure-dynamic-search,False,10796.857,0.0,0.0,11936.185,192.0,750000.0,0.0,192.0,11929.0,786432.0,12678.871,measure-dynamic-search,1000000,16,1000,1425740,91.27707,1380,278388,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only --jsonl-output /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/raw/calibration_chain_cycle03_pq_only_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 100 --data-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/chain_cycle03_live_data_by_tag.bin --base-label-file /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/truth/chain_cycle03_pq_only_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,95.5,prefilter,278388,277008,100,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only,ok,0,1,0,10.955654
prefilter,10780.226417,750000.0,150,0-15,16,True,,10.780555,0,0,1,,10000,0,16,1000000,1425740,0,750000.0,0.0,0.0,0.0,0.0,192.0,750000.0,0.0,192.0,10774.232,786432.0,839.818,0,measure-dynamic-search,False,10679.758,0.0,0.0,11363.039,192.0,750000.0,0.0,192.0,11358.0,786432.0,12104.596,measure-dynamic-search,1000000,16,1000,1425740,92.759602,1380,276284,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only --jsonl-output /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/raw/calibration_chain_cycle03_pq_only_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 150 --data-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/chain_cycle03_live_data_by_tag.bin --base-label-file /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/truth/chain_cycle03_pq_only_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,95.5,prefilter,276284,274904,150,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only,ok,0,1,0,10.780555
prefilter,10749.640776,750000.0,200,0-15,16,True,,10.749932,0,0,1,,10000,0,16,1000000,1425740,0,750000.0,0.0,0.0,0.0,0.0,200.0,750000.0,0.0,200.0,10743.006,819200.0,835.523,0,measure-dynamic-search,False,10671.34,0.0,0.0,11310.887,200.0,750000.0,0.0,200.0,11305.0,819200.0,11848.922,measure-dynamic-search,1000000,16,1000,1425740,93.023842,1256,276428,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only --jsonl-output /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/raw/calibration_chain_cycle03_pq_only_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 200 --data-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/chain_cycle03_live_data_by_tag.bin --base-label-file /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/truth/chain_cycle03_pq_only_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,95.81,prefilter,276428,275172,200,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only,ok,0,1,0,10.749932
prefilter,11075.173502,750000.0,250,0-15,16,True,,11.075536,0,0,1,,10000,0,16,1000000,1425740,0,750000.0,0.0,0.0,0.0,0.0,250.0,750000.0,0.0,250.0,11069.496,1024000.0,842.984,0,measure-dynamic-search,False,10961.782,0.0,0.0,11771.85,250.0,750000.0,0.0,250.0,11759.0,1024000.0,12576.932,measure-dynamic-search,1000000,16,1000,1425740,90.289084,1320,276432,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only --jsonl-output /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/raw/calibration_chain_cycle03_pq_only_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 250 --data-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/chain_cycle03_live_data_by_tag.bin --base-label-file /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/truth/chain_cycle03_pq_only_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,96.83,prefilter,276432,275112,250,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only,ok,0,1,0,11.075536
prefilter,10762.961803,750000.0,300,0-15,16,True,,10.763449,0,0,1,,10000,0,16,1000000,1425740,0,750000.0,0.0,0.0,0.0,0.0,300.0,750000.0,0.0,300.0,10755.754,1228800.0,804.611,0,measure-dynamic-search,False,10524.17,0.0,0.0,11904.979,300.0,750000.0,0.0,300.0,11889.0,1228800.0,13031.322,measure-dynamic-search,1000000,16,1000,1425740,92.907026,1252,276108,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only --jsonl-output /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/raw/calibration_chain_cycle03_pq_only_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 300 --data-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/chain_cycle03_live_data_by_tag.bin --base-label-file /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/truth/chain_cycle03_pq_only_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,97.55,prefilter,276108,274856,300,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only,ok,0,1,0,10.763449
prefilter,10959.211994,750000.0,400,0-15,16,True,,10.95996,0,0,1,,10000,0,16,1000000,1425740,0,750000.0,0.0,0.0,0.0,0.0,400.0,750000.0,0.0,400.0,10951.781,1638400.0,801.135,0,measure-dynamic-search,False,10701.42,0.0,0.0,12330.168,400.0,750000.0,0.0,400.0,12317.0,1638400.0,13107.709,measure-dynamic-search,1000000,16,1000,1425740,91.241206,1316,276268,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only --jsonl-output /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/raw/calibration_chain_cycle03_pq_only_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 400 --data-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/chain_cycle03_live_data_by_tag.bin --base-label-file /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/truth/chain_cycle03_pq_only_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,98.25,prefilter,276268,274952,400,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only,ok,0,1,0,10.95996
prefilter,11303.423067,750000.0,450,0-15,16,True,,11.303907,0,0,1,,10000,0,16,1000000,1425740,0,750000.0,0.0,0.0,0.0,0.0,450.0,750000.0,0.0,450.0,11296.277,1843200.0,813.827,0,measure-dynamic-search,False,11147.253,0.0,0.0,12227.902,450.0,750000.0,0.0,450.0,12216.0,1843200.0,13262.815,measure-dynamic-search,1000000,16,1000,1425740,88.464985,1316,276228,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only --jsonl-output /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/raw/calibration_chain_cycle03_pq_only_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 450 --data-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/chain_cycle03_live_data_by_tag.bin --base-label-file /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/truth/chain_cycle03_pq_only_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,98.49,prefilter,276228,274912,450,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only,ok,0,1,0,11.303907
prefilter,11538.406722,750000.0,470,0-15,16,True,,11.539049,0,0,1,,10000,0,16,1000000,1425740,0,750000.0,0.0,0.0,0.0,0.0,470.0,750000.0,0.0,470.0,11531.921,1925120.0,826.712,0,measure-dynamic-search,False,11442.788,0.0,0.0,12107.182,470.0,750000.0,0.0,470.0,12096.0,1925120.0,12817.784,measure-dynamic-search,1000000,16,1000,1425740,86.662253,1316,276208,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only --jsonl-output /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/raw/calibration_chain_cycle03_pq_only_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 470 --data-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/chain_cycle03_live_data_by_tag.bin --base-label-file /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/truth/chain_cycle03_pq_only_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,98.55,prefilter,276208,274892,470,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle03_pq_only,ok,0,1,0,11.539049
