bucket,case_id,cycle_idx,full_rebuild_avg_latency_ms,full_rebuild_case_id,full_rebuild_p95_latency_ms,full_rebuild_recall,pq_only_avg_latency_ms,pq_only_p95_latency_ms,pq_only_recall,pq_only_status,selector_type
u50,cycle01_pq_only_chain_intersect_u50,1,7.053652799,cycle01_triggered_retrain_chain_intersect_u50,7.332674,98.01,7.303975676,7.529602,98.36,pass,intersect
u75,cycle01_pq_only_chain_intersect_u75,1,8.302281693000001,cycle01_triggered_retrain_chain_intersect_u75,8.52625,98.55,9.392797778,9.698921,98.35,pass,intersect
u100,cycle01_pq_only_chain_intersect_u100,1,6.4416900340000005,cycle01_triggered_retrain_chain_intersect_u100,6.567439,98.07,8.332863267,8.650758,98.43,pass,intersect
u50,cycle01_pq_only_chain_range_u50,1,7.10906051,cycle01_triggered_retrain_chain_range_u50,7.363102,98.01,7.653326029,7.936389,98.36,pass,range
u75,cycle01_pq_only_chain_range_u75,1,8.372769011,cycle01_triggered_retrain_chain_range_u75,8.780539000000001,98.55,9.330316451,9.603182,98.35,pass,range
u100,cycle01_pq_only_chain_range_u100,1,6.338615152,cycle01_triggered_retrain_chain_range_u100,6.5865100000000005,98.07,8.365002216,8.683214,98.43,pass,range
u50,cycle02_pq_only_chain_intersect_u50,2,6.987360888,cycle02_triggered_retrain_chain_intersect_u50,7.150656,98.17,7.674298369,7.876863999999999,98.35,pass,intersect
u75,cycle02_pq_only_chain_intersect_u75,2,8.367317274000001,cycle02_triggered_retrain_chain_intersect_u75,8.674597,98.37,9.420871367,9.749197,98.08,pass,intersect
u100,cycle02_pq_only_chain_intersect_u100,2,6.699522661,cycle02_triggered_retrain_chain_intersect_u100,6.90124,98.14,8.412612127000001,8.706335,98.38,pass,intersect
u50,cycle02_pq_only_chain_range_u50,2,6.97271239,cycle02_triggered_retrain_chain_range_u50,7.349155,98.17,7.718267928,7.887829,98.35,pass,range
u75,cycle02_pq_only_chain_range_u75,2,8.35846806,cycle02_triggered_retrain_chain_range_u75,8.618555,98.37,9.518479776,9.839311,98.08,pass,range
u100,cycle02_pq_only_chain_range_u100,2,6.402587788,cycle02_triggered_retrain_chain_range_u100,6.618736,98.14,8.531005916,9.113582000000001,98.38,pass,range
u50,cycle03_pq_only_chain_intersect_u50,3,7.3870440230000005,cycle03_triggered_retrain_chain_intersect_u50,7.547962,98.51,7.762753799,8.355314,98.16,pass,intersect
u75,cycle03_pq_only_chain_intersect_u75,3,9.277227027,cycle03_triggered_retrain_chain_intersect_u75,9.559427,98.14,10.959211993999999,12.330168,98.25,fail,intersect
