Label,Selectivity,L,Recall,AvgLat_us,QPS,P99Lat,MeanHops,MeanIOs
1,1,2806,98.05,15809.24,61.75,34558.0,0.0,2807.22
2,2,1538,98.02,6796.97,143.56,10687.0,0.0,1539.77
3,3,1090,98.03,6843.94,139.9,11717.0,0.0,1092.08
4,4,872,98.01,4394.86,220.69,7410.0,0.0,874.61
5,5,734,98.05,4158.73,231.03,6399.0,0.0,737.0
6,6,627,98.04,2973.09,326.71,4621.0,0.0,630.48
7,7,559,98.01,2688.14,361.32,3975.0,0.0,562.83
8,8,502,98.05,2483.46,390.52,3959.0,0.0,506.21
9,9,469,98.02,2841.64,335.76,5651.0,0.0,473.41
10,10,428,98.03,2195.01,442.24,3442.0,0.0,432.85
11,11,408,98.03,2102.46,461.43,3208.0,0.0,413.05
12,12,375,98.0,1978.49,489.97,3123.0,0.0,380.39
13,13,355,98.01,1894.9,512.79,2982.0,0.0,360.65
14,14,347,98.05,1856.95,523.16,3010.0,0.0,352.73
15,15,334,98.01,2113.56,451.96,3942.0,0.0,339.86
16,16,320,98.04,1761.39,551.36,2780.0,0.0,326.17
17,17,304,98.02,1931.17,494.75,3609.0,0.0,310.38
18,18,296,98.01,1668.19,583.08,2760.0,0.0,302.58
19,19,285,98.01,1897.01,503.85,3308.0,0.0,291.67
20,20,274,98.02,1581.8,615.06,2538.0,0.0,280.97
21,21,270,98.03,1623.52,596.62,2706.0,0.0,277.04
22,22,259,98.02,1526.06,637.55,2493.0,0.0,266.25
23,23,250,98.01,1522.95,638.77,2533.0,0.0,257.44
24,24,250,98.01,1495.2,650.6,2436.0,0.0,257.45
25,25,236,98.03,1440.57,675.2,2281.0,0.0,243.79
26,26,242,98.05,1648.09,578.57,2946.0,0.0,249.57
27,27,230,98.0,1417.91,686.04,2291.0,0.0,237.95
28,28,229,98.01,1412.94,688.42,2252.0,0.0,236.98
29,29,223,98.02,1605.42,595.2,3565.0,0.0,231.04
30,30,223,98.02,1397.56,695.96,2306.0,0.0,231.14
31,31,216,98.01,1371.33,709.35,2278.0,0.0,224.31
32,32,210,98.04,1473.76,650.46,2688.0,0.0,218.45
33,33,210,98.01,1344.74,723.18,2207.0,0.0,218.49
34,34,204,98.01,1319.94,736.97,2157.0,0.0,212.68
35,35,207,98.05,1497.41,638.57,2569.0,0.0,215.55
36,36,199,98.01,1311.37,741.68,2146.0,0.0,207.86
37,37,197,98.03,1300.82,748.27,2162.0,0.0,205.94
38,38,191,98.0,1428.96,667.43,2615.0,0.0,200.06
39,39,194,98.01,1290.73,753.98,2127.0,0.0,203.03
40,40,191,98.02,1278.38,761.14,2108.0,0.0,200.13
41,41,189,98.04,1417.62,676.3,2563.0,0.0,198.16
42,42,186,98.01,1257.7,773.89,2110.0,0.0,195.33
43,43,186,98.01,1420.66,675.21,2412.0,0.0,195.23
44,44,181,98.01,1378.43,696.1,2748.0,0.0,190.49
45,45,181,98.03,1400.97,686.57,2906.0,0.0,190.45
46,46,179,98.03,1378.77,696.95,2677.0,0.0,188.58
47,47,179,98.03,1385.11,694.52,2715.0,0.0,188.59
48,48,174,98.02,1429.72,672.35,2995.0,0.0,183.78
49,49,174,98.0,1373.8,698.59,2645.0,0.0,183.71
50,50,172,98.01,1365.25,702.86,2933.0,0.0,181.78
51,51,172,98.03,1396.69,687.75,2752.0,0.0,181.76
52,52,168,98.01,1438.26,668.08,3151.0,0.0,178.04
53,53,168,98.05,1331.3,719.07,2539.0,0.0,178.01
54,54,163,98.0,1337.06,719.67,2675.0,0.0,173.19
55,55,165,98.03,1339.96,717.25,2884.0,0.0,175.13
56,56,163,98.04,1356.2,708.97,2683.0,0.0,173.29
57,57,163,98.04,1418.32,677.17,2989.0,0.0,173.29
58,58,159,98.03,1298.83,741.43,2826.0,0.0,169.5
59,59,159,98.0,1411.26,683.52,2849.0,0.0,169.24
60,60,157,98.0,1397.93,690.53,3331.0,0.0,167.56
61,61,159,98.02,1411.41,684.04,2643.0,0.0,169.48
62,62,155,98.02,1413.38,684.02,2794.0,0.0,165.46
63,63,155,98.02,1360.01,708.03,2605.0,0.0,165.7
64,64,153,98.03,1329.19,727.89,2328.0,0.0,163.78
65,65,157,98.03,1299.21,741.26,2466.0,0.0,167.6
66,66,153,98.03,1342.54,720.41,2493.0,0.0,163.78
67,67,153,98.02,1282.51,754.93,2597.0,0.0,163.71
68,68,153,98.02,1342.12,720.75,2835.0,0.0,163.77
69,69,149,98.01,1356.59,711.39,2619.0,0.0,159.96
70,70,153,98.02,1411.77,685.67,2727.0,0.0,163.58
71,71,146,98.0,1339.01,722.13,2588.0,0.0,157.12
72,72,149,98.05,1389.7,695.86,2665.0,0.0,159.73
73,73,145,98.0,1308.88,737.97,3041.0,0.0,156.15
74,74,145,98.03,1353.99,715.42,2622.0,0.0,156.2
75,75,145,98.02,1381.91,701.11,2924.0,0.0,155.9
76,76,145,98.03,1328.11,728.26,2823.0,0.0,156.2
77,77,143,98.0,1359.46,712.53,3132.0,0.0,154.03
78,78,143,98.03,1362.5,710.78,2610.0,0.0,154.03
79,79,141,98.03,1375.72,703.75,3175.0,0.0,152.19
80,80,143,98.05,1295.45,746.16,2664.0,0.0,154.29
81,81,141,98.02,1361.34,711.29,2916.0,0.0,152.16
82,82,139,98.05,1300.01,744.16,2436.0,0.0,150.49
83,83,139,98.02,1332.64,726.71,2390.0,0.0,150.5
84,84,139,98.01,1310.36,738.09,2627.0,0.0,150.48
85,85,137,98.02,1344.53,720.01,2544.0,0.0,148.35
86,86,139,98.03,1347.83,718.28,2505.0,0.0,150.45
87,87,135,98.01,1289.29,750.44,2826.0,0.0,146.69
88,88,135,98.01,1281.47,755.09,2521.0,0.0,146.68
89,89,135,98.01,1270.11,761.67,3002.0,0.0,146.7
90,90,135,98.03,1304.94,741.13,3373.0,0.0,146.52
91,91,133,98.03,1310.27,738.75,2553.0,0.0,144.78
92,92,132,98.0,1286.58,751.85,2556.0,0.0,143.81
93,93,132,98.01,1315.38,736.35,2765.0,0.0,143.57
94,94,132,98.03,1278.88,756.91,2290.0,0.0,143.84
95,95,132,98.02,1281.52,754.78,2931.0,0.0,143.8
96,96,132,98.04,1289.86,750.33,2845.0,0.0,143.81
97,97,130,98.04,1264.89,764.92,2333.0,0.0,141.98
98,98,130,98.04,1276.07,758.95,2728.0,0.0,141.91
99,99,128,98.0,1248.59,774.45,2077.0,0.0,140.02
100,100,127,98.0,1058.12,923.67,1730.0,0.0,139.3
